"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.652,0.542,0.566,0.758,0.705,0.496,0.265
"P06","Bastante",0.244,0.342,0.267,0.115,0.167,0.186,0.301
"P06","Poco",0.081,0.084,0.131,0.099,0.118,0.086,0.236
"P06","Nada",0.016,0.031,0.035,0.014,0.01,0.165,0.178
"P06","No sabe",0.007,0.001,0.001,0.014,0,0.067,0.02
"P07","Siempre",0.249,0.232,0.286,0.349,0.221,0.097,0.089
"P07","Casi siempre",0.406,0.456,0.317,0.388,0.506,0.229,0.499
"P07","Casi nunca",0.3,0.246,0.314,0.229,0.183,0.511,0.339
"P07","Nunca, pero esta es una excepción",0.045,0.066,0.083,0.034,0.09,0.163,0.073
"P09","Gran excedente habitual",0.027,0.016,0.015,0.01,0.023,0,0
"P09","Gran excedente excepcional",0.039,0.023,0.02,0,0,0.022,0.06
"P09","Pequeño excedente habitual",0.15,0.117,0.102,0.059,0.06,0,0.135
"P09","Pequeño excedente excepcional",0.188,0.166,0.123,0.179,0.092,0.089,0.036
"P09","Alcanza gastos familia",0.112,0.161,0.12,0.15,0.28,0.134,0.182
"P09","No alcanza gastos familia",0.041,0.06,0.062,0.061,0.107,0.261,0.048
"P09","Solo NBFamiliares",0.261,0.262,0.253,0.252,0.173,0.172,0.222
"P09","No alcanza NBFamiliares",0.179,0.184,0.296,0.289,0.242,0.286,0.317
"P09","No sabe",0.003,0.011,0.009,0,0.023,0.036,0
"P10","Tiene Decidido que va a ir a votar",0.937,0.902,0.887,0.766,0.833,0.472,0.776
"P10","Tiene dudas sobre si va a ir a  votar",0.049,0.075,0.082,0.159,0.078,0.208,0.143
"P10","Tiene Decidido que no va a ir a votar",0.014,0.023,0.031,0.075,0.089,0.32,0.081
"P13","Unión por la Patria",0.81,0.065,0.128,0.035,0.039,0.016,0.056
"P13","Juntos por el Cambio ",0.089,0.726,0.121,0.063,0.084,0.014,0.014
"P13","Liberales",0.039,0.148,0.581,0,0,0,0.024
"P13","Izquierda",0.016,0.026,0.028,0.551,0.49,0.04,0.115
"P13","Hacemos por Nuestro país",0.006,0.01,0.099,0.201,0.216,0.047,0.117
"P13","No sabe",0.04,0.025,0.043,0.15,0.171,0.883,0.674
"P17","Totalmente seguro",0.736,0.719,0.658,0.597,0.606,0.177,0.15
"P17","Bastante seguro",0.148,0.159,0.165,0.1,0.106,0.127,0.039
"P17","Algo seguro",0.081,0.106,0.113,0.025,0.11,0.167,0.342
"P17","Para nada seguro",0.035,0.016,0.064,0.278,0.178,0.529,0.469
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.131,0.435,0.563,0.225,0.137,0.192,0.14
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.116,0.341,0.192,0.155,0.102,0.162,0.145
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.507,0.127,0.129,0.221,0.167,0.247,0.307
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.143,0.023,0.031,0.175,0.221,0.332,0.132
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.058,0.035,0.055,0.157,0.355,0.022,0
"P36","No sabe",0.045,0.039,0.03,0.067,0.018,0.045,0.276
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.836,0.101,0.146,0.198,0.28,0.105,0.176
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.064,0.808,0.481,0.286,0.096,0.288,0.21
"P37","En blanco",0.067,0.066,0.3,0.247,0.333,0.204,0.011
"P37","No sabe",0.033,0.025,0.073,0.269,0.291,0.403,0.603
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.164,0.794,0.179,0.316,0.082,0.336,0.155
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.077,0.122,0.691,0.115,0.1,0.119,0.013
"P38","En blanco",0.583,0.048,0.095,0.31,0.482,0.236,0.091
"P38","No sabe",0.176,0.036,0.035,0.259,0.336,0.309,0.741
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.858,0.125,0.151,0.278,0.277,0.198,0.172
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.058,0.385,0.749,0.159,0.129,0.195,0.138
"P39","En blanco",0.058,0.356,0.068,0.229,0.322,0.103,0.099
"P39","No sabe",0.026,0.134,0.032,0.334,0.272,0.504,0.591
"P40","Lo votaría",0.835,0.106,0.119,0.239,0.164,0.183,0.117
"P40","Puede que lo vote",0.074,0.118,0.15,0.241,0.377,0.125,0.254
"P40","Nunca lo votaría",0.074,0.739,0.699,0.409,0.354,0.457,0.379
"P40","No sabe",0.017,0.037,0.032,0.111,0.105,0.235,0.25
"P41","Lo votaría",0.137,0.802,0.182,0.14,0.046,0.033,0.109
"P41","Puede que lo vote",0.069,0.055,0.267,0.144,0.101,0.247,0.271
"P41","Nunca lo votaría",0.751,0.123,0.489,0.591,0.71,0.376,0.413
"P41","No sabe",0.043,0.02,0.062,0.125,0.143,0.344,0.207
"P42","Lo votaría",0.056,0.207,0.647,0.102,0.075,0.088,0.1
"P42","Puede que lo vote",0.06,0.262,0.127,0.129,0.065,0.257,0.256
"P42","Nunca lo votaría",0.861,0.456,0.202,0.711,0.78,0.346,0.445
"P42","No sabe",0.023,0.075,0.024,0.058,0.08,0.309,0.199
"P43","Lo votaría",0.162,0.034,0.125,0.233,0.455,0.069,0.091
"P43","Puede que lo vote",0.399,0.084,0.1,0.162,0.171,0.288,0.192
"P43","Nunca lo votaría",0.376,0.847,0.74,0.569,0.313,0.326,0.449
"P43","No sabe",0.063,0.035,0.035,0.036,0.061,0.317,0.268
"P44","Lo votaría",0.093,0.048,0.075,0.32,0.151,0.059,0.086
"P44","Puede que lo vote",0.277,0.264,0.196,0.116,0.207,0.2,0.204
"P44","Nunca lo votaría",0.555,0.626,0.673,0.352,0.541,0.437,0.367
"P44","No sabe",0.075,0.062,0.056,0.212,0.101,0.304,0.343
"P53","Sergio Massa y Javier Milei",0.721,0.099,0.388,0.513,0.623,0.571,0.32
"P53","Patricia Bullrich y Javier Milei",0.102,0.713,0.432,0.183,0.152,0.12,0.481
"P53","Sergio Massa y Patricia Bullrich",0.177,0.188,0.18,0.304,0.225,0.309,0.199
"P54","Muy buena",0.103,0.025,0.104,0.288,0.205,0.064,0.026
"P54","Buena",0.131,0.117,0.084,0,0.119,0.069,0.114
"P54","Regular",0.399,0.066,0.053,0.235,0.214,0.331,0.084
"P54","Mala",0.27,0.203,0.208,0.29,0.156,0.181,0.349
"P54","Muy mala",0.097,0.589,0.551,0.187,0.306,0.355,0.427
"P55","Muy buena",0.059,0.006,0.033,0.015,0.159,0.013,0
"P55","Buena",0.265,0.027,0.034,0.019,0.115,0,0.034
"P55","Regular",0.395,0.062,0.052,0.272,0.306,0.256,0.232
"P55","Mala",0.176,0.218,0.24,0.244,0.165,0.239,0.213
"P55","Muy mala",0.105,0.687,0.641,0.45,0.255,0.492,0.521
"P56","Muy buena",0.178,0.029,0.087,0.087,0.066,0.088,0
"P56","Buena",0.34,0.115,0.208,0.198,0.084,0,0
"P56","Regular",0.318,0.416,0.245,0.164,0.3,0.257,0.394
