"var","categoria","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.642,0.755,0.614,0.643,0.717,0.653
"P06","Bastante",0.165,0.175,0.29,0.293,0.207,0.236
"P06","Poco",0.164,0.056,0.067,0.032,0.076,0.072
"P06","Nada",0.029,0.014,0.006,0.029,0,0.021
"P06","No sabe",0,0,0.023,0.003,0,0.018
"P07","Siempre",0.27,0.452,0.293,0.19,0.189,0.332
"P07","Casi siempre",0.328,0.373,0.319,0.436,0.534,0.421
"P07","Casi nunca",0.386,0.139,0.324,0.334,0.253,0.216
"P07","Nunca, pero esta es una excepción",0.016,0.036,0.064,0.04,0.024,0.031
"P09","Gran excedente habitual",0.009,0.035,0.027,0.048,0.015,0.014
"P09","Gran excedente excepcional",0.009,0.012,0.079,0.026,0.049,0.014
"P09","Pequeño excedente habitual",0.186,0.086,0.142,0.196,0.114,0.118
"P09","Pequeño excedente excepcional",0.14,0.1,0.166,0.239,0.181,0.155
"P09","Alcanza gastos familia",0.053,0.157,0.102,0.103,0.114,0.182
"P09","No alcanza gastos familia",0.075,0.113,0.07,0.024,0.026,0.033
"P09","Solo NBFamiliares",0.232,0.265,0.234,0.249,0.295,0.264
"P09","No alcanza NBFamiliares",0.296,0.215,0.171,0.115,0.206,0.22
"P09","No sabe",0,0.017,0.009,0,0,0
"P10","Tiene Decidido que va a ir a votar",0.844,0.877,0.893,0.983,0.983,0.903
"P10","Tiene dudas sobre si va a ir a  votar",0.139,0.097,0.085,0.017,0.017,0.05
"P10","Tiene Decidido que no va a ir a votar",0.017,0.026,0.022,0,0,0.047
"P13","Unión por la Patria",0.472,0.565,0.881,0.906,0.923,0.774
"P13","Juntos por el Cambio ",0.34,0.245,0.05,0.035,0.054,0.047
"P13","Liberales",0.1,0.135,0.055,0.004,0.007,0
"P13","Izquierda",0.016,0.024,0,0.027,0,0.03
"P13","Hacemos por Nuestro país",0,0.012,0.014,0,0.004,0.016
"P13","No sabe",0.072,0.019,0,0.028,0.012,0.133
"P17","Totalmente seguro",0.544,0.755,0.786,0.746,0.781,0.694
"P17","Bastante seguro",0.297,0.165,0.089,0.145,0.104,0.186
"P17","Algo seguro",0.063,0.08,0.112,0.088,0.077,0.073
"P17","Para nada seguro",0.096,0,0.013,0.021,0.038,0.047
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.315,0.427,0.187,0.043,0.074,0.014
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.173,0.262,0.111,0.093,0.075,0.135
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.33,0.27,0.532,0.578,0.536,0.489
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.086,0,0.066,0.225,0.149,0.169
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0,0.012,0.071,0.053,0.134,0.039
"P36","No sabe",0.096,0.029,0.033,0.008,0.032,0.154
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.595,0.684,0.818,0.921,0.852,0.883
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.236,0.217,0.054,0,0.063,0.011
"P37","En blanco",0.099,0.099,0.048,0.065,0.078,0.042
"P37","No sabe",0.07,0,0.08,0.014,0.007,0.064
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.535,0.408,0.168,0.103,0.044,0.052
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.142,0.398,0.067,0.034,0.04,0
"P38","En blanco",0.251,0.108,0.473,0.682,0.909,0.455
"P38","No sabe",0.072,0.086,0.292,0.181,0.007,0.493
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.694,0.566,0.834,0.96,0.867,0.939
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.184,0.346,0.014,0,0.033,0.01
"P39","En blanco",0.104,0.032,0.066,0.04,0.1,0.035
"P39","No sabe",0.018,0.056,0.086,0,0,0.016
"P40","Lo votaría",0.605,0.616,0.788,0.914,0.899,0.907
"P40","Puede que lo vote",0.165,0.097,0.152,0.028,0.031,0.059
"P40","Nunca lo votaría",0.23,0.196,0.046,0.046,0.07,0.011
"P40","No sabe",0,0.091,0.014,0.012,0,0.023
"P41","Lo votaría",0.281,0.372,0.235,0.079,0.034,0.056
"P41","Puede que lo vote",0.2,0.153,0.125,0.025,0.032,0.007
"P41","Nunca lo votaría",0.442,0.435,0.618,0.861,0.927,0.783
"P41","No sabe",0.077,0.04,0.022,0.035,0.007,0.154
"P42","Lo votaría",0.106,0.34,0.1,0.004,0,0
"P42","Puede que lo vote",0.118,0.225,0.119,0.019,0.009,0.02
"P42","Nunca lo votaría",0.755,0.395,0.737,0.942,0.991,0.964
"P42","No sabe",0.021,0.04,0.044,0.035,0,0.016
"P43","Lo votaría",0.195,0.092,0.153,0.297,0.028,0.056
"P43","Puede que lo vote",0.164,0.306,0.429,0.539,0.34,0.266
"P43","Nunca lo votaría",0.515,0.551,0.341,0.159,0.553,0.552
"P43","No sabe",0.126,0.051,0.077,0.005,0.079,0.126
"P44","Lo votaría",0.138,0.129,0.184,0.099,0,0.051
"P44","Puede que lo vote",0.207,0.206,0.562,0.259,0.174,0.161
"P44","Nunca lo votaría",0.489,0.593,0.215,0.564,0.788,0.677
"P44","No sabe",0.166,0.072,0.039,0.078,0.038,0.111
"P53","Sergio Massa y Javier Milei",0.499,0.586,0.716,0.8,0.773,0.768
"P53","Patricia Bullrich y Javier Milei",0.327,0.277,0.118,0.041,0.028,0.032
"P53","Sergio Massa y Patricia Bullrich",0.174,0.137,0.166,0.159,0.199,0.2
"P54","Muy buena",0.105,0.22,0.115,0.077,0.122,0.062
"P54","Buena",0.096,0.361,0.12,0.095,0.087,0.187
"P54","Regular",0.25,0.165,0.463,0.39,0.553,0.36
"P54","Mala",0.293,0.055,0.222,0.356,0.193,0.326
"P54","Muy mala",0.256,0.199,0.08,0.082,0.045,0.065
"P55","Muy buena",0.024,0.091,0.063,0.032,0.083,0.169
"P55","Buena",0.116,0.225,0.174,0.354,0.33,0.178
"P55","Regular",0.327,0.264,0.538,0.359,0.382,0.411
"P55","Mala",0.236,0.168,0.116,0.209,0.12,0.192
"P55","Muy mala",0.297,0.252,0.109,0.046,0.085,0.05
"P56","Muy buena",0.023,0.259,0.113,0.175,0.202,0.371
"P56","Buena",0.126,0.196,0.389,0.377,0.469,0.291
"P56","Regular",0.573,0.232,0.333,0.326,0.204,0.231
"P56","Mala",0.136,0.14,0.099,0.092,0.107,0.05
"P56","Muy mala",0.142,0.173,0.066,0.03,0.018,0.057
"P57","Muy buena",0.091,0.089,0.075,0.142,0.083,0.141
"P57","Buena",0.196,0.498,0.336,0.403,0.383,0.288
"P57","Regular",0.543,0.291,0.476,0.363,0.407,0.457
"P57","Mala",0.127,0.107,0.091,0.063,0.108,0.096
"P57","Muy mala",0.043,0.015,0.022,0.029,0.019,0.018
"P58","Muy buena",0.125,0.175,0.132,0.204,0.189,0.192
"P58","Buena",0.178,0.421,0.266,0.396,0.453,0.283
"P58","Regular",0.473,0.268,0.507,0.272,0.288,0.434
"P58","Mala",0.155,0.121,0.065,0.116,0.031,0.037
"P58","Muy mala",0.069,0.015,0.03,0.012,0.039,0.054
