"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P05","Mucho",0.473,0.357,0.343,0.539,0.338,0.36,0.274,0.205
"P05","Bastante",0.327,0.382,0.313,0.253,0.189,0.322,0.292,0.326
"P05","Poco",0.161,0.217,0.254,0.177,0.352,0.246,0.227,0.279
"P05","Nada",0.029,0.035,0.078,0.022,0.084,0.07,0.204,0.121
"P05","No sabe",0.01,0.009,0.012,0.009,0.037,0.002,0.003,0.069
"P06","Siempre",0.31,0.257,0.216,0.299,0.198,0.207,0.319,0.155
"P06","Casi siempre",0.436,0.435,0.359,0.352,0.379,0.404,0.274,0.426
"P06","Casi nunca",0.195,0.223,0.297,0.226,0.261,0.32,0.222,0.285
"P06","Nunca, pero esta es una excepción",0.059,0.085,0.128,0.123,0.162,0.069,0.185,0.134
"P08","Unión por la Patria",0.74,0.099,0.117,0.216,0.123,0.137,0.053,0.07
"P08","Juntos por el Cambio",0.132,0.779,0.098,0.124,0.317,0.428,0.269,0.192
"P08","Liberales",0.016,0.064,0.587,0.037,0.096,0.033,0.024,0.019
"P08","Izquierda",0.011,0.006,0.027,0.545,0.04,0.011,0.023,0.015
"P08","Otro",0.034,0.012,0.076,0.011,0.188,0.273,0.074,0.088
"P08","No sabe",0.067,0.04,0.095,0.067,0.236,0.118,0.557,0.616
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.722,0.016,0.04,0.132,0.044,0.061,0.066,0.069
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.161,0.007,0.006,0.237,0.08,0.187,0.067,0.05
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.019,0.756,0.047,0.061,0.054,0.101,0.008,0.049
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.025,0.149,0.049,0.049,0.144,0.321,0.159,0.152
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.023,0.046,0.814,0.04,0.087,0.083,0.035,0.007
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.008,0.003,0.008,0.43,0.002,0.008,0.003,0.009
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0.001,0.005,0,0.499,0.007,0.069,0.011
"P09","Otros",0.013,0.007,0.007,0.034,0.029,0.179,0.106,0.162
"P09","En blanco",0.005,0.001,0.007,0.017,0.019,0.008,0.394,0.08
"P09","No sabe",0.019,0.014,0.017,0,0.042,0.045,0.093,0.411
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.584,0.051,0.052,0.15,0.119,0.147,0.078,0.118
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.196,0.027,0.042,0.246,0.081,0.123,0.06,0.039
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.045,0.481,0.321,0.06,0.147,0.144,0.089,0.042
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.053,0.237,0.107,0.062,0.114,0.189,0.052,0.157
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.046,0.159,0.409,0.048,0.075,0.108,0.053,0.017
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.004,0.006,0.254,0.027,0.016,0.008,0.024
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.01,0.006,0.021,0.035,0.318,0.005,0.099,0.011
"P18","Otros",0.019,0.007,0.006,0.105,0.036,0.223,0,0.074
"P18","En blanco",0.008,0.008,0.024,0.04,0.022,0.012,0.507,0.096
"P18","No sabe",0.015,0.02,0.012,0,0.061,0.033,0.054,0.422
"P25","Totalmente seguro",0.668,0.662,0.665,0.612,0.44,0.531,0.469,0.199
"P25","Bastante seguro",0.177,0.189,0.142,0.207,0.219,0.186,0.129,0.074
"P25","Algo seguro",0.091,0.093,0.137,0.097,0.199,0.172,0.066,0.136
"P25","Para nada seguro",0.064,0.056,0.056,0.084,0.142,0.111,0.336,0.591
"P26","Tiene Decidido que va a ir a votar",0.931,0.922,0.884,0.86,0.807,0.881,0.66,0.729
"P26","Tiene dudas sobre si va a ir a  votar",0.053,0.056,0.07,0.109,0.126,0.083,0.16,0.174
"P26","Tiene Decidido que no va a ir a votar",0.016,0.022,0.046,0.031,0.067,0.036,0.18,0.097
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.941,0.02,0.014,0.126,0.047,0.121,0.044,0.079
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.033,0.694,0.054,0.076,0.232,0.351,0.098,0.171
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.007,0.16,0.892,0.014,0.012,0.059,0.015,0.041
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.004,0.003,0.003,0.689,0.007,0.005,0.004,0.003
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.001,0.01,0.012,0.035,0.631,0.002,0.015,0.027
"P28","Otros",0.004,0.04,0.014,0.012,0.027,0.416,0.059,0.101
"P28","En blanco",0.001,0.032,0.005,0.034,0.009,0.026,0.703,0.041
"P28","No sabe",0.009,0.041,0.006,0.014,0.035,0.02,0.062,0.537
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.9,0.066,0.087,0.499,0.251,0.268,0.091,0.137
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.023,0.893,0.608,0.072,0.294,0.296,0.179,0.15
"P33","En blanco",0.057,0.022,0.212,0.37,0.188,0.225,0.641,0.131
"P33","No sabe",0.02,0.019,0.093,0.059,0.267,0.211,0.089,0.582
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.136,0.839,0.108,0.247,0.28,0.215,0.126,0.198
