"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P05","Mucho",0.427,0.477,0.384,0.37,0.355,0.314,0.272,0.339,0.311,0.16
"P05","Bastante",0.324,0.335,0.358,0.361,0.304,0.34,0.34,0.284,0.202,0.229
"P05","Poco",0.189,0.165,0.215,0.217,0.257,0.234,0.328,0.262,0.297,0.328
"P05","Nada",0.038,0.016,0.038,0.04,0.067,0.084,0.043,0.089,0.167,0.214
"P05","No sabe",0.022,0.007,0.005,0.012,0.017,0.028,0.017,0.026,0.023,0.069
"P06","Siempre",0.27,0.251,0.251,0.249,0.258,0.183,0.208,0.217,0.236,0.097
"P06","Casi siempre",0.399,0.422,0.422,0.392,0.372,0.319,0.386,0.334,0.244,0.312
"P06","Casi nunca",0.243,0.258,0.249,0.272,0.247,0.36,0.289,0.304,0.294,0.339
"P06","Nunca, pero esta es una excepción",0.088,0.069,0.078,0.087,0.123,0.138,0.117,0.145,0.226,0.252
"P08","Unión por la Patria",0.658,0.589,0.087,0.16,0.119,0.214,0.218,0.131,0.109,0.07
"P08","Juntos por el Cambio",0.148,0.197,0.57,0.653,0.309,0.159,0.241,0.205,0.203,0.166
"P08","Liberales",0.029,0.094,0.266,0.072,0.415,0.076,0.065,0.069,0.118,0.069
"P08","Izquierda",0.031,0.041,0.008,0.017,0.016,0.263,0.088,0.045,0.089,0.007
"P08","Otro",0.043,0.034,0.028,0.035,0.058,0.148,0.191,0.299,0.082,0.038
"P08","No sabe",0.091,0.045,0.041,0.063,0.083,0.14,0.197,0.251,0.399,0.65
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.619,0.486,0.037,0.095,0.059,0.114,0.132,0.08,0.117,0.066
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.157,0.207,0.019,0.034,0.043,0.24,0.027,0.07,0.021,0.028
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.051,0.057,0.481,0.444,0.29,0.069,0.15,0.053,0.095,0.061
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.04,0.069,0.155,0.283,0.062,0.026,0.06,0.069,0.023,0.054
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.067,0.119,0.288,0.092,0.507,0.141,0.09,0.09,0.13,0.073
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.021,0.003,0.009,0.006,0.272,0.081,0.029,0.051,0.009
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0.016,0.007,0.02,0.016,0.065,0.409,0.044,0.057,0.021
"P09","Otros",0.016,0.015,0.003,0.004,0.009,0.05,0.012,0.456,0.071,0.054
"P09","En blanco",0.006,0.004,0.003,0.006,0.007,0.016,0.01,0.049,0.353,0.042
"P09","No sabe",0.016,0.006,0.004,0.013,0.001,0.007,0.029,0.06,0.082,0.592
"P25","Totalmente seguro",0.707,0.681,0.721,0.646,0.742,0.479,0.592,0.463,0.581,0.213
"P25","Bastante seguro",0.144,0.209,0.121,0.171,0.098,0.149,0.197,0.086,0.052,0.069
"P25","Algo seguro",0.089,0.08,0.106,0.1,0.109,0.172,0.122,0.168,0.043,0.059
"P25","Para nada seguro",0.06,0.03,0.052,0.083,0.051,0.2,0.089,0.283,0.324,0.659
"P26","Tiene Decidido que va a ir a votar",0.914,0.88,0.923,0.898,0.898,0.81,0.899,0.811,0.698,0.728
"P26","Tiene dudas sobre si va a ir a votar",0.061,0.082,0.046,0.076,0.064,0.108,0.07,0.129,0.143,0.166
"P26","Tiene Decidido que no va a ir a votar",0.025,0.038,0.031,0.026,0.038,0.082,0.031,0.06,0.159,0.106
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.81,0.618,0.049,0.13,0.083,0.163,0.15,0.156,0.118,0.106
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.07,0.099,0.614,0.555,0.295,0.079,0.155,0.086,0.117,0.115
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.051,0.1,0.263,0.113,0.545,0.084,0.088,0.092,0.153,0.085
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.019,0.068,0.006,0.027,0.018,0.36,0.054,0.033,0.069,0.018
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0.03,0.013,0.042,0.022,0.061,0.456,0.054,0.043,0.059
"P27","Otros",0.015,0.046,0.039,0.069,0.019,0.172,0.01,0.459,0.039,0.048
"P27","En blanco",0.006,0.022,0.006,0.023,0.005,0.038,0.029,0.032,0.29,0.035
"P27","No sabe",0.012,0.017,0.01,0.041,0.013,0.043,0.058,0.088,0.171,0.534
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.812,0.645,0.05,0.119,0.07,0.203,0.158,0.16,0.1,0.085
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.066,0.108,0.481,0.665,0.162,0.073,0.08,0.07,0.095,0.09
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.058,0.108,0.315,0.102,0.673,0.141,0.103,0.121,0.163,0.101
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.012,0.057,0.005,0.016,0.023,0.377,0.052,0.044,0.053,0.017
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.014,0.03,0.018,0.021,0.025,0.042,0.525,0.032,0.039,0.056
"P28","Otros",0.018,0.029,0.061,0.038,0.025,0.1,0.008,0.47,0.043,0.068
"P28","En blanco",0.01,0.008,0.027,0.015,0.009,0.035,0.049,0.019,0.283,0.046
"P28","No sabe",0.01,0.015,0.043,0.024,0.013,0.029,0.025,0.084,0.224,0.537
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.835,0.694,0.073,0.168,0.123,0.271,0.288,0.323,0.14,0.156
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.084,0.152,0.846,0.677,0.542,0.172,0.3,0.067,0.157,0.17
"P33","En blanco",0.049,0.094,0.044,0.09,0.233,0.313,0.166,0.295,0.592,0.187
"P33","No sabe",0.032,0.06,0.037,0.065,0.102,0.244,0.246,0.315,0.111,0.487
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.167,0.18,0.637,0.658,0.336,0.168,0.267,0.147,0.183,0.139
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.083,0.152,0.284,0.123,0.57,0.152,0.195,0.129,0.164,0.173
"P34","En blanco",0.538,0.518,0.044,0.13,0.057,0.492,0.275,0.408,0.553,0.171
"P34","No sabe",0.212,0.15,0.035,0.089,0.037,0.188,0.263,0.316,0.1,0.517
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.835,0.698,0.071,0.149,0.121,0.375,0.216,0.261,0.157,0.165
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.074,0.143,0.631,0.761,0.413,0.18,0.25,0.111,0.112,0.202
"P35","En blanco",0.06,0.105,0.189,0.06,0.338,0.341,0.211,0.277,0.573,0.095
"P35","No sabe",0.031,0.054,0.109,0.03,0.128,0.104,0.323,0.351,0.158,0.538
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.18,0.227,0.472,0.713,0.157,0.172,0.229,0.174,0.119,0.187
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.09,0.14,0.39,0.157,0.734,0.131,0.193,0.165,0.222,0.128
"P36","En blanco",0.522,0.48,0.072,0.09,0.067,0.518,0.295,0.401,0.506,0.183
"P36","No sabe",0.208,0.153,0.066,0.04,0.042,0.179,0.283,0.26,0.153,0.502
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.825,0.707,0.074,0.188,0.122,0.365,0.258,0.362,0.174,0.211
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.079,0.166,0.524,0.343,0.772,0.15,0.154,0.171,0.185,0.133
"P37","En blanco",0.06,0.086,0.218,0.297,0.061,0.304,0.278,0.211,0.531,0.133
"P37","No sabe",0.036,0.041,0.184,0.172,0.045,0.181,0.31,0.256,0.11,0.523
"P40","Lo votaría",0.759,0.658,0.076,0.161,0.106,0.198,0.249,0.148,0.097,0.11
"P40","Puede que lo vote",0.104,0.159,0.076,0.087,0.119,0.269,0.122,0.158,0.082,0.106
