"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P06","Mucho",0.467,0.469,0.431,0.338
"P06","Bastante",0.229,0.298,0.295,0.293
"P06","Poco",0.276,0.208,0.241,0.288
"P06","Nada",0.016,0.023,0.027,0.056
"P06","No sabe",0.012,0.002,0.006,0.025
"P07","Siempre",0.276,0.249,0.278,0.25
"P07","Casi siempre",0.389,0.44,0.404,0.389
"P07","Casi nunca",0.262,0.245,0.253,0.297
"P07","Nunca, pero esta es una excepción",0.073,0.066,0.065,0.064
"P09","Gran excedente habitual",0.026,0.014,0.013,0.01
"P09","Gran excedente excepcional",0.01,0.011,0.012,0.01
"P09","Pequeño excedente habitual",0.07,0.079,0.076,0.037
"P09","Pequeño excedente excepcional",0.13,0.155,0.145,0.127
"P09","Alcanza gastos familia",0.095,0.137,0.127,0.132
"P09","No alcanza gastos familia",0.077,0.05,0.065,0.077
"P09","Solo NBFamiliares",0.284,0.272,0.271,0.323
"P09","No alcanza NBFamiliares",0.307,0.278,0.285,0.283
"P09","No sabe",0.001,0.004,0.006,0.001
"P10","Tiene Decidido que va a ir a votar",0.862,0.921,0.895,0.843
"P10","Tiene dudas sobre si va a ir a  votar",0.101,0.063,0.083,0.102
"P10","Tiene Decidido que no va a ir a votar",0.037,0.016,0.022,0.055
"P13","Unión por la Patria",0.449,0.535,0.254,0.314
"P13","Juntos por el Cambio ",0.088,0.181,0.347,0.198
"P13","Liberales",0.22,0.137,0.265,0.113
"P13","Izquierda",0.106,0.031,0.022,0.028
"P13","Hacemos por Nuestro país",0.088,0.061,0.055,0.081
"P13","No sabe",0.049,0.055,0.057,0.266
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.489,0.552,0.269,0.321
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.126,0.234,0.394,0.256
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.239,0.139,0.273,0.113
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0.018,0.017,0.03
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.097,0.02,0.007,0.029
"P14","En blanco",0.014,0.012,0.023,0.103
"P14","No sabe",0.018,0.025,0.017,0.148
"P17","Totalmente seguro",0.679,0.705,0.732,0.479
"P17","Bastante seguro",0.157,0.137,0.124,0.166
"P17","Algo seguro",0.116,0.107,0.092,0.101
"P17","Para nada seguro",0.048,0.051,0.052,0.254
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.102,0.078,0.138,0.197
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.067,0.059,0.14,0.053
