"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.521,0.396,0.422,0.436,0.455,0.29
"P06","Bastante",0.243,0.34,0.278,0.252,0.271,0.238
"P06","Poco",0.212,0.236,0.264,0.269,0.26,0.346
"P06","Nada",0.021,0.022,0.035,0.029,0.007,0.073
"P06","No sabe",0.003,0.006,0.001,0.014,0.007,0.053
"P07","Siempre",0.326,0.272,0.277,0.238,0.289,0.299
"P07","Casi siempre",0.421,0.424,0.401,0.489,0.412,0.329
"P07","Casi nunca",0.211,0.24,0.265,0.24,0.232,0.211
"P07","Nunca, pero esta es una excepción",0.042,0.064,0.057,0.033,0.067,0.161
"P09","Gran excedente habitual",0.016,0.01,0.005,0.018,0.021,0.001
"P09","Gran excedente excepcional",0.012,0.009,0.014,0.015,0.012,0
"P09","Pequeño excedente habitual",0.113,0.083,0.053,0.088,0.073,0.035
"P09","Pequeño excedente excepcional",0.188,0.141,0.149,0.128,0.144,0.089
"P09","Alcanza gastos familia",0.107,0.15,0.093,0.22,0.123,0.132
"P09","No alcanza gastos familia",0.055,0.061,0.072,0.057,0.069,0.154
"P09","Solo NBFamiliares",0.275,0.257,0.321,0.283,0.283,0.234
"P09","No alcanza NBFamiliares",0.228,0.283,0.285,0.191,0.275,0.343
"P09","No sabe",0.006,0.006,0.008,0,0,0.012
"P10","Tiene Decidido que va a ir a votar",0.917,0.888,0.859,0.915,0.882,0.82
"P10","Tiene dudas sobre si va a ir a  votar",0.067,0.083,0.105,0.077,0.105,0.103
"P10","Tiene Decidido que no va a ir a votar",0.016,0.029,0.036,0.008,0.013,0.077
"P13","Unión por la Patria",0.63,0.435,0.151,0.117,0.039,0.15
"P13","Juntos por el Cambio ",0.087,0.197,0.372,0.449,0.546,0.344
"P13","Liberales",0.159,0.219,0.302,0.251,0.303,0.164
"P13","Izquierda",0.032,0.032,0.04,0.054,0.023,0.056
"P13","Hacemos por Nuestro país",0.045,0.063,0.073,0.076,0.059,0.016
"P13","No sabe",0.047,0.054,0.062,0.053,0.03,0.27
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.625,0.401,0.223,0.143,0.092,0.27
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.142,0.277,0.441,0.544,0.623,0.354
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.169,0.237,0.228,0.216,0.247,0.166
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.013,0.028,0.039,0.026,0.012,0.006
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.021,0.013,0.019,0.024,0.004,0.05
"P14","En blanco",0.021,0.024,0.03,0.036,0.009,0.039
"P14","No sabe",0.009,0.02,0.02,0.011,0.013,0.115
"P17","Totalmente seguro",0.732,0.661,0.648,0.68,0.792,0.629
"P17","Bastante seguro",0.11,0.163,0.185,0.123,0.108,0.075
"P17","Algo seguro",0.1,0.118,0.101,0.129,0.056,0.194
"P17","Para nada seguro",0.058,0.058,0.066,0.068,0.044,0.102
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.092,0.048,0.27,0.266,0.232,0.219
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.088,0.059,0.175,0.101,0.447,0.211
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.239,0.314,0.144,0.27,0.216,0.313
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.238,0.311,0.203,0.079,0.052,0.007
"P22","En blanco",0.227,0.179,0.168,0.204,0.019,0.051
"P22","No sabe",0.116,0.089,0.04,0.08,0.034,0.199
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.267,0.18,0.132,0.056,0.082,0.025
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.34,0.394,0.369,0.399,0.311,0.404
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.226,0.164,0.179,0.141,0.163,0.075
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.04,0.019,0.031,0.005,0.014,0
"P25","En blanco",0.057,0.136,0.221,0.247,0.309,0.179
"P25","No sabe",0.07,0.107,0.068,0.152,0.121,0.317
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.199,0.149,0.11,0.17,0.191,0.089
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.388,0.444,0.544,0.559,0.485,0.54
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.152,0.138,0.185,0.145,0.137,0.059
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.015,0.009,0.013,0.014,0.01,0
"P28","En blanco",0.214,0.188,0.106,0.108,0.173,0.05
"P28","No sabe",0.032,0.072,0.042,0.004,0.004,0.262
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.766,0.359,0.227,0.021,0.014,0.104
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.108,0.238,0.183,0.536,0.957,0.791
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.006,0.027,0.018,0.421,0.014,0
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.011,0.005,0.223,0,0,0
"P31","En blanco",0.092,0.366,0.005,0.011,0.015,0
"P31","No sabe",0.017,0.005,0.344,0.011,0,0.105
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.237,0.316,0.481,0.469,0.522,0.383
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.128,0.178,0.216,0.221,0.283,0.246
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.4,0.317,0.163,0.129,0.083,0.072
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.124,0.113,0.057,0.063,0.011,0.112
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.072,0.053,0.046,0.044,0.061,0.054
"P36","No sabe",0.039,0.023,0.037,0.074,0.04,0.133
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.656,0.421,0.267,0.234,0.121,0.32
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.174,0.354,0.527,0.616,0.699,0.457
"P37","En blanco",0.118,0.156,0.124,0.105,0.111,0.046
"P37","No sabe",0.052,0.069,0.082,0.045,0.069,0.177
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.225,0.313,0.42,0.559,0.644,0.463
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.205,0.253,0.315,0.247,0.28,0.166
"P38","En blanco",0.421,0.279,0.163,0.14,0.045,0.088
"P38","No sabe",0.149,0.155,0.102,0.054,0.031,0.283
