"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.482,0.412,0.392,0.422,0.352,0.252,0.24
"P06","Bastante",0.278,0.313,0.297,0.235,0.19,0.172,0.255
"P06","Poco",0.205,0.241,0.265,0.283,0.391,0.443,0.309
"P06","Nada",0.023,0.029,0.04,0.056,0.021,0.094,0.181
"P06","No sabe",0.012,0.005,0.006,0.004,0.046,0.039,0.015
"P07","Siempre",0.268,0.266,0.253,0.234,0.141,0.235,0.183
"P07","Casi siempre",0.43,0.423,0.347,0.385,0.353,0.321,0.322
"P07","Casi nunca",0.241,0.245,0.3,0.334,0.369,0.289,0.299
"P07","Nunca, pero esta es una excepción",0.061,0.066,0.1,0.047,0.137,0.155,0.196
"P09","Gran excedente habitual",0.022,0.008,0.016,0.013,0.003,0,0
"P09","Gran excedente excepcional",0.015,0.009,0.008,0.018,0.002,0.002,0.013
"P09","Pequeño excedente habitual",0.094,0.071,0.045,0.046,0.009,0.024,0.028
"P09","Pequeño excedente excepcional",0.157,0.122,0.117,0.134,0.185,0.08,0.089
"P09","Alcanza gastos familia",0.11,0.143,0.102,0.089,0.164,0.083,0.097
"P09","No alcanza gastos familia",0.08,0.069,0.075,0.068,0.087,0.155,0.127
"P09","Solo NBFamiliares",0.249,0.284,0.286,0.347,0.145,0.174,0.286
"P09","No alcanza NBFamiliares",0.268,0.29,0.345,0.283,0.4,0.47,0.336
"P09","No sabe",0.005,0.004,0.006,0.002,0.005,0.012,0.024
"P10","Tiene Decidido que va a ir a votar",0.916,0.893,0.892,0.842,0.821,0.648,0.685
"P10","Tiene dudas sobre si va a ir a  votar",0.064,0.085,0.078,0.144,0.119,0.178,0.206
"P10","Tiene Decidido que no va a ir a votar",0.02,0.022,0.03,0.014,0.06,0.174,0.109
"P13","Unión por la Patria",0.78,0.071,0.101,0.209,0.031,0.037,0.046
"P13","Juntos por el Cambio ",0.095,0.675,0.107,0.081,0.076,0.019,0.089
"P13","Liberales",0.038,0.181,0.567,0.09,0.008,0.006,0.019
"P13","Izquierda",0.016,0.026,0.02,0.243,0.267,0.03,0.066
"P13","Hacemos por Nuestro país",0.021,0.02,0.145,0.259,0.522,0.125,0.108
"P13","No sabe",0.05,0.027,0.06,0.118,0.096,0.783,0.672
"P17","Totalmente seguro",0.745,0.683,0.688,0.57,0.512,0.195,0.241
"P17","Bastante seguro",0.129,0.155,0.149,0.126,0.13,0.117,0.053
"P17","Algo seguro",0.093,0.119,0.108,0.123,0.105,0.108,0.106
"P17","Para nada seguro",0.033,0.043,0.055,0.181,0.253,0.58,0.6
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.175,0.475,0.596,0.293,0.43,0.228,0.262
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.138,0.295,0.177,0.166,0.08,0.134,0.112
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.426,0.125,0.096,0.285,0.17,0.125,0.134
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.144,0.028,0.044,0.136,0.171,0.272,0.15
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.064,0.036,0.04,0.083,0.116,0.032,0.033
