"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.385,0.298,0.516,0.363
"P05","Bastante",0.445,0.481,0.376,0.349
"P05","Poco",0.144,0.195,0.097,0.229
"P05","Nada",0.022,0.025,0.008,0.046
"P05","No sabe",0.004,0.001,0.003,0.013
"P06","Siempre",0.276,0.236,0.272,0.227
"P06","Casi siempre",0.45,0.458,0.506,0.449
"P06","Casi nunca",0.218,0.224,0.17,0.22
"P06","Nunca, pero esta es una excepción",0.056,0.082,0.052,0.104
"P08","Unión por la Patria",0.146,0.142,0.696,0.447
"P08","Juntos por el Cambio ",0.72,0.134,0.136,0.15
"P08","Liberales",0.075,0.59,0.012,0.03
"P08","Izquierda",0.007,0.019,0.058,0.034
"P08","Otro",0.023,0.056,0.049,0.107
"P08","No sabe",0.029,0.059,0.049,0.232
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.099,0.072,0.622,0.44
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.013,0.025,0.208,0.123
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.582,0.136,0.023,0.052
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.196,0.051,0.034,0.068
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.062,0.672,0.023,0.044
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.007,0.008,0.032,0.029
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.01,0.004,0.007,0.031
"P15","Otros",0.014,0.018,0.026,0.062
"P15","En blanco",0.002,0.005,0.017,0.011
"P15","No sabe",0.015,0.009,0.008,0.14
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.09,0.089,0.484,0.374
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.042,0.018,0.252,0.099
