"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P05","Mucho",0.386,0.386,0.441,0.229
"P05","Bastante",0.451,0.418,0.432,0.411
"P05","Poco",0.132,0.129,0.1,0.194
"P05","Nada",0.026,0.046,0.018,0.126
"P05","No sabe",0.005,0.021,0.009,0.04
"P06","Siempre",0.258,0.181,0.269,0.182
"P06","Casi siempre",0.452,0.475,0.441,0.432
"P06","Casi nunca",0.242,0.306,0.214,0.293
"P06","Nunca, pero esta es una excepción",0.048,0.038,0.076,0.093
"P08","Unión por la Patria",0.109,0.119,0.562,0.21
"P08","Juntos por el Cambio",0.75,0.316,0.167,0.212
"P08","Liberales",0.096,0.387,0.13,0.144
"P08","Izquierda",0.006,0.015,0.055,0.045
"P08","Otro",0.017,0.071,0.038,0.046
"P08","No sabe",0.022,0.092,0.048,0.343
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.061,0.085,0.467,0.193
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.053,0.023,0.15,0.039
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.662,0.101,0.099,0.038
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.122,0.253,0.079,0.12
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.08,0.466,0.14,0.192
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.002,0.007,0.028,0.009
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.003,0.02,0.003,0.107
"P15","Otros",0.002,0.013,0.015,0.089
"P15","En blanco",0.006,0.006,0.006,0.029
"P15","No sabe",0.009,0.026,0.013,0.184
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.051,0.088,0.448,0.171
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.039,0.089,0.176,0.048
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.484,0.414,0.084,0.134
