"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P07","Siempre",0.374,0.169,0.122,0.113,0.154
"P07","Casi siempre",0.362,0.521,0.305,0.184,0.169
"P07","Casi nunca",0.181,0.218,0.431,0.392,0.289
"P07","Nunca, pero esta es una excepción",0.083,0.092,0.142,0.311,0.388
"P08","Tiene Decidido que va a ir a votar",0.91,0.869,0.711,0.512,0.612
"P08","Tiene dudas sobre si va a ir a  votar",0.059,0.097,0.215,0.2,0.254
"P08","Tiene Decidido que no va a ir a votar",0.031,0.034,0.074,0.288,0.134
"P10","Unión por la Patria",0.405,0.317,0.209,0.117,0.254
"P10","Juntos por el Cambio",0.303,0.365,0.352,0.23,0.152
"P10","Liberales",0.15,0.133,0.151,0.185,0.04
"P10","Izquierda",0.034,0.022,0.026,0.069,0.06
"P10","Otro",0.045,0.043,0.069,0.049,0.124
"P10","No sabe",0.063,0.12,0.193,0.35,0.37
"P19","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.34,0.279,0.183,0.128,0.249
"P19","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.102,0.104,0.059,0.038,0.078
"P19","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.223,0.25,0.258,0.164,0.062
"P19","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.087,0.141,0.165,0.143,0.089
"P19","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.161,0.134,0.184,0.244,0.114
"P19","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.018,0.006,0.02,0.053,0
"P19","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.008,0.013,0.015,0.001,0.02
"P19","Otros",0.031,0.02,0.039,0.043,0.028
"P19","En blanco",0.014,0.008,0.01,0.024,0
"P19","No sabe",0.016,0.045,0.067,0.162,0.36
"P22","Totalmente seguro",0.727,0.573,0.474,0.472,0.295
"P22","Bastante seguro",0.11,0.215,0.23,0.135,0.258
"P22","Algo seguro",0.098,0.119,0.144,0.055,0.218
"P22","Para nada seguro",0.065,0.093,0.152,0.338,0.229
"P29","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.282,0.255,0.178,0.197,0.137
"P29","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.123,0.093,0.056,0.047,0.177
