"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P06","Mucho",0.533,0.395,0.404,0.316
"P06","Bastante",0.372,0.397,0.345,0.327
"P06","Poco",0.074,0.151,0.151,0.245
"P06","Nada",0.01,0.051,0.09,0.087
"P06","No sabe",0.011,0.006,0.01,0.025
"P07","Siempre",0.293,0.299,0.25,0.228
"P07","Casi siempre",0.467,0.465,0.428,0.438
"P07","Casi nunca",0.191,0.181,0.215,0.226
"P07","Nunca, pero esta es una excepción",0.049,0.055,0.107,0.108
"P08","Tiene Decidido que va a ir a votar",0.914,0.895,0.841,0.794
"P08","Tiene dudas sobre si va a ir a  votar",0.067,0.088,0.115,0.174
"P08","Tiene Decidido que no va a ir a votar",0.019,0.017,0.044,0.032
"P10","Unión por la Patria",0.785,0.084,0.175,0.081
"P10","Juntos por el Cambio",0.1,0.701,0.21,0.269
"P10","Liberales",0.022,0.155,0.426,0.283
"P10","Izquierda",0.023,0.008,0.051,0.023
"P10","Otro",0.027,0.019,0.042,0.119
"P10","No sabe",0.043,0.033,0.096,0.225
"P19","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.7,0.015,0.083,0.079
"P19","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.178,0.006,0.079,0.064
"P19","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.036,0.533,0.226,0.269
"P19","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.023,0.263,0.048,0.042
"P19","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.022,0.159,0.43,0.317
"P19","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.016,0.002,0.026,0.004
"P19","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.003,0.005,0.027,0.034
"P19","Otros",0.008,0.007,0.046,0.066
"P19","En blanco",0.003,0.002,0.022,0.006
"P19","No sabe",0.011,0.008,0.013,0.119
"P22","Totalmente seguro",0.688,0.634,0.697,0.5
"P22","Bastante seguro",0.184,0.19,0.104,0.166
"P22","Algo seguro",0.096,0.122,0.12,0.114
"P22","Para nada seguro",0.032,0.054,0.079,0.22
"P29","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.515,0.032,0.1,0.124
"P29","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.223,0.015,0.067,0.069
"P29","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.065,0.466,0.313,0.284
"P29","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.047,0.3,0.037,0.069
"P29","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.077,0.164,0.327,0.235
"P29","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.024,0.001,0.032,0.009
"P29","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.003,0.005,0.013,0.015
"P29","Otros",0.023,0.002,0.044,0.079
"P29","En blanco",0.012,0.003,0.036,0.012
"P29","No sabe",0.011,0.012,0.031,0.104
"P34","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.816,0.021,0.091,0.117
"P34","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.063,0.693,0.277,0.28
"P34","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.038,0.188,0.447,0.242
"P34","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.026,0.014,0.078,0.057
"P34","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.008,0.008,0.036,0.066
"P34","Otros",0.025,0.035,0.03,0.056
"P34","En blanco",0.01,0.012,0.032,0.008
"P34","No sabe",0.014,0.029,0.009,0.174
"P35","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.815,0.017,0.144,0.1
"P35","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.057,0.695,0.116,0.087
"P35","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.042,0.219,0.509,0.31
"P35","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.03,0.005,0.04,0.04
