"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P05","Mucho",0.597,0.35,0.237,0.188
"P05","Bastante",0.235,0.454,0.278,0.171
"P05","Poco",0.092,0.129,0.311,0.182
"P05","Nada",0.049,0.052,0.131,0.331
"P05","No sabe",0.027,0.015,0.043,0.128
"P07","Del Frente de Todos y el peronismo",0.406,0.291,0.206,0.196
"P07","De Juntos por el Cambio",0.32,0.389,0.241,0.16
"P07","De los Liberales libertarios",0.153,0.166,0.293,0.169
"P07","De la Izquierda",0.021,0.028,0.038,0.121
"P07","No sabe",0.1,0.126,0.222,0.354
"P08","A Sergio Massa",0.326,0.245,0.313,0.274
"P08","A Daniel Scioli",0.138,0.085,0.073,0.164
"P08","A algún candidato del peronismo",0.153,0.149,0.2,0.129
"P08","A algún candidato del kirchnerismo",0.383,0.521,0.414,0.433
"P09","A Horacio Rodríguez Larreta",0.159,0.159,0.176,0.227
"P09","A Patricia Bullrich",0.749,0.68,0.689,0.656
"P09","A Facundo Manes",0.049,0.098,0.072,0.065
"P09","A Gerardo Morales",0.043,0.063,0.063,0.052
"P10","Sergio Massa por el Frente de Todos",0.196,0.183,0.136,0.108
"P10","Patricia Bullrich por Juntos por el Cambio",0.2,0.183,0.143,0.103
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.044,0.058,0.051,0.036
"P10","Juan Schiaretti por Juntos por el Cambio",0.089,0.075,0.122,0.102
"P10","Jose Luis Espert por Juntos por el Cambio",0.085,0.087,0.049,0.061
"P10","Javier Milei por la Libertad Avanza",0.215,0.227,0.268,0.261
"P10","Al candidato del Frente de Izquierda",0.034,0.032,0.031,0.031
"P10","En blanco",0.026,0.027,0.048,0.07
"P10","No sabe",0.111,0.128,0.152,0.228
"P13","Wado de Pedro por el Frente de Todos",0.234,0.212,0.138,0.129
"P13","Patricia Bullrich por Juntos por el Cambio",0.201,0.182,0.166,0.095
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.054,0.066,0.066,0.037
"P13","Juan Schiaretti por Juntos por el Cambio",0.077,0.084,0.115,0.09
"P13","Jose Luis Espert por Juntos por el Cambio",0.095,0.106,0.072,0.077
"P13","Javier Milei por la Libertad Avanza",0.209,0.212,0.252,0.28
"P13","Al candidato del Frente de Izquierda",0.025,0.024,0.029,0.022
"P13","En blanco",0.025,0.028,0.039,0.061
"P13","No sabe",0.08,0.086,0.123,0.209
