"var","categoria","Javier Milei por los liberales libertarios","Daniel Scioli por el Frente de Todos","En blanco","No sabe"
"P05","Mucho",0.408,0.459,0.429,0.345
"P05","Bastante",0.389,0.387,0.386,0.35
"P05","Poco",0.122,0.118,0.129,0.178
"P05","Nada",0.066,0.016,0.044,0.07
"P05","No sabe",0.015,0.02,0.012,0.057
"P06","Siempre",0.271,0.328,0.303,0.372
"P06","Casi siempre",0.404,0.469,0.475,0.413
"P06","Casi nunca",0.249,0.144,0.161,0.155
"P06","Nunca, pero esta es una excepción",0.076,0.059,0.061,0.06
"P07","Del Frente de Todos y el peronismo",0.044,0.785,0.186,0.191
"P07","De Juntos por el Cambio",0.403,0.082,0.599,0.568
"P07","De los Liberales libertarios",0.482,0.045,0.023,0.042
"P07","De la Izquierda",0.014,0.035,0.077,0.01
"P07","No sabe",0.057,0.053,0.115,0.189
"P08","A Sergio Massa",0.337,0.283,0.259,0.309
"P08","A Daniel Scioli",0.209,0.105,0.068,0.031
"P08","A algún candidato del peronismo",0.363,0.101,0.251,0.152
"P08","A algún candidato del kirchnerismo",0.091,0.511,0.422,0.508
"P09","A Horacio Rodríguez Larreta",0.101,0.266,0.159,0.115
"P09","A Patricia Bullrich",0.84,0.194,0.683,0.782
"P09","A Facundo Manes",0.02,0.321,0.099,0.069
"P09","A Gerardo Morales",0.039,0.219,0.059,0.034
"P10","Sergio Massa por el Frente de Todos",0.023,0.428,0.136,0.128
"P10","Patricia Bullrich por Juntos por el Cambio",0.256,0.029,0.315,0.294
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.016,0.093,0.091
"P10","Juan Schiaretti por Juntos por el Cambio",0.191,0.027,0.025,0.04
"P10","Jose Luis Espert por Juntos por el Cambio",0.018,0.232,0.039,0.048
"P10","Javier Milei por la Libertad Avanza",0.454,0.03,0.155,0.183
"P10","Al candidato del Frente de Izquierda",0.004,0.057,0.071,0.017
"P10","En blanco",0.007,0.023,0.081,0.016
"P10","No sabe",0.014,0.158,0.085,0.183
"P13","Wado de Pedro por el Frente de Todos",0.062,0.507,0.165,0.182
"P13","Patricia Bullrich por Juntos por el Cambio",0.222,0.037,0.26,0.322
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.048,0.025,0.113,0.092
"P13","Juan Schiaretti por Juntos por el Cambio",0.188,0.02,0.029,0.036
"P13","Jose Luis Espert por Juntos por el Cambio",0.043,0.222,0.063,0.055
"P13","Javier Milei por la Libertad Avanza",0.421,0.064,0.179,0.13
"P13","Al candidato del Frente de Izquierda",0.001,0.036,0.06,0.004
"P13","En blanco",0.005,0.022,0.078,0.012
"P13","No sabe",0.01,0.067,0.053,0.167
"P16","Sergio Massa por el Frente de Todos",0.022,0.235,0.085,0.072
"P16","Wado de Pedro por el Frente de Todos",0.019,0.513,0.132,0.102
"P16","Daniel Scioli por el Frente de Todos",0.013,0.109,0.019,0.038
"P16","Patricia Bullrich por Juntos por el Cambio",0.395,0.031,0.424,0.463
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.079,0.034,0.16,0.115
"P16","Javier Milei por la Libertad Avanza",0.453,0.025,0.018,0.034
"P16","Al candidato del Frente de Izquierda",0.001,0.02,0.05,0.008
"P16","En blanco",0.008,0.006,0.07,0.012
"P16","No sabe",0.01,0.027,0.042,0.156
"P19","Sergio Massa por el Frente de Todos",0.024,0.225,0.086,0.086
"P19","Wado de Pedro por el Frente de Todos",0.02,0.571,0.152,0.122
"P19","Patricia Bullrich por Juntos por el Cambio",0.382,0.04,0.418,0.425
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.066,0.039,0.158,0.133
"P19","Javier Milei por la Libertad Avanza",0.46,0.043,0.012,0.045
