"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P05","Mucho",0.391,0.408,0.461,0.252
"P05","Bastante",0.394,0.412,0.373,0.327
"P05","Poco",0.094,0.143,0.124,0.247
"P05","Nada",0.093,0.029,0.028,0.077
"P05","No sabe",0.028,0.008,0.014,0.097
"P06","Siempre",0.275,0.276,0.326,0.416
"P06","Casi siempre",0.393,0.475,0.464,0.273
"P06","Casi nunca",0.244,0.193,0.162,0.16
"P06","Nunca, pero esta es una excepción",0.088,0.056,0.048,0.151
"P07","Del Frente de Todos y el peronismo",0.053,0.093,0.537,0.172
"P07","De Juntos por el Cambio",0.243,0.675,0.289,0.498
"P07","De los Liberales libertarios",0.64,0.137,0.055,0.033
"P07","De la Izquierda",0.021,0.014,0.043,0
"P07","No sabe",0.043,0.081,0.076,0.297
"P08","A Sergio Massa",0.242,0.288,0.288,0.517
"P08","A Daniel Scioli",0.151,0.23,0.073,0.279
"P08","A algún candidato del peronismo",0.383,0.334,0.112,0.048
"P08","A algún candidato del kirchnerismo",0.224,0.148,0.527,0.156
"P09","A Horacio Rodríguez Larreta",0.143,0.086,0.146,0.143
"P09","A Patricia Bullrich",0.787,0.862,0.648,0.702
"P09","A Facundo Manes",0.033,0.021,0.128,0.053
"P09","A Gerardo Morales",0.037,0.031,0.078,0.102
"P10","Sergio Massa por el Frente de Todos",0.023,0.055,0.302,0.146
"P10","Patricia Bullrich por Juntos por el Cambio",0.133,0.454,0.14,0.264
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.044,0.043,0.04,0.079
"P10","Juan Schiaretti por Juntos por el Cambio",0.262,0.056,0.034,0.029
"P10","Jose Luis Espert por Juntos por el Cambio",0.015,0.049,0.148,0.077
"P10","Javier Milei por la Libertad Avanza",0.499,0.295,0.105,0.163
"P10","Al candidato del Frente de Izquierda",0,0.007,0.055,0.025
"P10","En blanco",0.012,0.006,0.034,0.044
"P10","No sabe",0.012,0.035,0.142,0.173
"P13","Wado de Pedro por el Frente de Todos",0.063,0.11,0.366,0.197
"P13","Patricia Bullrich por Juntos por el Cambio",0.121,0.384,0.136,0.276
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.08,0.058,0.074
"P13","Juan Schiaretti por Juntos por el Cambio",0.253,0.057,0.027,0.034
"P13","Jose Luis Espert por Juntos por el Cambio",0.044,0.039,0.164,0.05
"P13","Javier Milei por la Libertad Avanza",0.471,0.288,0.112,0.124
"P13","Al candidato del Frente de Izquierda",0.001,0.005,0.036,0
"P13","En blanco",0.009,0.005,0.032,0.041
"P13","No sabe",0.003,0.032,0.069,0.204
"P16","Sergio Massa por el Frente de Todos",0.018,0.06,0.168,0.077
"P16","Wado de Pedro por el Frente de Todos",0.019,0.059,0.355,0.083
"P16","Daniel Scioli por el Frente de Todos",0.037,0.021,0.062,0.036
"P16","Patricia Bullrich por Juntos por el Cambio",0.224,0.648,0.2,0.421
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.072,0.089,0.078,0.117
"P16","Javier Milei por la Libertad Avanza",0.612,0.085,0.049,0.036
"P16","Al candidato del Frente de Izquierda",0.003,0.003,0.027,0
"P16","En blanco",0.011,0.011,0.019,0.044
"P16","No sabe",0.004,0.024,0.042,0.186
"P19","Sergio Massa por el Frente de Todos",0.024,0.058,0.16,0.101
"P19","Wado de Pedro por el Frente de Todos",0.032,0.035,0.399,0.099
"P19","Patricia Bullrich por Juntos por el Cambio",0.208,0.632,0.202,0.4
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.06,0.101,0.076,0.114
"P19","Javier Milei por la Libertad Avanza",0.618,0.128,0.046,0.049
"P19","Al candidato del Frente de Izquierda",0.046,0.008,0.033,0.007
"P19","En blanco",0.001,0.01,0.032,0.036
"P19","No sabe",0.011,0.028,0.052,0.194
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.035,0.098,0.498,0.22
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.211,0.693,0.207,0.389
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.073,0.059,0.092,0.121
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.029,0.031,0.024,0.022
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.637,0.079,0.038,0.039
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.01,0.002,0.037,0.007
"P22","En blanco",0,0.013,0.035,0.017
"P22","No sabe",0.005,0.025,0.069,0.185
"P25","Sergio Massa por el Frente de Todos",0.043,0.1,0.342,0.145
"P25","Daniel Scioli por el Frente de Todos",0.046,0.07,0.135,0.085
"P25","Patricia Bullrich por Juntos por el Cambio",0.217,0.613,0.228,0.388
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.051,0.079,0.082,0.089
"P25","Javier Milei por la Libertad Avanza",0.615,0.101,0.037,0.029
"P25","Al candidato del Frente de Izquierda",0.008,0.005,0.049,0.03
"P25","En blanco",0.003,0.01,0.047,0.028
"P25","No sabe",0.017,0.022,0.08,0.206
"P26","Wado de Pedro por el Frente de Todos",0.015,0.061,0.464,0.165
"P26","Daniel Scioli por el Frente de Todos",0.027,0.048,0.1,0.067
"P26","Patricia Bullrich por Juntos por el Cambio",0.226,0.702,0.21,0.399
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.053,0.06,0.073,0.127
"P26","Javier Milei por la Libertad Avanza",0.659,0.085,0.038,0.017
"P26","Al candidato del Frente de Izquierda",0.01,0.003,0.031,0.002
"P26","En blanco",0.002,0.009,0.031,0.027
"P26","No sabe",0.008,0.032,0.053,0.196
"P27","Sergio Massa por el Frente de Todos",0.023,0.074,0.455,0.198
"P27","Patricia Bullrich por Juntos por el Cambio",0.224,0.661,0.213,0.391
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.062,0.125,0.085,0.13
"P27","Javier Milei por la Libertad Avanza",0.629,0.09,0.034,0.014
"P27","Al candidato del Frente de Izquierda",0.044,0.012,0.061,0.039
"P27","En blanco",0.012,0.013,0.042,0.044
"P27","No sabe",0.006,0.025,0.11,0.184
"P28","Wado de Pedro por el Frente de Todos",0.016,0.062,0.519,0.211
"P28","Patricia Bullrich por Juntos por el Cambio",0.237,0.714,0.215,0.397
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.084,0.075,0.124
