"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P04","Tengo trabajo estable",0.429,0.456,0.495,0.273
"P04","Realizo changas o trabajos de vez en cuando",0.193,0.187,0.199,0.3
"P04","No tengo trabajo",0.218,0.166,0.161,0.212
"P04","Soy jubilado o pensionado",0.16,0.191,0.145,0.215
"P05","Derecha",0.303,0.229,0.205,0.109
"P05","Centro derecha",0.195,0.258,0.115,0.12
"P05","Centro izquierda",0.117,0.118,0.258,0.08
"P05","Izquierda",0.052,0.041,0.124,0.066
"P05","No sabe",0.333,0.354,0.298,0.625
"P06","Alta",0.299,0.247,0.454,0.341
"P06","Media",0.291,0.312,0.284,0.386
"P06","Baja",0.41,0.441,0.262,0.273
"P07","Estoy de acuerdo",0.33,0.295,0.472,0.254
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.435,0.477,0.333,0.399
"P07","No estoy de acuerdo",0.186,0.153,0.14,0.232
"P07","No sabe",0.049,0.075,0.055,0.115
"P08","Del Frente de Todos y el peronismo",0.172,0.089,0.443,0.183
"P08","De Cambiemos",0.599,0.535,0.167,0.144
"P08","De los Liberales libertarios",0.109,0.207,0.159,0.125
"P08","De la Izquierda",0.021,0.015,0.053,0.043
"P08","No sabe",0.099,0.154,0.178,0.505
"P10","A Alberto Fernández",0.217,0.228,0.161,0.233
"P10","A Sergio Massa",0.24,0.147,0.122,0.196
"P10","A algún candidato del peronismo",0.278,0.414,0.177,0.265
"P10","A algún candidato del kirchnerismo",0.265,0.211,0.54,0.306
"P11","A Alberto Fernández",0.147,0.131,0.1,0.218
"P11","A Sergio Massa",0.143,0.138,0.073,0.102
"P11","A algún candidato del peronismo",0.281,0.439,0.133,0.329
"P11","A Cristina Fernández de Kirchner",0.429,0.292,0.694,0.351
"P12","A Horacio Rodriguez Larreta",0.282,0.206,0.236,0.215
"P12","A Mauricio Macri",0.36,0.313,0.347,0.359
"P12","A Patricia Bullrich",0.277,0.289,0.234,0.148
"P12","A Facundo Manes",0.039,0.098,0.104,0.158
"P12","A Gerardo Morales",0.042,0.094,0.079,0.12
"P13","Seguro lo votaria",0.268,0.169,0.233,0.119
"P13","Quizás lo votaría",0.251,0.305,0.237,0.422
"P13","Nunca lo votaría",0.481,0.526,0.53,0.459
"P14","Lo votaría",0.517,0.282,0.109,0.105
"P14","Puede que lo vote",0.193,0.384,0.121,0.141
"P14","Nunca lo votaría",0.252,0.273,0.737,0.397
"P14","No sabe",0.038,0.061,0.033,0.357
"P15","Lo votaría",0.092,0.051,0.112,0.073
"P15","Puede que lo vote",0.126,0.105,0.264,0.101
"P15","Nunca lo votaría",0.751,0.798,0.55,0.377
"P15","No sabe",0.031,0.046,0.074,0.449
"P16","Lo votaría",0.12,0.065,0.139,0.085
"P16","Puede que lo vote",0.08,0.095,0.237,0.11
"P16","Nunca lo votaría",0.748,0.817,0.543,0.392
"P16","No sabe",0.052,0.023,0.081,0.413
"P17","La votaría",0.148,0.073,0.367,0.202
"P17","Puede que la vote",0.034,0.075,0.092,0.067
"P17","Nunca la votaría",0.805,0.835,0.505,0.397
"P17","No sabe",0.013,0.017,0.036,0.334
"P18","Lo votaría",0.525,0.224,0.071,0.106
"P18","Puede que lo vote",0.242,0.505,0.129,0.145
"P18","Nunca lo votaría",0.17,0.217,0.746,0.28
"P18","No sabe",0.063,0.054,0.054,0.469
"P19","Lo votaría",0.231,0.137,0.062,0.061
"P19","Puede que lo vote",0.307,0.364,0.134,0.091
"P19","Nunca lo votaría",0.353,0.391,0.691,0.24
"P19","No sabe",0.109,0.108,0.113,0.608
"P20","La votaría",0.547,0.36,0.135,0.145
"P20","Puede que la vote",0.198,0.352,0.12,0.092
"P20","Nunca la votaría",0.213,0.246,0.706,0.298
"P20","No sabe",0.042,0.042,0.039,0.465
"P21","Lo votaría",0.199,0.177,0.157,0.093
"P21","Puede que lo vote",0.197,0.285,0.104,0.105
"P21","Nunca lo votaría",0.543,0.48,0.693,0.325
"P21","No sabe",0.061,0.058,0.046,0.477
"P23","Lo votaría",0.102,0.054,0.133,0.029
"P23","Puede que lo vote",0.075,0.107,0.233,0.105
"P23","Nunca lo votaría",0.767,0.799,0.554,0.394
"P23","No sabe",0.056,0.04,0.08,0.472
"P24","Lo votaría",0.163,0.077,0.037,0.018
"P24","Puede que lo vote",0.253,0.277,0.093,0.073
"P24","Nunca lo votaría",0.446,0.488,0.75,0.283
"P24","No sabe",0.138,0.158,0.12,0.626
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.466,0.341,0.109,0.154
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.251,0.225,0.063,0.111
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.016,0.034,0.063,0.102
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.097,0.056,0.408,0.184
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.106,0.192,0.169,0.134
"P25","Otros candidatos",0.064,0.152,0.188,0.315
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.113,0.096,0.421,0.285
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.579,0.447,0.139,0.177
"P29","Javier Milei – José Luis Espert por los liberales",0.146,0.211,0.175,0.155
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.06,0.042,0.074,0.026
"P29","Otro candidato",0.102,0.204,0.191,0.357
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.563,0.407,0.132,0.208
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.095,0.099,0.296,0.196
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.182,0.243,0.199,0.164
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.009,0.013,0.069,0.035
"P31","Otro candidato",0.151,0.238,0.304,0.397
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.097,0.082,0.362,0.159
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.627,0.544,0.14,0.243
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.147,0.202,0.181,0.151
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.003,0.005,0.055,0.031
"P33","Otro candidato",0.126,0.167,0.262,0.416
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.138,0.086,0.497,0.258
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.751,0.679,0.238,0.273
"P35","No sabe",0.111,0.235,0.265,0.469
