"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Otros candidatos"
"P04","Tengo trabajo estable",0.412,0.499,0.36,0.485,0.479,0.467
"P04","Realizo changas o trabajos de vez en cuando",0.158,0.168,0.318,0.199,0.226,0.204
"P04","No tengo trabajo",0.2,0.167,0.152,0.124,0.241,0.168
"P04","Soy jubilado o pensionado",0.23,0.166,0.17,0.192,0.054,0.161
"P05","Derecha",0.269,0.239,0.184,0.108,0.399,0.148
"P05","Centro derecha",0.258,0.23,0.061,0.053,0.165,0.162
"P05","Centro izquierda",0.076,0.126,0.217,0.413,0.04,0.172
"P05","Izquierda",0.064,0.04,0.079,0.174,0.041,0.086
"P05","No sabe",0.333,0.365,0.459,0.252,0.355,0.432
"P06","Alta",0.264,0.266,0.534,0.616,0.25,0.287
"P06","Media",0.278,0.35,0.264,0.229,0.269,0.424
"P06","Baja",0.458,0.384,0.202,0.155,0.481,0.289
"P07","Estoy de acuerdo",0.209,0.365,0.385,0.681,0.231,0.361
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.484,0.448,0.352,0.205,0.503,0.394
"P07","No estoy de acuerdo",0.23,0.128,0.169,0.073,0.19,0.172
"P07","No sabe",0.077,0.059,0.094,0.041,0.076,0.073
"P08","Del Frente de Todos y el peronismo",0.061,0.057,0.687,0.818,0.04,0.111
"P08","De Cambiemos",0.745,0.616,0.05,0.036,0.097,0.245
"P08","De los Liberales libertarios",0.071,0.081,0.032,0.024,0.707,0.083
"P08","De la Izquierda",0.025,0.019,0.052,0.03,0.014,0.107
"P08","No sabe",0.098,0.227,0.179,0.092,0.142,0.454
"P10","A Alberto Fernández",0.093,0.052,0.567,0.104,0.092,0.083
"P10","A Sergio Massa",0.152,0.201,0.182,0.129,0.181,0.171
"P10","A algún candidato del peronismo",0.636,0.619,0.189,0.125,0.678,0.617
"P10","A algún candidato del kirchnerismo",0.119,0.128,0.062,0.642,0.049,0.129
"P11","A Alberto Fernández",0.063,0.029,0.508,0.039,0,0.076
"P11","A Sergio Massa",0.167,0.033,0.14,0.061,0.2,0.105
"P11","A algún candidato del peronismo",0.641,0.858,0.188,0.073,0.751,0.68
"P11","A Cristina Fernández de Kirchner",0.129,0.08,0.164,0.827,0.049,0.139
"P12","A Horacio Rodriguez Larreta",0.126,0.533,0.222,0.22,0.121,0.11
"P12","A Mauricio Macri",0.548,0.097,0.042,0.26,0.409,0.109
"P12","A Patricia Bullrich",0.272,0.177,0.064,0.034,0.356,0.363
"P12","A Facundo Manes",0.024,0.106,0.457,0.276,0.097,0.208
"P12","A Gerardo Morales",0.03,0.087,0.215,0.21,0.017,0.21
"P13","Seguro lo votaria",0.189,0.241,0.021,0.117,0.511,0.121
"P13","Quizás lo votaría",0.283,0.252,0.622,0.296,0.315,0.232
"P13","Nunca lo votaría",0.528,0.507,0.357,0.587,0.174,0.647
"P14","Lo votaría",0.654,0.214,0.065,0.017,0.115,0.063
"P14","Puede que lo vote",0.204,0.343,0.077,0.033,0.36,0.172
"P14","Nunca lo votaría",0.096,0.368,0.777,0.921,0.456,0.597
"P14","No sabe",0.046,0.075,0.081,0.029,0.069,0.168
"P15","Lo votaría",0.052,0.057,0.213,0.166,0.054,0.047
"P15","Puede que lo vote",0.056,0.097,0.272,0.483,0.074,0.093
"P15","Nunca lo votaría",0.858,0.767,0.294,0.251,0.793,0.682
"P15","No sabe",0.034,0.079,0.221,0.1,0.079,0.178
"P16","Lo votaría",0.054,0.021,0.594,0.2,0.029,0.028
"P16","Puede que lo vote",0.024,0.069,0.217,0.438,0.068,0.098
"P16","Nunca lo votaría",0.873,0.848,0.081,0.245,0.851,0.682
"P16","No sabe",0.049,0.062,0.108,0.117,0.052,0.192
"P17","La votaría",0.033,0.041,0.445,0.796,0.027,0.051
"P17","Puede que la vote",0.035,0.045,0.216,0.098,0.049,0.074
"P17","Nunca la votaría",0.91,0.877,0.217,0.09,0.886,0.699
"P17","No sabe",0.022,0.037,0.122,0.016,0.038,0.176
"P18","Lo votaría",0.312,0.555,0.05,0.028,0.095,0.05
"P18","Puede que lo vote",0.394,0.327,0.096,0.064,0.262,0.221
"P18","Nunca lo votaría",0.225,0.08,0.633,0.868,0.557,0.518
"P18","No sabe",0.069,0.038,0.221,0.04,0.086,0.211
"P19","Lo votaría",0.142,0.218,0.053,0.02,0.083,0.118
"P19","Puede que lo vote",0.29,0.338,0.139,0.106,0.18,0.196
"P19","Nunca lo votaría",0.451,0.31,0.565,0.717,0.611,0.436
"P19","No sabe",0.117,0.134,0.243,0.157,0.126,0.25
"P20","La votaría",0.573,0.305,0.034,0.024,0.26,0.185
"P20","Puede que la vote",0.213,0.298,0.1,0.035,0.323,0.157
"P20","Nunca la votaría",0.167,0.327,0.705,0.899,0.334,0.499
"P20","No sabe",0.047,0.07,0.161,0.042,0.083,0.159
"P21","Lo votaría",0.084,0.095,0.06,0.039,0.675,0.055
"P21","Puede que lo vote",0.254,0.21,0.033,0.045,0.197,0.152
"P21","Nunca lo votaría",0.574,0.616,0.706,0.845,0.088,0.616
"P21","No sabe",0.088,0.079,0.201,0.071,0.04,0.177
"P22","La votaría",0.314,0.279,0.042,0.052,0.094,0.052
"P22","Puede que la vote",0.33,0.361,0.128,0.044,0.246,0.177
"P22","Nunca la votaría",0.275,0.264,0.621,0.826,0.567,0.572
"P22","No sabe",0.081,0.096,0.209,0.078,0.093,0.199
"P23","Lo votaría",0.056,0.034,0.249,0.21,0.028,0.037
"P23","Puede que lo vote",0.039,0.043,0.271,0.446,0.052,0.085
"P23","Nunca lo votaría",0.849,0.856,0.286,0.211,0.867,0.698
"P23","No sabe",0.056,0.067,0.194,0.133,0.053,0.18
"P24","Lo votaría",0.092,0.196,0.034,0.021,0.022,0.038
"P24","Puede que lo vote",0.23,0.259,0.097,0.072,0.137,0.149
"P24","Nunca lo votaría",0.55,0.357,0.592,0.772,0.688,0.506
"P24","No sabe",0.128,0.188,0.277,0.135,0.153,0.307
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.057,0.08,0.473,0.86,0.016,0.064
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.78,0.494,0.119,0.033,0.038,0.11
"P29","Javier Milei – José Luis Espert por los liberales",0.081,0.122,0.071,0.047,0.715,0.055
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.066,0.06,0.094,0.047,0.007,0.115
"P29","Otro candidato",0.016,0.244,0.243,0.013,0.224,0.656
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.498,0.857,0.041,0.069,0.022,0.117
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.045,0.026,0.763,0.548,0.016,0.055
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.142,0.04,0.061,0.016,0.897,0.069
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.019,0.01,0.042,0.064,0.01,0.109
"P31","Otro candidato",0.296,0.067,0.093,0.303,0.055,0.65
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.061,0.104,0.46,0.648,0.027,0.075
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.712,0.605,0.077,0.046,0.093,0.264
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.075,0.069,0.042,0.019,0.833,0.044
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.011,0.008,0.077,0.044,0.007,0.082
"P33","Otro candidato",0.141,0.214,0.344,0.243,0.04,0.535
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.054,0.054,0.658,0.927,0.03,0.122
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.891,0.643,0.064,0.042,0.478,0.259
"P35","No sabe",0.055,0.303,0.278,0.031,0.492,0.619
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.018,0.017,0.826,0.756,0.025,0.099
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.717,0.862,0.039,0.018,0.369,0.275
"P36","No sabe",0.265,0.121,0.135,0.226,0.606,0.626
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.018,0.036,0.552,0.784,0.023,0.13
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.84,0.688,0.052,0.009,0.529,0.348
"P37","No sabe",0.142,0.276,0.396,0.207,0.448,0.522
"P38","Muy buena",0.011,0.011,0.243,0.149,0.002,0.023
"P38","Buena",0.12,0.125,0.316,0.322,0.079,0.055
"P38","Ni buena ni mala",0.062,0.113,0.298,0.354,0.076,0.203
