"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P04","Tengo trabajo estable",0.459,0.419,0.519,0.273
"P04","Realizo changas o trabajos de vez en cuando",0.16,0.241,0.184,0.27
"P04","No tengo trabajo",0.167,0.188,0.157,0.205
"P04","Soy jubilado o pensionado",0.214,0.152,0.14,0.252
"P05","Derecha",0.286,0.19,0.198,0.196
"P05","Centro derecha",0.238,0.192,0.091,0.022
"P05","Centro izquierda",0.097,0.136,0.331,0.065
"P05","Izquierda",0.059,0.053,0.142,0.068
"P05","No sabe",0.32,0.429,0.238,0.649
"P06","Alta",0.263,0.278,0.522,0.429
"P06","Media",0.287,0.391,0.233,0.209
"P06","Baja",0.45,0.331,0.245,0.362
"P07","Estoy de acuerdo",0.263,0.295,0.586,0.239
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.482,0.454,0.259,0.41
"P07","No estoy de acuerdo",0.189,0.181,0.103,0.113
"P07","No sabe",0.066,0.07,0.052,0.238
"P08","Del Frente de Todos y el peronismo",0.081,0.222,0.551,0.147
"P08","De Cambiemos",0.637,0.272,0.086,0.2
"P08","De los Liberales libertarios",0.147,0.228,0.161,0.11
"P08","De la Izquierda",0.027,0.027,0.055,0.059
"P08","No sabe",0.108,0.251,0.147,0.484
"P10","A Alberto Fernández",0.113,0.207,0.141,0.455
"P10","A Sergio Massa",0.189,0.185,0.127,0.196
"P10","A algún candidato del peronismo",0.586,0.316,0.141,0.118
"P10","A algún candidato del kirchnerismo",0.112,0.292,0.591,0.231
"P11","A Alberto Fernández",0.081,0.191,0.072,0.261
"P11","A Sergio Massa",0.155,0.122,0.048,0.183
"P11","A algún candidato del peronismo",0.604,0.286,0.106,0.198
"P11","A Cristina Fernández de Kirchner",0.16,0.401,0.774,0.358
"P12","A Horacio Rodriguez Larreta",0.265,0.101,0.107,0.122
"P12","A Mauricio Macri",0.344,0.399,0.389,0.275
"P12","A Patricia Bullrich",0.267,0.301,0.202,0.275
"P12","A Facundo Manes",0.056,0.127,0.15,0.266
"P12","A Gerardo Morales",0.068,0.072,0.152,0.062
"P13","Seguro lo votaria",0.185,0.253,0.17,0
"P13","Quizás lo votaría",0.271,0.27,0.259,0.64
"P13","Nunca lo votaría",0.544,0.477,0.571,0.36
"P14","Lo votaría",0.432,0.154,0.06,0.084
"P14","Puede que lo vote",0.279,0.241,0.093,0.147
"P14","Nunca lo votaría",0.236,0.481,0.814,0.508
"P14","No sabe",0.053,0.124,0.033,0.261
"P15","Lo votaría",0.072,0.073,0.118,0.083
"P15","Puede que lo vote",0.07,0.167,0.331,0.178
"P15","Nunca lo votaría",0.825,0.656,0.453,0.436
"P15","No sabe",0.033,0.104,0.098,0.303
"P16","Lo votaría",0.053,0.097,0.157,0.163
"P16","Puede que lo vote",0.061,0.137,0.3,0.166
"P16","Nunca lo votaría",0.853,0.661,0.444,0.374
"P16","No sabe",0.033,0.105,0.099,0.297
"P17","La votaría",0.054,0.2,0.48,0.192
"P17","Puede que la vote",0.037,0.092,0.09,0.119
"P17","Nunca la votaría",0.898,0.659,0.383,0.423
"P17","No sabe",0.011,0.049,0.047,0.266
"P18","Lo votaría",0.439,0.074,0.023,0.084
"P18","Puede que lo vote",0.387,0.334,0.059,0.126
"P18","Nunca lo votaría",0.139,0.399,0.868,0.504
"P18","No sabe",0.035,0.193,0.05,0.286
"P19","Lo votaría",0.195,0.104,0.038,0.044
"P19","Puede que lo vote",0.323,0.24,0.104,0.179
"P19","Nunca lo votaría",0.372,0.439,0.73,0.338
"P19","No sabe",0.11,0.217,0.128,0.439
"P20","La votaría",0.488,0.239,0.081,0.044
"P20","Puede que la vote",0.255,0.244,0.088,0.066
"P20","Nunca la votaría",0.212,0.394,0.79,0.553
"P20","No sabe",0.045,0.123,0.041,0.337
"P21","Lo votaría",0.151,0.201,0.157,0.216
"P21","Puede que lo vote",0.221,0.193,0.08,0.152
"P21","Nunca lo votaría",0.566,0.457,0.707,0.304
"P21","No sabe",0.062,0.149,0.056,0.328
"P22","La votaría",0.324,0.094,0.041,0.01
"P22","Puede que la vote",0.342,0.311,0.069,0.163
"P22","Nunca la votaría",0.265,0.429,0.821,0.461
"P22","No sabe",0.069,0.166,0.069,0.366
"P23","Lo votaría",0.055,0.064,0.15,0.112
"P23","Puede que lo vote",0.044,0.142,0.31,0.052
"P23","Nunca lo votaría",0.866,0.651,0.446,0.389
"P23","No sabe",0.035,0.143,0.094,0.447
"P24","Lo votaría",0.108,0.053,0.022,0.048
"P24","Puede que lo vote",0.264,0.186,0.065,0.099
"P24","Nunca lo votaría",0.482,0.513,0.789,0.389
"P24","No sabe",0.146,0.248,0.124,0.464
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.435,0.231,0.039,0.155
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.288,0.098,0.015,0.017
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.025,0.063,0.072,0.096
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.024,0.175,0.533,0.188
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.115,0.207,0.184,0.212
"P25","Otros candidatos",0.113,0.226,0.157,0.332
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.077,0.207,0.523,0.21
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.579,0.22,0.06,0.145
"P29","Javier Milei – José Luis Espert por los liberales",0.144,0.222,0.183,0.142
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.035,0.072,0.071,0.087
"P29","Otro candidato",0.165,0.279,0.163,0.416
