"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Javier Milei presidente – José Luis Espert por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.408,0.391,0.447,0.415,0.402
"P04","Realizo changas o trabajos de vez en cuando",0.158,0.224,0.235,0.226,0.206
"P04","No tengo trabajo",0.156,0.169,0.236,0.227,0.189
"P04","Soy jubilado o pensionado",0.278,0.216,0.082,0.132,0.203
"P05","1",0.361,0.237,0.371,0.174,0.259
"P05","2",0.065,0.056,0.076,0.053,0.057
"P05","3",0.087,0.026,0.09,0.049,0.044
"P05","4",0.092,0.042,0.072,0.025,0.072
"P05","5",0.213,0.14,0.182,0.134,0.241
"P05","6",0.043,0.072,0.026,0.04,0.055
"P05","7",0.031,0.134,0.028,0.106,0.078
"P05","8",0.021,0.078,0.046,0.112,0.042
"P05","9",0.087,0.215,0.109,0.307,0.152
"P06","1",0.203,0.448,0.119,0.391,0.256
"P06","2",0.031,0.077,0.041,0.085,0.042
"P06","3",0.037,0.06,0.025,0.094,0.042
"P06","4",0.046,0.049,0.031,0.05,0.055
"P06","5",0.19,0.146,0.171,0.177,0.246
"P06","6",0.073,0.021,0.036,0.056,0.051
"P06","7",0.074,0.028,0.074,0.016,0.044
"P06","8",0.069,0.027,0.096,0.023,0.045
"P06","9",0.277,0.144,0.407,0.108,0.219
"P07","1",0.26,0.547,0.229,0.629,0.358
"P07","2",0.033,0.034,0.025,0.05,0.028
"P07","3",0.034,0.026,0.025,0.012,0.03
"P07","4",0.024,0.018,0.021,0.029,0.019
"P07","5",0.11,0.057,0.112,0.039,0.105
"P07","6",0.02,0.01,0.023,0.008,0.017
"P07","7",0.044,0.022,0.052,0.02,0.029
"P07","8",0.048,0.018,0.06,0.015,0.04
"P07","9",0.427,0.268,0.453,0.198,0.374
"P09","Del Frente de Todos y el peronismo",0.11,0.755,0.038,0.317,0.283
"P09","De Cambiemos",0.711,0.106,0.158,0.055,0.269
"P09","De los Liberales libertarios",0.039,0.013,0.642,0.063,0.044
"P09","De la Izquierda",0.007,0.02,0.021,0.37,0.031
"P09","No sabe",0.133,0.106,0.141,0.195,0.373
"P10","A Alberto Fernández",0.204,0.22,0.195,0.083,0.06
"P10","A Sergio Massa",0.306,0.18,0.219,0.146,0.197
"P10","A algún candidato del peronismo",0.204,0.139,0.394,0.211,0.197
"P10","A algún candidato del kirchnerismo",0.286,0.461,0.192,0.56,0.546
"P11","A Alberto Fernández",0.101,0.18,0.186,0.067,0.028
"P11","A Sergio Massa",0.2,0.128,0.181,0.122,0.145
"P11","A algún candidato del peronismo",0.261,0.071,0.291,0.129,0.143
"P11","A Cristina Fernández de Kirchner",0.438,0.621,0.342,0.682,0.684
"P12","A Horacio Rodriguez Larreta",0.265,0.223,0.134,0.232,0.107
"P12","A Mauricio Macri",0.309,0.451,0.418,0.164,0.371
"P12","A Patricia Bullrich",0.312,0.137,0.4,0.307,0.38
"P12","A Facundo Manes",0.067,0.123,0.028,0.297,0.104
"P12","A Gerardo Morales",0.047,0.066,0.02,0,0.038
"P13","Seguro lo votaria",0.198,0.194,0.526,0.318,0.113
"P13","Quizás lo votaría",0.293,0.383,0.375,0.177,0.271
"P13","Nunca lo votaría",0.509,0.423,0.099,0.505,0.616
"P14","Lo votaría",0.471,0.075,0.219,0.043,0.169
"P14","Puede que lo vote",0.266,0.065,0.315,0.082,0.156
"P14","Nunca lo votaría",0.207,0.788,0.367,0.769,0.531
"P14","No sabe",0.056,0.072,0.099,0.106,0.144
"P15","Lo votaría",0.084,0.305,0.041,0.079,0.105
"P15","Puede que lo vote",0.091,0.377,0.099,0.296,0.215
"P15","Nunca lo votaría",0.762,0.211,0.808,0.499,0.531
"P15","No sabe",0.063,0.107,0.052,0.126,0.149
"P16","Lo votaría",0.041,0.376,0.017,0.065,0.042
"P16","Puede que lo vote",0.055,0.382,0.029,0.226,0.16
"P16","Nunca lo votaría",0.871,0.167,0.918,0.624,0.664
"P16","No sabe",0.033,0.075,0.036,0.085,0.134
"P17","La votaría",0.064,0.713,0.033,0.389,0.272
"P17","Puede que la vote",0.038,0.114,0.024,0.149,0.081
"P17","Nunca la votaría",0.876,0.14,0.916,0.414,0.56
"P17","No sabe",0.022,0.033,0.027,0.048,0.087
"P18","Lo votaría",0.378,0.079,0.066,0.036,0.048
"P18","Puede que lo vote",0.427,0.097,0.264,0.143,0.21
"P18","Nunca lo votaría",0.156,0.751,0.598,0.752,0.572
"P18","No sabe",0.039,0.073,0.072,0.069,0.17
"P19","Lo votaría",0.182,0.046,0.065,0.044,0.069
"P19","Puede que lo vote",0.406,0.117,0.244,0.198,0.188
"P19","Nunca lo votaría",0.294,0.665,0.571,0.612,0.539
"P19","No sabe",0.118,0.172,0.12,0.146,0.204
"P20","La votaría",0.475,0.055,0.315,0.058,0.192
"P20","Puede que la vote",0.263,0.067,0.296,0.093,0.159
"P20","Nunca la votaría",0.208,0.813,0.331,0.793,0.532
"P20","No sabe",0.054,0.065,0.058,0.056,0.117
"P21","Lo votaría",0.094,0.034,0.696,0.074,0.041
"P21","Puede que lo vote",0.243,0.07,0.209,0.113,0.149
"P21","Nunca lo votaría",0.582,0.812,0.066,0.756,0.675
"P21","No sabe",0.081,0.084,0.029,0.057,0.135
"P22","La votaría",0.266,0.031,0.128,0.033,0.072
"P22","Puede que la vote",0.354,0.074,0.25,0.11,0.172
"P22","Nunca la votaría",0.282,0.783,0.528,0.748,0.6
"P22","No sabe",0.098,0.112,0.094,0.109,0.156
"P23","Lo votaría",0.032,0.231,0.019,0.034,0.04
"P23","Puede que lo vote",0.083,0.436,0.052,0.265,0.194
"P23","Nunca lo votaría",0.839,0.237,0.891,0.604,0.627
"P23","No sabe",0.046,0.096,0.038,0.097,0.139
"P24","Lo votaría",0.116,0.031,0.022,0.016,0.024
"P24","Puede que lo vote",0.314,0.102,0.115,0.143,0.109
"P24","Nunca lo votaría",0.447,0.712,0.754,0.648,0.668
"P24","No sabe",0.123,0.155,0.109,0.193,0.199
