"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Mauricio Macri presidente – María Eugenia Vidal vice","No sabe"
"P04","Tengo trabajo estable",0.435,0.426,0.379
"P04","Realizo changas o trabajos de vez en cuando",0.195,0.177,0.239
"P04","No tengo trabajo",0.174,0.166,0.233
"P04","Soy jubilado o pensionado",0.196,0.231,0.149
"P05","1",0.198,0.367,0.318
"P05","2",0.047,0.077,0.061
"P05","3",0.025,0.094,0.069
"P05","4",0.042,0.094,0.059
"P05","5",0.142,0.187,0.26
"P05","6",0.082,0.031,0.042
"P05","7",0.141,0.035,0.033
"P05","8",0.089,0.027,0.033
"P05","9",0.234,0.088,0.125
"P06","1",0.453,0.157,0.173
"P06","2",0.071,0.034,0.046
"P06","3",0.068,0.031,0.038
"P06","4",0.047,0.039,0.053
"P06","5",0.145,0.171,0.239
"P06","6",0.034,0.056,0.052
"P06","7",0.027,0.09,0.044
"P06","8",0.026,0.088,0.055
"P06","9",0.129,0.334,0.3
"P07","1",0.588,0.236,0.249
"P07","2",0.031,0.036,0.025
"P07","3",0.032,0.027,0.029
"P07","4",0.015,0.023,0.029
"P07","5",0.054,0.124,0.1
"P07","6",0.011,0.023,0.022
"P07","7",0.022,0.05,0.04
"P07","8",0.015,0.052,0.057
"P07","9",0.232,0.429,0.449
"P09","Del Frente de Todos y el peronismo",0.752,0.064,0.083
"P09","De Cambiemos",0.079,0.62,0.138
"P09","De los Liberales libertarios",0.022,0.213,0.359
"P09","De la Izquierda",0.037,0.017,0.057
"P09","No sabe",0.11,0.086,0.363
"P10","A Alberto Fernández",0.163,0.13,0.288
"P10","A Sergio Massa",0.185,0.289,0.217
"P10","A algún candidato del peronismo",0.138,0.317,0.339
"P10","A algún candidato del kirchnerismo",0.514,0.264,0.156
"P11","A Alberto Fernández",0.108,0.143,0.266
"P11","A Sergio Massa",0.125,0.209,0.235
"P11","A algún candidato del peronismo",0.059,0.362,0.401
"P11","A Cristina Fernández de Kirchner",0.708,0.286,0.098
"P12","A Horacio Rodriguez Larreta",0.301,0.18,0.262
"P12","A Mauricio Macri",0.292,0.383,0.179
"P12","A Patricia Bullrich",0.167,0.361,0.243
"P12","A Facundo Manes",0.144,0.056,0.166
"P12","A Gerardo Morales",0.096,0.02,0.15
"P13","Seguro lo votaria",0.231,0.212,0.216
"P13","Quizás lo votaría",0.345,0.317,0.234
"P13","Nunca lo votaría",0.424,0.471,0.55
"P14","Lo votaría",0.046,0.502,0.081
"P14","Puede que lo vote",0.047,0.327,0.197
"P14","Nunca lo votaría",0.835,0.121,0.556
"P14","No sabe",0.072,0.05,0.166
"P15","Lo votaría",0.29,0.039,0.069
"P15","Puede que lo vote",0.374,0.065,0.158
"P15","Nunca lo votaría",0.221,0.868,0.642
"P15","No sabe",0.115,0.028,0.131
"P16","Lo votaría",0.269,0.02,0.044
"P16","Puede que lo vote",0.364,0.034,0.084
"P16","Nunca lo votaría",0.268,0.931,0.778
"P16","No sabe",0.099,0.015,0.094
"P17","La votaría",0.748,0.029,0.035
"P17","Puede que la vote",0.123,0.017,0.066
"P17","Nunca la votaría",0.094,0.948,0.813
"P17","No sabe",0.035,0.006,0.086
"P18","Lo votaría",0.062,0.266,0.066
"P18","Puede que lo vote",0.085,0.41,0.221
"P18","Nunca lo votaría",0.798,0.279,0.563
"P18","No sabe",0.055,0.045,0.15
"P19","Lo votaría",0.038,0.14,0.092
"P19","Puede que lo vote",0.119,0.372,0.211
"P19","Nunca lo votaría",0.706,0.388,0.485
"P19","No sabe",0.137,0.1,0.212
"P20","La votaría",0.037,0.537,0.157
"P20","Puede que la vote",0.053,0.292,0.225
"P20","Nunca la votaría",0.858,0.135,0.505
"P20","No sabe",0.052,0.036,0.113
"P21","Lo votaría",0.039,0.275,0.37
"P21","Puede que lo vote",0.073,0.249,0.157
"P21","Nunca lo votaría",0.826,0.422,0.36
"P21","No sabe",0.062,0.054,0.113
"P22","La votaría",0.021,0.246,0.077
"P22","Puede que la vote",0.066,0.373,0.169
"P22","Nunca la votaría",0.836,0.3,0.588
"P22","No sabe",0.077,0.081,0.166
