"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Tengo trabajo estable",0.445,0.411,0.435,0.481,0.367
"P04","Realizo changas o trabajos de vez en cuando",0.207,0.199,0.145,0.181,0.194
"P04","No tengo trabajo",0.197,0.153,0.17,0.17,0.26
"P04","Soy jubilado o pensionado",0.151,0.237,0.25,0.168,0.179
"P05","1",0.301,0.428,0.42,0.264,0.274
"P05","2",0.102,0.086,0.067,0.03,0.045
"P05","3",0.1,0.107,0.09,0.063,0.028
"P05","4",0.097,0.085,0.092,0.116,0.145
"P05","5",0.179,0.136,0.206,0.221,0.241
"P05","6",0.03,0.02,0.022,0.04,0.028
"P05","7",0.039,0.029,0.027,0.097,0.066
"P05","8",0.029,0.016,0.023,0.044,0.04
"P05","9",0.123,0.093,0.053,0.125,0.133
"P06","1",0.21,0.217,0.128,0.212,0.179
"P06","2",0.049,0.052,0.036,0.041,0.039
"P06","3",0.048,0.025,0.03,0.023,0.067
"P06","4",0.039,0.03,0.021,0.077,0.099
"P06","5",0.233,0.17,0.213,0.29,0.276
"P06","6",0.055,0.033,0.052,0.049,0.085
"P06","7",0.058,0.087,0.109,0.069,0.04
"P06","8",0.053,0.077,0.087,0.104,0.05
"P06","9",0.255,0.309,0.324,0.135,0.165
"P07","1",0.279,0.195,0.182,0.441,0.362
"P07","2",0.043,0.036,0.024,0.022,0.022
"P07","3",0.042,0.018,0.037,0.031,0
"P07","4",0.015,0.013,0.021,0.029,0.024
"P07","5",0.12,0.131,0.145,0.111,0.151
"P07","6",0.035,0.02,0.033,0.018,0.039
"P07","7",0.054,0.046,0.056,0.039,0.051
"P07","8",0.026,0.044,0.057,0.065,0.03
"P07","9",0.386,0.497,0.445,0.244,0.321
"P13","Seguro lo votaria",0.287,0.176,0.168,0.188,0.177
"P13","Quizás lo votaría",0.289,0.397,0.344,0.266,0.191
"P13","Nunca lo votaría",0.424,0.427,0.488,0.546,0.632
"P14","Lo votaría",0.326,0.758,0.533,0.137,0.198
"P14","Puede que lo vote",0.394,0.14,0.349,0.33,0.412
