"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P04","Tengo trabajo estable",0.289,0.481,0.536,0.462,0.466,0.226
"P04","Realizo changas o trabajos de vez en cuando",0.232,0.165,0.151,0.194,0.193,0.48
"P04","No tengo trabajo",0.186,0.133,0.157,0.106,0.149,0.078
"P04","Soy jubilado o pensionado",0.293,0.221,0.156,0.238,0.192,0.216
"P05","1",0.438,0.229,0.205,0.227,0.37,0.276
"P05","2",0.053,0.091,0.057,0.062,0.094,0.027
"P05","3",0.017,0.009,0.024,0.06,0.083,0.011
"P05","4",0.026,0.034,0.039,0.075,0.113,0
"P05","5",0.124,0.125,0.177,0.219,0.21,0.311
"P05","6",0.028,0.06,0.07,0.088,0.029,0.013
"P05","7",0.032,0.165,0.123,0.101,0.029,0.144
"P05","8",0.096,0.059,0.098,0.049,0.018,0
"P05","9",0.186,0.228,0.207,0.119,0.054,0.218
"P06","1",0.48,0.456,0.361,0.215,0.128,0.163
"P06","2",0.066,0.101,0.086,0.065,0.029,0
"P06","3",0.081,0.098,0.082,0.084,0.023,0
"P06","4",0.006,0.044,0.043,0.063,0.035,0.011
"P06","5",0.11,0.131,0.191,0.19,0.2,0.144
"P06","6",0.011,0.048,0.045,0.088,0.058,0.029
"P06","7",0.027,0.025,0.038,0.068,0.097,0.144
"P06","8",0.018,0.024,0.041,0.053,0.101,0.144
"P06","9",0.201,0.073,0.113,0.174,0.329,0.365
"P07","1",0.438,0.552,0.555,0.374,0.206,0.388
"P07","2",0.013,0.071,0.049,0.037,0.031,0.069
"P07","3",0.008,0.04,0.031,0.054,0.032,0
"P07","4",0.002,0.016,0.01,0.041,0.018,0.023
"P07","5",0.077,0.062,0.075,0.096,0.12,0.018
"P07","6",0.017,0.023,0.01,0.031,0.038,0.012
"P07","7",0.011,0.016,0.028,0.026,0.056,0
"P07","8",0.045,0.016,0.031,0.027,0.064,0.011
"P07","9",0.389,0.204,0.211,0.314,0.435,0.479
"P09","Del Frente de Todos y el peronismo",0.749,0.852,0.607,0.25,0.048,0.2
"P09","De Juntos por el cambio",0.085,0.035,0.094,0.371,0.554,0.225
"P09","De los Liberales libertarios",0.064,0.025,0.073,0.112,0.292,0
"P09","De la Izquierda",0.043,0.031,0.045,0.062,0.01,0.144
"P09","No sabe",0.059,0.057,0.181,0.205,0.096,0.431
"P10","A Alberto Fernández",0.43,0.126,0.083,0.108,0.052,0
"P10","A Sergio Massa",0.252,0.247,0.258,0.237,0.205,0
"P10","A algún candidato del peronismo",0.071,0.096,0.108,0.212,0.576,0.831
"P10","A algún candidato del kirchnerismo",0.247,0.531,0.551,0.443,0.167,0.169
"P11","A Alberto Fernández",0.371,0.094,0.038,0.046,0.038,0
"P11","A Sergio Massa",0.184,0.136,0.096,0.147,0.134,0
"P11","A algún candidato del peronismo",0.01,0.074,0.092,0.271,0.6,0.831
"P11","A Cristina Fernández de Kirchner",0.435,0.696,0.774,0.536,0.228,0.169
"P12","A Horacio Rodriguez Larreta",0.2,0.314,0.294,0.246,0.2,0.712
"P12","A Mauricio Macri",0.624,0.466,0.168,0.392,0.315,0.079
"P12","A Patricia Bullrich",0,0.1,0.172,0.274,0.409,0.209
"P12","A Facundo Manes",0.118,0.12,0.262,0.075,0.04,0
"P12","A Gerardo Morales",0.058,0,0.104,0.013,0.036,0
"P13","Seguro lo votaria",0.327,0.054,0.194,0.237,0.169,0.058
