"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.501,0.415,0.461,0.446,0.44
"P04","Realizo changas o trabajos de vez en cuando",0.147,0.141,0.267,0.278,0.172
"P04","No tengo trabajo",0.129,0.146,0.174,0.144,0.192
"P04","Soy jubilado o pensionado",0.223,0.298,0.098,0.132,0.196
"P05","1",0.226,0.369,0.371,0.19,0.238
"P05","2",0.059,0.069,0.102,0.051,0.063
"P05","3",0.02,0.091,0.068,0.009,0.021
"P05","4",0.054,0.113,0.09,0.022,0.077
"P05","5",0.153,0.208,0.212,0.098,0.259
"P05","6",0.083,0.035,0.008,0.069,0.053
"P05","7",0.128,0.03,0.022,0.167,0.083
"P05","8",0.078,0.02,0.023,0.116,0.034
"P05","9",0.199,0.065,0.104,0.278,0.172
"P06","1",0.394,0.137,0.113,0.334,0.31
"P06","2",0.078,0.037,0.026,0.056,0.077
"P06","3",0.077,0.028,0.018,0.093,0.036
"P06","4",0.071,0.05,0.029,0.065,0.036
"P06","5",0.183,0.199,0.192,0.208,0.22
"P06","6",0.033,0.049,0.039,0.005,0.048
"P06","7",0.032,0.098,0.076,0.04,0.055
"P06","8",0.035,0.094,0.078,0.045,0.031
"P06","9",0.097,0.308,0.429,0.154,0.187
"P07","1",0.579,0.209,0.219,0.631,0.382
"P07","2",0.04,0.044,0.027,0.024,0.032
"P07","3",0.049,0.039,0.025,0.021,0.037
"P07","4",0.016,0.023,0.025,0.017,0.027
"P07","5",0.095,0.122,0.13,0.021,0.136
"P07","6",0.007,0.035,0.05,0.002,0.021
"P07","7",0.027,0.051,0.05,0.047,0.027
"P07","8",0.01,0.048,0.045,0.01,0.041
"P07","9",0.177,0.429,0.429,0.227,0.297
"P09","Del Frente de Todos y el peronismo",0.826,0.062,0.036,0.381,0.346
"P09","De juntos por el cambio",0.055,0.835,0.132,0.059,0.212
"P09","De los Liberales libertarios",0.025,0.056,0.703,0.048,0.078
"P09","De la Izquierda",0.007,0.005,0.023,0.428,0.031
"P09","No sabe",0.087,0.042,0.106,0.084,0.333
"P10","A Alberto Fernández",0.157,0.205,0.346,0.044,0.302
"P10","A Sergio Massa",0.307,0.173,0.251,0.038,0.056
"P10","A algún candidato del peronismo",0.117,0.539,0.347,0.119,0.152
"P10","A algún candidato del kirchnerismo",0.419,0.083,0.056,0.799,0.49
"P11","A Alberto Fernández",0.121,0.2,0.255,0.032,0.167
"P11","A Sergio Massa",0.218,0.188,0.096,0.021,0.023
"P11","A algún candidato del peronismo",0.077,0.504,0.303,0.126,0.146
"P11","A Cristina Fernández de Kirchner",0.584,0.108,0.346,0.821,0.664
"P12","A Horacio Rodriguez Larreta",0.381,0.182,0.256,0.172,0.363
"P12","A Mauricio Macri",0.023,0.415,0.137,0.421,0.153
"P12","A Patricia Bullrich",0.15,0.354,0.516,0.196,0.291
"P12","A Facundo Manes",0.294,0.021,0.064,0.211,0.088
"P12","A Gerardo Morales",0.152,0.028,0.027,0,0.105
"P13","Seguro lo votaria",0.061,0.128,0.366,0,0.158
"P13","Quizás lo votaría",0.229,0.335,0.412,0.156,0.273
"P13","Nunca lo votaría",0.71,0.537,0.222,0.844,0.569
"P14","Lo votaría",0.014,0.611,0.118,0.035,0.071
"P14","Puede que lo vote",0.058,0.271,0.372,0.049,0.153
