"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.502,0.415,0.468,0.459,0.415
"P04","Realizo changas o trabajos de vez en cuando",0.127,0.156,0.253,0.234,0.22
"P04","No tengo trabajo",0.134,0.145,0.189,0.189,0.202
"P04","Soy jubilado o pensionado",0.237,0.284,0.09,0.118,0.163
"P05","1",0.184,0.35,0.401,0.186,0.239
"P05","2",0.066,0.062,0.116,0.017,0.061
"P05","3",0.021,0.086,0.079,0.017,0.022
"P05","4",0.072,0.11,0.057,0.045,0.062
"P05","5",0.168,0.23,0.193,0.09,0.284
"P05","6",0.084,0.036,0.006,0.089,0.055
"P05","7",0.135,0.028,0.03,0.146,0.075
"P05","8",0.078,0.022,0.026,0.124,0.032
"P05","9",0.192,0.076,0.092,0.286,0.17
"P06","1",0.379,0.136,0.12,0.38,0.304
"P06","2",0.069,0.036,0.022,0.079,0.077
"P06","3",0.079,0.029,0.012,0.074,0.05
"P06","4",0.084,0.042,0.018,0.076,0.036
"P06","5",0.187,0.203,0.188,0.194,0.237
"P06","6",0.038,0.049,0.039,0.005,0.049
"P06","7",0.036,0.105,0.08,0.038,0.028
"P06","8",0.022,0.101,0.076,0.023,0.044
"P06","9",0.106,0.299,0.445,0.131,0.175
"P07","1",0.578,0.219,0.19,0.681,0.383
"P07","2",0.057,0.031,0.023,0.024,0.034
"P07","3",0.054,0.045,0.022,0.024,0.021
"P07","4",0.013,0.029,0.027,0.019,0.021
"P07","5",0.086,0.135,0.146,0.021,0.127
"P07","6",0.014,0.034,0.054,0.002,0.03
"P07","7",0.027,0.055,0.048,0.057,0.02
"P07","8",0.013,0.042,0.055,0.004,0.036
"P07","9",0.158,0.41,0.435,0.168,0.328
"P09","Del Frente de Todos y el peronismo",0.796,0.079,0.032,0.427,0.353
"P09","De juntos por el cambio",0.08,0.735,0.129,0.04,0.175
"P09","De los Liberales libertarios",0.032,0.114,0.731,0.018,0.048
"P09","De la Izquierda",0.014,0.005,0.019,0.431,0.037
"P09","No sabe",0.078,0.067,0.089,0.084,0.387
"P10","A Alberto Fernández",0.148,0.235,0.069,0.032,0.318
"P10","A Sergio Massa",0.297,0.248,0.28,0.087,0.03
"P10","A algún candidato del peronismo",0.095,0.414,0.351,0.096,0.236
"P10","A algún candidato del kirchnerismo",0.46,0.103,0.3,0.785,0.416
"P11","A Alberto Fernández",0.097,0.2,0.009,0.024,0.192
"P11","A Sergio Massa",0.218,0.186,0.051,0.073,0.021
"P11","A algún candidato del peronismo",0.065,0.379,0.279,0.087,0.191
"P11","A Cristina Fernández de Kirchner",0.62,0.235,0.661,0.816,0.596
"P12","A Horacio Rodriguez Larreta",0.305,0.181,0.462,0.431,0.301
"P12","A Mauricio Macri",0.287,0.347,0.201,0.138,0.315
"P12","A Patricia Bullrich",0.072,0.427,0.246,0,0.092
"P12","A Facundo Manes",0.181,0.024,0.068,0.335,0.095
"P12","A Gerardo Morales",0.155,0.021,0.023,0.096,0.197
"P13","Seguro lo votaria",0.217,0.108,0.473,0,0.093
"P13","Quizás lo votaría",0.214,0.347,0.294,0.087,0.236
"P13","Nunca lo votaría",0.569,0.545,0.233,0.913,0.671
"P14","Lo votaría",0.039,0.514,0.115,0.005,0.108
"P14","Puede que lo vote",0.064,0.278,0.392,0.044,0.109
"P14","Nunca lo votaría",0.819,0.156,0.436,0.845,0.598
"P14","No sabe",0.078,0.052,0.057,0.106,0.185
"P15","Lo votaría",0.373,0.102,0.04,0.041,0.049
"P15","Puede que lo vote",0.412,0.053,0.058,0.294,0.184
"P15","Nunca lo votaría",0.154,0.823,0.861,0.527,0.547
"P15","No sabe",0.061,0.022,0.041,0.138,0.22
"P16","Lo votaría",0.214,0.034,0.029,0.013,0.11
"P16","Puede que lo vote",0.479,0.033,0.031,0.323,0.205
"P16","Nunca lo votaría",0.195,0.924,0.924,0.544,0.582
"P16","No sabe",0.112,0.009,0.016,0.12,0.103
"P17","La votaría",0.698,0.048,0.036,0.445,0.311
"P17","Puede que la vote",0.112,0.024,0.018,0.207,0.079
"P17","Nunca la votaría",0.156,0.926,0.939,0.316,0.532
"P17","No sabe",0.034,0.002,0.007,0.032,0.078
"P18","Lo votaría",0.104,0.26,0.068,0.029,0.088
"P18","Puede que lo vote",0.095,0.435,0.264,0.108,0.16
"P18","Nunca lo votaría",0.765,0.267,0.645,0.844,0.567
"P18","No sabe",0.036,0.038,0.023,0.019,0.185
"P19","Lo votaría",0.04,0.109,0.057,0.084,0.085
"P19","Puede que lo vote",0.192,0.32,0.25,0.238,0.183
"P19","Nunca lo votaría",0.649,0.465,0.619,0.589,0.5
"P19","No sabe",0.119,0.106,0.074,0.089,0.232
"P20","La votaría",0.044,0.638,0.174,0.029,0.047
"P20","Puede que la vote",0.067,0.234,0.452,0.054,0.148
"P20","Nunca la votaría",0.857,0.1,0.346,0.877,0.597
"P20","No sabe",0.032,0.028,0.028,0.04,0.208
"P21","Lo votaría",0.025,0.169,0.724,0.04,0.035
"P21","Puede que lo vote",0.051,0.314,0.197,0.059,0.114
"P21","Nunca lo votaría",0.888,0.458,0.075,0.885,0.673
"P21","No sabe",0.036,0.059,0.004,0.016,0.178
"P22","La votaría",0.027,0.251,0.164,0.002,0.06
"P22","Puede que la vote",0.065,0.398,0.226,0.047,0.131
"P22","Nunca la votaría",0.852,0.269,0.557,0.872,0.632
"P22","No sabe",0.056,0.082,0.053,0.079,0.177
"P23","Mauricio Macri por Juntos por el Cambio",0.022,0.246,0.061,0.024,0.067
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.039,0.095,0.034,0.006,0.1
"P23","Patricia Bullrich por Juntos por el Cambio",0.027,0.473,0.077,0,0.05
"P23","María Eugenia Vidal por Juntos por el Cambio",0.009,0.061,0.031,0.007,0.031
"P23","Facundo Manes por Juntos por el Cambio",0.025,0.033,0.037,0.09,0.093
"P23","Alberto Fernández por el Frente de Todos",0.258,0.025,0.012,0.087,0.187
"P23","Sergio Massa por el Frente de Todos",0.508,0.027,0.018,0.067,0.038
"P23","Javier Milei por los liberales libertarios",0.003,0.021,0.715,0.018,0.024
"P23","Al candidato del Frente de Izquierda",0.016,0.003,0.004,0.644,0.018
"P23","No sabe",0.093,0.016,0.011,0.057,0.392
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.058,0.215,0.072,0.007,0.129
"P24","Mauricio Macri por Juntos por el Cambio",0.029,0.496,0.058,0.004,0.084
"P24","Alberto Fernández por el Frente de Todos",0.224,0.055,0.026,0.119,0.183
"P24","Sergio Massa por el Frente de Todos",0.55,0.035,0.026,0.038,0.048
"P24","Javier Milei por los liberales libertarios",0.007,0.095,0.792,0.109,0.055
"P24","Al candidato del Frente de Izquierda",0.028,0.026,0.008,0.667,0.025
"P24","No sabe",0.104,0.078,0.018,0.056,0.476
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.052,0.192,0.058,0.011,0.154
"P25","Patricia Bullrich por Juntos por el Cambio",0.039,0.665,0.055,0.036,0.054
"P25","Alberto Fernández por el Frente de Todos",0.242,0.018,0.021,0.093,0.179
"P25","Sergio Massa por el Frente de Todos",0.592,0.038,0.016,0.07,0.043
"P25","Javier Milei por los liberales libertarios",0.004,0.055,0.835,0.05,0.036
"P25","Al candidato del Frente de Izquierda",0.008,0.006,0.003,0.693,0.043
"P25","No sabe",0.063,0.026,0.012,0.047,0.491
"P26","Sergio Massa por el Frente de Todos",0.837,0.054,0.011,0.044,0.075
"P26","Mauricio Macri por Juntos por el Cambio",0.083,0.721,0.074,0.012,0.105
"P26","Javier Milei por los liberales libertarios",0.008,0.129,0.871,0.005,0.025
"P26","Al candidato del Frente de Izquierda",0.013,0.002,0.01,0.873,0.011
"P26","No sabe",0.059,0.094,0.034,0.066,0.784
"P27","Alberto Fernández por el Frente de Todos",0.709,0.056,0.017,0.107,0.203
"P27","Mauricio Macri por Juntos por el Cambio",0.073,0.753,0.091,0.012,0.122
"P27","Javier Milei por los liberales libertarios",0.012,0.106,0.874,0.003,0.025
"P27","Al candidato del Frente de Izquierda",0.038,0.006,0.001,0.814,0.013
"P27","No sabe",0.168,0.079,0.017,0.064,0.637
"P28","Alberto Fernández por el Frente de Todos",0.716,0.057,0.017,0.104,0.179
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.099,0.632,0.099,0.022,0.19
"P28","Javier Milei por los liberales libertarios",0.014,0.182,0.858,0.005,0.015
"P28","Al candidato del Frente de Izquierda",0.028,0.007,0,0.84,0.02
"P28","No sabe",0.143,0.122,0.026,0.029,0.596
"P29","Sergio Massa por el Frente de Todos",0.853,0.064,0.009,0.115,0.061
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.097,0.641,0.1,0.023,0.155
"P29","Javier Milei por los liberales libertarios",0.005,0.18,0.877,0.002,0.009
"P29","Al candidato del Frente de Izquierda",0.002,0.004,0.013,0.835,0.019
"P29","No sabe",0.043,0.111,0.001,0.025,0.756
"P32","Alberto Fernández por el Frente de Todos",0.702,0.132,0.011,0.1,0.175
"P32","Patricia Bullrich por Juntos por el Cambio",0.118,0.818,0.037,0.004,0.054
"P32","Javier Milei por los liberales libertarios",0.024,0.019,0.942,0.002,0.014
"P32","Al candidato del Frente de Izquierda",0.04,0.003,0.001,0.886,0.016
"P32","No sabe",0.116,0.028,0.009,0.008,0.741
"P34","Sergio Massa por el Frente de Todos",0.901,0.058,0.075,0.594,0.174
"P34","Mauricio Macri por Juntos por el Cambio",0.075,0.849,0.517,0.037,0.21
"P34","No sabe",0.024,0.093,0.408,0.369,0.616
"P35","Sergio Massa",0.89,0.056,0.098,0.595,0.176
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.093,0.81,0.42,0.056,0.238
"P35","No sabe",0.017,0.134,0.482,0.349,0.586
"P36","Alberto Fernández por el Frente de Todos",0.799,0.052,0.056,0.638,0.283
"P36","Mauricio Macri por Juntos por el Cambio",0.096,0.856,0.602,0.035,0.198
