"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Tengo trabajo estable",0.463,0.407,0.474,0.346,0.324
"P04","Realizo changas o trabajos de vez en cuando",0.212,0.177,0.244,0.322,0.288
"P04","No tengo trabajo",0.145,0.161,0.196,0.225,0.258
"P04","Soy jubilado o pensionado",0.18,0.255,0.086,0.107,0.13
"P05","1",0.228,0.367,0.371,0.207,0.29
"P05","2",0.077,0.084,0.106,0.075,0.085
"P05","3",0.034,0.072,0.081,0.07,0.05
"P05","4",0.047,0.098,0.071,0.067,0.065
"P05","5",0.153,0.184,0.2,0.134,0.237
"P05","6",0.062,0.035,0.023,0.015,0.043
"P05","7",0.108,0.038,0.021,0.059,0.045
"P05","8",0.078,0.027,0.024,0.072,0.035
"P05","9",0.213,0.095,0.103,0.301,0.15
"P06","1",0.415,0.19,0.147,0.305,0.277
"P06","2",0.08,0.04,0.043,0.077,0.075
"P06","3",0.075,0.029,0.033,0.037,0.047
"P06","4",0.045,0.034,0.032,0.041,0.043
"P06","5",0.166,0.206,0.157,0.187,0.247
"P06","6",0.036,0.063,0.048,0.032,0.037
"P06","7",0.031,0.089,0.078,0.03,0.044
"P06","8",0.025,0.075,0.075,0.041,0.031
"P06","9",0.127,0.274,0.387,0.25,0.199
"P07","1",0.549,0.245,0.194,0.466,0.304
"P07","2",0.034,0.032,0.033,0.034,0.025
"P07","3",0.032,0.033,0.032,0.019,0.021
"P07","4",0.018,0.027,0.021,0.004,0.021
"P07","5",0.08,0.13,0.132,0.125,0.104
"P07","6",0.022,0.031,0.036,0.002,0.019
"P07","7",0.015,0.043,0.039,0.022,0.024
"P07","8",0.014,0.044,0.051,0.015,0.027
"P07","9",0.236,0.415,0.462,0.313,0.455
"P14","Lo votaría",0.268,0.043,0.029,0.076,0.084
"P14","Puede que lo vote",0.339,0.043,0.035,0.174,0.1
"P14","Nunca lo votaría",0.266,0.887,0.903,0.623,0.578
"P14","No sabe",0.127,0.027,0.033,0.127,0.238
"P15","Lo votaría",0.062,0.277,0.039,0.062,0.054
"P15","Puede que lo vote",0.098,0.393,0.204,0.14,0.152
"P15","Nunca lo votaría",0.789,0.279,0.698,0.676,0.509
"P15","No sabe",0.051,0.051,0.059,0.122,0.285
"P16","Lo votaría",0.049,0.125,0.061,0.092,0.05
"P16","Puede que lo vote",0.118,0.336,0.198,0.16,0.144
"P16","Nunca lo votaría",0.693,0.431,0.66,0.576,0.438
"P16","No sabe",0.14,0.108,0.081,0.172,0.368
"P17","La votaría",0.052,0.585,0.218,0.095,0.079
"P17","Puede que la vote",0.037,0.193,0.338,0.138,0.148
"P17","Nunca la votaría",0.853,0.176,0.398,0.695,0.524
"P17","No sabe",0.058,0.046,0.046,0.072,0.249
