"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.442,0.433,0.479,0.488,0.417
"P04","Realizo changas o trabajos de vez en cuando",0.192,0.144,0.269,0.218,0.188
"P04","No tengo trabajo",0.196,0.153,0.161,0.178,0.163
"P04","Soy jubilado o pensionado",0.17,0.27,0.091,0.116,0.232
"P05","1",0.22,0.353,0.398,0.237,0.272
"P05","2",0.069,0.079,0.11,0.052,0.075
"P05","3",0.036,0.072,0.087,0.025,0.063
"P05","4",0.046,0.116,0.084,0.076,0.074
"P05","5",0.144,0.199,0.174,0.098,0.232
"P05","6",0.071,0.052,0.018,0.023,0.053
"P05","7",0.138,0.042,0.022,0.114,0.061
"P05","8",0.079,0.02,0.022,0.1,0.038
"P05","9",0.197,0.067,0.085,0.275,0.132
"P06","1",0.405,0.183,0.141,0.323,0.267
"P06","2",0.082,0.037,0.04,0.115,0.052
"P06","3",0.071,0.039,0.032,0.076,0.055
"P06","4",0.058,0.038,0.037,0.026,0.052
"P06","5",0.161,0.222,0.163,0.16,0.25
"P06","6",0.035,0.073,0.047,0.021,0.043
"P06","7",0.042,0.092,0.089,0.024,0.058
"P06","8",0.022,0.079,0.084,0.066,0.047
"P06","9",0.124,0.237,0.367,0.189,0.176
"P07","1",0.58,0.24,0.197,0.585,0.342
"P07","2",0.035,0.036,0.02,0.072,0.023
"P07","3",0.038,0.038,0.032,0.033,0.027
"P07","4",0.021,0.038,0.018,0.012,0.02
"P07","5",0.056,0.143,0.145,0.073,0.137
"P07","6",0.021,0.025,0.04,0.041,0.025
"P07","7",0.022,0.051,0.048,0.02,0.021
"P07","8",0.009,0.045,0.064,0.022,0.031
"P07","9",0.218,0.384,0.436,0.142,0.374
"P09","Del Frente de Todos y el peronismo",0.839,0.066,0.049,0.393,0.314
"P09","De Juntos por el cambio",0.079,0.802,0.181,0.118,0.289
"P09","De los Liberales libertarios",0.013,0.046,0.668,0.068,0.071
"P09","De la Izquierda",0.004,0.006,0.019,0.35,0.019
"P09","No sabe",0.065,0.08,0.083,0.071,0.307
"P10","A Alberto Fernández",0.188,0.153,0.138,0.009,0.095
"P10","A Sergio Massa",0.214,0.237,0.283,0.208,0.218
"P10","A algún candidato del peronismo",0.147,0.404,0.401,0.14,0.226
