"var","categoria","Daniel Scioli por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.504,0.438,0.444
"P04","Realizo changas o trabajos de vez en cuando",0.174,0.172,0.264
"P04","No tengo trabajo",0.138,0.159,0.175
"P04","Soy jubilado o pensionado",0.184,0.231,0.117
"P05","1",0.202,0.349,0.357
"P05","2",0.069,0.098,0.093
"P05","3",0.038,0.084,0.065
"P05","4",0.04,0.119,0.088
"P05","5",0.154,0.202,0.188
"P05","6",0.076,0.036,0.019
"P05","7",0.145,0.034,0.04
"P05","8",0.103,0.021,0.032
"P05","9",0.173,0.057,0.118
"P06","1",0.368,0.149,0.203
"P06","2",0.096,0.034,0.053
"P06","3",0.076,0.035,0.046
"P06","4",0.066,0.044,0.041
"P06","5",0.172,0.204,0.176
"P06","6",0.045,0.07,0.037
"P06","7",0.044,0.103,0.076
"P06","8",0.024,0.095,0.057
"P06","9",0.109,0.266,0.311
"P07","1",0.602,0.22,0.253
"P07","2",0.039,0.037,0.025
"P07","3",0.035,0.038,0.037
"P07","4",0.023,0.033,0.016
"P07","5",0.068,0.143,0.108
"P07","6",0.027,0.034,0.032
"P07","7",0.017,0.049,0.04
"P07","8",0.012,0.055,0.055
"P07","9",0.177,0.391,0.434
"P09","Del Frente de Todos y el peronismo",0.805,0.037,0.187
"P09","De Juntos por el cambio",0.046,0.678,0.17
"P09","De los Liberales libertarios",0.063,0.209,0.391
"P09","De la Izquierda",0.021,0.007,0.041
"P09","No sabe",0.065,0.069,0.211
"P10","A Alberto Fernández",0.115,0.174,0.153
"P10","A Sergio Massa",0.24,0.11,0.197
"P10","A algún candidato del peronismo",0.141,0.699,0.214
"P10","A algún candidato del kirchnerismo",0.504,0.017,0.436
"P11","A Alberto Fernández",0.076,0.164,0.116
"P11","A Sergio Massa",0.131,0.185,0.131
"P11","A algún candidato del peronismo",0.101,0.575,0.158
"P11","A Cristina Fernández de Kirchner",0.692,0.076,0.595
"P12","A Horacio Rodriguez Larreta",0.194,0.279,0.153
"P12","A Patricia Bullrich",0.276,0.624,0.707
"P12","A Facundo Manes",0.308,0.045,0.082
"P12","A Gerardo Morales",0.222,0.052,0.058
"P13","Lo votaría",0.328,0.042,0.068
"P13","Puede que lo vote",0.395,0.11,0.136
"P13","Nunca lo votaría",0.136,0.82,0.66
"P13","No sabe",0.141,0.028,0.136
"P14","Lo votaría",0.256,0.006,0.053
"P14","Puede que lo vote",0.391,0.032,0.098
"P14","Nunca lo votaría",0.249,0.953,0.75
"P14","No sabe",0.104,0.009,0.099
"P15","Lo votaría",0.041,0.253,0.012
"P15","Puede que lo vote",0.086,0.444,0.112
"P15","Nunca lo votaría",0.833,0.266,0.772
"P15","No sabe",0.04,0.037,0.104
"P16","Lo votaría",0.058,0.121,0.035
"P16","Puede que lo vote",0.132,0.359,0.139
"P16","Nunca lo votaría",0.72,0.421,0.657
"P16","No sabe",0.09,0.099,0.169
"P17","La votaría",0.049,0.554,0.194
"P17","Puede que la vote",0.05,0.247,0.227
"P17","Nunca la votaría",0.861,0.165,0.486
"P17","No sabe",0.04,0.034,0.093
"P18","Lo votaría",0.066,0.278,0.414
"P18","Puede que lo vote",0.046,0.285,0.141
"P18","Nunca lo votaría",0.873,0.392,0.371
"P18","No sabe",0.015,0.045,0.074
"P19","La votaría",0.046,0.227,0.102
"P19","Puede que la vote",0.061,0.395,0.161
"P19","Nunca la votaría",0.852,0.316,0.64
"P19","No sabe",0.041,0.062,0.097
"P20","Lo votaría",0.35,0.034,0.046
"P20","Puede que lo vote",0.328,0.092,0.098
"P20","Nunca lo votaría",0.253,0.809,0.726
"P20","No sabe",0.069,0.065,0.13
"P21","Lo votaría",0.366,0.016,0.008
"P21","Puede que lo vote",0.463,0.035,0.096
"P21","Nunca lo votaría",0.117,0.936,0.801
"P21","No sabe",0.054,0.013,0.095
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.171,0.013
"P22","Patricia Bullrich por Juntos por el Cambio",0.015,0.523,0.192
"P22","Facundo Manes por Juntos por el Cambio",0.025,0.071,0.033
"P22","Alberto Fernández por el Frente de Todos",0.116,0.008,0.05
"P22","Sergio Massa por el Frente de Todos",0.187,0.008,0.048
"P22","Wado de Pedro por el Frente de Todos",0.33,0.006,0.075
"P22","Daniel Scioli por el Frente de Todos",0.202,0.005,0.029
"P22","Javier Milei por los liberales libertarios",0.036,0.172,0.415
"P22","Al candidato del Frente de Izquierda",0.027,0.005,0.032
"P22","No sabe",0.055,0.031,0.113
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.147,0.018
"P23","Patricia Bullrich por Juntos por el Cambio",0.01,0.497,0.182
"P23","María Eugenia Vidal por Juntos por el Cambio",0.014,0.089,0.025
"P23","Facundo Manes por Juntos por el Cambio",0.04,0.057,0.031
"P23","Sergio Massa por el Frente de Todos",0.226,0.011,0.074
"P23","Wado de Pedro por el Frente de Todos",0.368,0.008,0.07
"P23","Daniel Scioli por el Frente de Todos",0.22,0.004,0.026
"P23","Javier Milei por los liberales libertarios",0.039,0.16,0.423
"P23","Al candidato del Frente de Izquierda",0.029,0.003,0.03
"P23","No sabe",0.048,0.024,0.121
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.149,0.01
"P24","Patricia Bullrich por Juntos por el Cambio",0.016,0.496,0.191
"P24","María Eugenia Vidal por Juntos por el Cambio",0.014,0.091,0.023
"P24","Facundo Manes por Juntos por el Cambio",0.03,0.056,0.039
"P24","Sergio Massa por el Frente de Todos",0.254,0.01,0.056
"P24","Wado de Pedro por el Frente de Todos",0.405,0.002,0.07
"P24","Alberto Fernández por el Frente de Todos",0.172,0.006,0.057
"P24","Javier Milei por los liberales libertarios",0.037,0.167,0.42
"P24","Al candidato del Frente de Izquierda",0.021,0.002,0.03
"P24","No sabe",0.046,0.021,0.104
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.15,0.027
"P25","Patricia Bullrich por Juntos por el Cambio",0.017,0.438,0.159
"P25","Facundo Manes por Juntos por el Cambio",0.017,0.15,0.063
"P25","Sergio Massa por el Frente de Todos",0.221,0.012,0.069
"P25","Wado de Pedro por el Frente de Todos",0.36,0.009,0.073
"P25","Daniel Scioli por el Frente de Todos",0.272,0.01,0.034
"P25","Javier Milei por los liberales libertario",0.044,0.126,0.233
"P25","Al candidato del Frente de Izquierda",0.025,0.08,0.224
"P25","No sabe",0.034,0.025,0.118
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.218,0.016
"P26","Patricia Bulrich por Juntos por el Cambio",0.034,0.508,0.184
"P26","Alberto Fernández por el Frente de Todos",0.216,0.007,0.064
"P26","Sergio Massa por el Frente de Todos",0.484,0.016,0.076
"P26","Javier Milei por los liberales libertarios",0.059,0.184,0.407
"P26","Al candidato del Frente de Izquierda",0.084,0.02,0.076
"P26","No sabe",0.116,0.047,0.177
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.208,0.014
"P27","Patricia Bullrich por Juntos por el Cambio",0.024,0.539,0.194
"P27","Wado de Pedro por el Frente de Todos",0.407,0.013,0.074
"P27","Sergio Massa por el Frente de Todos",0.375,0.011,0.079
"P27","Javier Milei por los liberales libertarios",0.059,0.187,0.438
"P27","Al candidato del Frente de Izquierda",0.042,0.012,0.056
"P27","No sabe",0.077,0.03,0.145
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.216,0.012
"P28","Patricia Bullrich por Juntos por el Cambio",0.019,0.544,0.198
"P28","Wado de Pedro por el Frente de Todos",0.439,0.006,0.071
"P28","Daniel Scioli por el Frente de Todos",0.386,0.007,0.047
"P28","Javier Milei por los liberales libertarios",0.057,0.188,0.452
"P28","Al candidato del Frente de Izquierda",0.035,0.01,0.054
"P28","No sabe",0.053,0.029,0.166
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.008,0.299,0.037
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.019,0.452,0.152
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.329,0.016,0.082
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.48,0.012,0.072
"P29","Javier Milei presidente y su candidato a vice",0.058,0.181,0.447
"P29","A los candidatos de la izquierda",0.035,0.005,0.045
"P29","No sabe",0.071,0.035,0.165
"P30","Alberto Fernández por el Frente de Todos",0.674,0.029,0.094
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.539,0.027
"P30","Javier Milei por los liberales libertarios",0.074,0.303,0.508
"P30","Al candidato del Frente de Izquierda",0.066,0.021,0.073
"P30","No sabe",0.167,0.108,0.298
"P31","Sergio Massa por el Frente de Todos",0.715,0.024,0.088
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.567,0.029
"P31","Javier Milei por los liberales libertarios",0.067,0.315,0.521
"P31","Al candidato del Frente de Izquierda",0.078,0.014,0.071
"P31","No sabe",0.124,0.08,0.291
"P32","Wado de Pedro por el Frente de Todos",0.755,0.014,0.092
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.595,0.035
"P32","Javier Milei por los liberales libertarios",0.072,0.313,0.504
"P32","Al candidato del Frente de Izquierda",0.039,0.014,0.056
"P32","No sabe",0.118,0.064,0.313
"P33","Daniel Scioli por el Frente de Todos",0.798,0.009,0.046
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.612,0.027
"P33","Javier Milei por los liberales libertarios",0.056,0.31,0.509
"P33","Al candidato del Frente de Izquierda",0.053,0.013,0.078
"P33","No sabe",0.079,0.056,0.34
"P34","Sergio Massa por el Frente de Todos",0.738,0.026,0.09
"P34","Patricia Bullrich por Juntos por el Cambio",0.028,0.699,0.186
"P34","Javier Milei por los liberales libertarios",0.055,0.206,0.445
"P34","Al candidato del Frente de Izquierda",0.07,0.015,0.07
"P34","No sabe",0.109,0.054,0.209
"P35","Alberto Fernández por el Frente de Todos",0.726,0.016,0.092
"P35","Patricia Bullrich por Juntos por el Cambio",0.021,0.704,0.194
"P35","Javier Milei por los liberales libertarios",0.055,0.201,0.447
"P35","Al candidato del Frente de Izquierda",0.078,0.019,0.074
"P35","No sabe",0.12,0.06,0.193
"P36","Wado de Pedro por el Frente de Todos",0.737,0.014,0.079
"P36","Patricia Bullrich por Juntos por el Cambio",0.028,0.708,0.199
"P36","Javier Milei por los liberales libertarios",0.061,0.198,0.446
"P36","Al candidato del Frente de Izquierda",0.038,0.025,0.062
"P36","No sabe",0.136,0.055,0.214
"P37","Daniel Scioli por el Frente de Todos",0.799,0.016,0.04
"P37","Patricia Bullrich por Juntos por el Cambio",0.03,0.708,0.197
"P37","Javier Milei por los liberales libertarios",0.055,0.203,0.445
"P37","Al candidato del Frente de Izquierda",0.049,0.019,0.078
"P37","No sabe",0.067,0.054,0.24
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.106,0.484,0.031
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.608,0.128,0.098
"P38","Javier Milei presidente y su candidato a vice",0.07,0.292,0.5
"P38","A los candidatos de la izquierda",0.078,0.011,0.077
"P38","No sabe",0.138,0.085,0.294
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.042,0.646,0.153
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.671,0.044,0.084
"P39","Javier Milei presidente y su candidato a vice",0.067,0.216,0.452
"P39","A los candidatos de la izquierda",0.072,0.019,0.071
"P39","No sabe",0.148,0.075,0.24
"P40","Sergio Massa por el Frente de Todos",0.85,0.034,0.129
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.874,0.037
"P40","No sabe",0.125,0.092,0.834
"P41","Alberto Fernández por el Frente de Todos",0.812,0.026,0.123
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.929,0.05
"P41","No sabe",0.156,0.045,0.827
"P42","Sergio Massa por el Frente de Todos",0.859,0.03,0.118
"P42","Patricia Bullrich por Juntos por el Cambio",0.048,0.892,0.372
"P42","No sabe",0.093,0.078,0.51
"P43","Alberto Fernández por el Frente de Todos",0.819,0.023,0.131
"P43","Patricia Bullrich por Juntos por el Cambio",0.048,0.897,0.388
"P43","No sabe",0.133,0.08,0.481
"P44","Wado de Pedro por el Frente de Todos",0.835,0.015,0.091
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.043,0.958,0.065
"P44","No sabe",0.122,0.027,0.844
"P46","Wado de Pedro por el Frente de Todos",0.845,0.025,0.088
"P46","Patricia Bullrich por Juntos por el Cambio",0.046,0.907,0.355
"P46","No sabe",0.109,0.068,0.557
"P47","Daniel Scioli por el Frente de Todos",0.902,0.024,0.047
"P47","Patricia Bullrich por Juntos por el Cambio",0.043,0.902,0.411
"P47","No sabe",0.055,0.074,0.542
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.224,0.567,0.031
"P48","Javier Milei por los liberales libertarios",0.099,0.389,0.49
"P48","No sabe",0.677,0.044,0.479
"P49","Patricia Bullrich por Juntos por el Cambio",0.079,0.691,0.186
"P49","Javier Milei por los liberales libertarios",0.105,0.245,0.44
"P49","No sabe",0.816,0.064,0.374
"P50","Alberto Fernández por el Frente de Todos",0.733,0.121,0.124
"P50","Javier Milei por los liberales libertarios",0.078,0.557,0.516
"P50","No sabe",0.189,0.322,0.36
"P51","Sergio Massa por el Frente de Todos",0.841,0.049,0.11
"P51","Javier Milei por los liberales libertarios",0.076,0.64,0.511
"P51","No sabe",0.083,0.311,0.379
"P52","Muy buena",0.209,0.009,0.032
"P52","Buena",0.271,0.076,0.119
