"var","categoria","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.232,0.278,0.188,0.21,0.148,0.137,0.167
"P04","Casi siempre",0.415,0.438,0.471,0.34,0.378,0.398,0.396
"P04","Casi nunca",0.277,0.223,0.285,0.334,0.353,0.283,0.36
"P04","Nunca, pero esta es una excepción",0.076,0.061,0.056,0.116,0.121,0.182,0.077
"P06","Del Frente de Todos y el peronismo",0.866,0.045,0.083,0.035,0.279,0.269,0.325
"P06","De Juntos por el cambio",0.041,0.777,0.693,0.075,0.032,0.135,0.148
"P06","De los Liberales libertarios",0.027,0.114,0.083,0.833,0.062,0.062,0.04
"P06","De la Izquierda",0.01,0.014,0.014,0.014,0.526,0.029,0.078
"P06","No sabe",0.056,0.05,0.127,0.043,0.101,0.505,0.409
"P07","A Sergio Massa",0.281,0.136,0.5,0.369,0.105,0.378,0.126
"P07","A Daniel Scioli",0.107,0.158,0.326,0.081,0.252,0,0.091
"P07","A algún candidato del peronismo",0.051,0.443,0.128,0.273,0.045,0.107,0.204
"P07","A algún candidato del kirchnerismo",0.561,0.263,0.046,0.277,0.598,0.515,0.579
"P08","A Sergio Massa",0.194,0,0.627,0.353,0.088,0.362,0.075
"P08","A Daniel Scioli",0.049,0.183,0.326,0.081,0.017,0.014,0.083
"P08","A algún candidato del peronismo",0.043,0.446,0,0.273,0.297,0.051,0.177
"P08","A Cristina Fernández de Kirchner",0.714,0.371,0.047,0.293,0.598,0.573,0.665
"P09","A Horacio Rodriguez Larreta",0.029,0.029,0.579,0.148,0.064,0.188,0.161
"P09","A Patricia Bullrich",0.36,0.93,0.229,0.563,0,0.184,0.585
"P09","A Facundo Manes",0.46,0.02,0.09,0.131,0.827,0.407,0.123
"P09","A Gerardo Morales",0.151,0.021,0.102,0.158,0.109,0.221,0.131
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.833,0.015,0.052,0.016,0.174,0.117,0.153
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.016,0.858,0.127,0.047,0.008,0.052,0.067
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.017,0.043,0.701,0.021,0.022,0.038,0.033
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.038,0.047,0.048,0.885,0.071,0.061,0.045
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.003,0.017,0.005,0.625,0.005,0.045
"P10","En blanco",0.018,0.004,0.019,0.008,0.03,0.55,0.039
"P10","No sabe",0.058,0.03,0.036,0.018,0.07,0.177,0.618
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.042,0.058,0.043,0.789,0.062,0.046,0.023
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.8,0.043,0.055,0.044,0.141,0.061,0.144
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.039,0.7,0.09,0.071,0.005,0.065,0.063
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.017,0.129,0.64,0.056,0.004,0.032,0.035
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.016,0.017,0.068,0.017,0.181,0.121,0.071
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0.019,0.047,0.005,0.041,0.208,0.065
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.029,0.007,0.017,0.003,0.489,0.079,0.189
"P11","En blanco",0.006,0.001,0.008,0.002,0.007,0.348,0.015
"P11","No sabe",0.047,0.026,0.032,0.013,0.07,0.04,0.395
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.727,0.056,0.056,0.029,0.16,0.05,0.117
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.032,0.68,0.12,0.045,0.018,0.079,0.062
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.028,0.113,0.623,0.122,0.036,0.007,0.019
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.016,0.033,0.092,0.015,0.094,0.14,0.102
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.008,0.022,0.043,0.007,0.023,0.094,0.037
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.064,0.068,0.025,0.765,0.014,0.037,0.026
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.002,0.012,0.003,0.597,0.012,0.076
"P12","En blanco",0.03,0.009,0.003,0.005,0.046,0.534,0.012
"P12","No sabe",0.073,0.017,0.026,0.009,0.012,0.047,0.549
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.549,0.061,0.046,0.205,0.116,0.07,0.119
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.193,0.546,0.069,0.042,0.042,0.095,0.074
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.046,0.13,0.646,0.071,0.011,0.019,0.023
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.05,0.17,0.08,0.069,0.054,0.087,0.076
