"var","categoria","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.257,0.255,0.224,0.138,0.214,0.17
"P04","Casi siempre",0.435,0.435,0.352,0.518,0.444,0.422
"P04","Casi nunca",0.266,0.237,0.327,0.241,0.212,0.359
"P04","Nunca, pero esta es una excepción",0.042,0.073,0.097,0.103,0.13,0.049
"P06","Del Frente de Todos y el peronismo",0.856,0.055,0.083,0.281,0.314,0.35
"P06","De Juntos por el cambio",0.066,0.748,0.059,0.026,0.216,0.24
"P06","De los Liberales libertarios",0.034,0.136,0.798,0.074,0.063,0.045
"P06","De la Izquierda",0.009,0.016,0.009,0.556,0.038,0.033
"P06","No sabe",0.035,0.045,0.051,0.063,0.369,0.332
"P07","A Sergio Massa",0.259,0.467,0.09,0.565,0.179,0.103
"P07","A Daniel Scioli",0.097,0.09,0.116,0.072,0.037,0.097
"P07","A algún candidato del peronismo",0.035,0.228,0.521,0,0.106,0.107
"P07","A algún candidato del kirchnerismo",0.609,0.215,0.273,0.363,0.678,0.693
"P08","A Sergio Massa",0.175,0.2,0.318,0.119,0.179,0.083
"P08","A Daniel Scioli",0.056,0.074,0.116,0.044,0.031,0.088
"P08","A algún candidato del peronismo",0.029,0.236,0.247,0,0.082,0.142
"P08","A Cristina Fernández de Kirchner",0.74,0.49,0.319,0.837,0.708,0.687
"P09","A Horacio Rodriguez Larreta",0.094,0.148,0.113,0,0.295,0.391
"P09","A Patricia Bullrich",0.187,0.772,0.671,0.281,0.305,0.385
"P09","A Facundo Manes",0.616,0.038,0.08,0.719,0.341,0.174
"P09","A Gerardo Morales",0.103,0.042,0.136,0,0.059,0.05
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.82,0.033,0.054,0.22,0.199,0.258
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.033,0.656,0.064,0.026,0.09,0.095
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.023,0.169,0.027,0.029,0.163,0.18
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.033,0.095,0.829,0.027,0.056,0.046
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.021,0.006,0.004,0.598,0.008,0.014
"P10","En blanco",0.012,0.006,0.008,0.004,0.371,0.031
"P10","No sabe",0.058,0.035,0.014,0.096,0.113,0.376
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.054,0.106,0.725,0.009,0.027,0.017
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.786,0.044,0.077,0.216,0.185,0.225
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.04,0.544,0.085,0.017,0.118,0.077
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.019,0.218,0.066,0.04,0.134,0.167
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.018,0.031,0.015,0.16,0.087,0.064
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.02,0.013,0.018,0.152,0.047
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.01,0.007,0.535,0.013,0.11
"P11","En blanco",0.006,0.002,0.003,0.002,0.19,0.016
"P11","No sabe",0.048,0.025,0.009,0.003,0.094,0.277
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.789,0.045,0.065,0.14,0.106,0.11
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.043,0.519,0.057,0.041,0.109,0.101
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.034,0.226,0.109,0.048,0.151,0.139
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.014,0.039,0.017,0.063,0.1,0.097
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0.023,0.008,0.029,0.066,0.035
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.059,0.115,0.71,0.03,0.027,0.037
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.004,0.005,0.553,0.014,0.03
"P12","En blanco",0.007,0.008,0.01,0.088,0.324,0.032
"P12","No sabe",0.036,0.021,0.019,0.008,0.103,0.419
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.543,0.078,0.212,0.107,0.096,0.167
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.205,0.436,0.054,0.094,0.093,0.1
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.061,0.226,0.079,0.048,0.115,0.124
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.053,0.134,0.075,0.051,0.155,0.091
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.01,0.035,0.016,0.047,0.102,0.069
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.029,0.062,0.535,0.011,0.037,0.045
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.031,0.003,0.004,0.596,0.014,0.012
"P16","En blanco",0.014,0.009,0.005,0.043,0.273,0.032
"P16","No sabe",0.054,0.017,0.02,0.003,0.115,0.36
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.859,0.041,0.063,0.201,0.203,0.231
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.03,0.646,0.057,0.017,0.077,0.06
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.023,0.183,0.035,0.048,0.175,0.177
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.021,0.11,0.829,0.016,0.08,0.04
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.028,0.001,0.006,0.546,0.012,0.031
"P17","En blanco",0.005,0.005,0.005,0.043,0.368,0.016
"P17","No sabe",0.034,0.014,0.005,0.129,0.085,0.445
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.059,0.107,0.733,0.035,0.044,0.024
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.793,0.063,0.061,0.274,0.122,0.206
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.029,0.586,0.12,0.012,0.138,0.109
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.041,0.204,0.046,0.064,0.157,0.171
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.003,0.004,0.452,0.017,0.028
"P18","En blanco",0.011,0.005,0.024,0.053,0.408,0.047
"P18","No sabe",0.053,0.032,0.012,0.11,0.114,0.415
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.762,0.035,0.082,0.203,0.152,0.245
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.062,0.582,0.121,0.057,0.149,0.091
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.034,0.228,0.039,0.013,0.163,0.159
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.034,0.118,0.739,0.034,0.055,0.044
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.026,0.003,0.004,0.528,0.013,0.025
"P19","En blanco",0.018,0.006,0.005,0.074,0.372,0.028
"P19","No sabe",0.064,0.028,0.01,0.091,0.096,0.408
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.855,0.043,0.059,0.237,0.252,0.255
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.041,0.803,0.06,0.01,0.109,0.11
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.028,0.112,0.851,0.018,0.092,0.017
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.004,0.009,0.621,0.057,0.035
"P20","En blanco",0.008,0.009,0.008,0.04,0.402,0.005
"P20","No sabe",0.045,0.029,0.013,0.074,0.088,0.578
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.702,0.093,0.111,0.136,0.212,0.218
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.108,0.725,0.123,0.027,0.074,0.072
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.093,0.154,0.74,0.07,0.122,0.045
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.001,0.008,0.671,0.068,0.032
"P23","En blanco",0.02,0.007,0.011,0.028,0.44,0.008
"P23","No sabe",0.054,0.02,0.007,0.068,0.084,0.625
