"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P06","Unión por la Patria y el peronismo",0.12,0.145,0.341,0.725,0.563,0.364
"P06","Juntos por el Cambio ",0.741,0.633,0.269,0.117,0.158,0.188
"P06","De los Liberales libertarios",0.101,0.184,0.236,0.085,0.165,0.22
"P06","De la Izquierda",0.003,0.007,0.03,0.024,0.068,0.026
"P06","No sabe",0.035,0.031,0.124,0.049,0.046,0.202
"P07","A Sergio Massa",0.464,0.302,0.402,0.331,0.19,0.253
"P07","A Daniel Scioli",0.11,0.157,0.081,0.077,0.037,0.091
"P07","A algún candidato del peronismo",0.371,0.185,0.098,0.096,0.076,0.269
"P07","A algún candidato del kirchnerismo",0.055,0.356,0.419,0.496,0.697,0.387
"P08","A Horacio Rodriguez Larreta",0.046,0.136,0.339,0.241,0.143,0.165
"P08","A Patricia Bullrich",0.916,0.81,0.509,0.484,0.725,0.466
"P08","A Facundo Manes",0.033,0.015,0.081,0.259,0.127,0.14
"P08","A Gerardo Morales",0.005,0.039,0.071,0.016,0.005,0.229
"P09","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.023,0.033,0.179,0.247,0.084,0.173
"P09","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.019,0.064,0.195,0.499,0.473,0.146
"P09","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.028,0.043,0.033,0.053,0.017,0.045
"P09","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.718,0.559,0.159,0.033,0.094,0.058
"P09","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.083,0.134,0.114,0.042,0.044,0.138
"P09","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.106,0.137,0.237,0.089,0.191,0.276
"P09","Los candidatos a presidente y a gobernador del Frente de Izquierda",0,0.012,0.018,0.023,0.064,0.009
"P09","En blanco",0.014,0.003,0.027,0.005,0.011,0.029
"P09","No sabe",0.009,0.015,0.038,0.009,0.022,0.126
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.067,0.035,0.163,0.257,0.075,0.185
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.039,0.078,0.189,0.474,0.474,0.141
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.674,0.538,0.196,0.047,0.119,0.068
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.088,0.134,0.122,0.047,0.06,0.136
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.113,0.17,0.197,0.096,0.161,0.224
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.017,0.038,0.042,0.077,0.038
"P12","En blanco",0,0.013,0.034,0.009,0.019,0.032
"P12","No sabe",0.004,0.015,0.061,0.028,0.015,0.176
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.047,0.058,0.287,0.566,0.387,0.254
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.033,0.078,0.071,0.115,0.09,0.04
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.699,0.565,0.171,0.053,0.068,0.071
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.082,0.126,0.13,0.043,0.049,0.119
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.12,0.134,0.221,0.075,0.211,0.282
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.013,0.027,0.054,0.089,0.015
"P15","En blanco",0.001,0.021,0.038,0.023,0.042,0.029
"P15","No sabe",0.002,0.005,0.055,0.071,0.064,0.19
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.067,0.082,0.288,0.658,0.53,0.233
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.03,0.062,0.078,0.073,0.046,0.06
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.673,0.536,0.172,0.041,0.09,0.082
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.082,0.128,0.134,0.058,0.049,0.13
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.123,0.175,0.21,0.086,0.178,0.25
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.001,0.025,0.046,0.064,0.014
"P18","En blanco",0.004,0.013,0.031,0.013,0.011,0.016
"P18","No sabe",0.007,0.003,0.062,0.025,0.032,0.215
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.087,0.085,0.321,0.633,0.444,0.271
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.678,0.535,0.191,0.049,0.102,0.076
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.095,0.152,0.115,0.053,0.056,0.167
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.092,0.162,0.202,0.089,0.166,0.266
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.004,0.041,0.065,0.098,0.011
"P21","En blanco",0.019,0.019,0.028,0.059,0.05,0.027
"P21","No sabe",0.011,0.043,0.102,0.052,0.084,0.182
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.102,0.12,0.236,0.546,0.423,0.226
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.538,0.471,0.173,0.051,0.124,0.082
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.045,0.156,0.201,0.216,0.191,0.183
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.295,0.236,0.24,0.081,0.15,0.258
