"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Nestor Grindetti","Positiva",0.305,0.31,0.3,0.271,0.262,0.333,0.382,0.275,0.331,0.297,0.315,0.285,0.129,0.516,0.206
"Nestor Grindetti","Neutra",0.227,0.242,0.213,0.221,0.232,0.212,0.241,0.262,0.217,0.204,0.224,0.234,0.205,0.209,0.459
"Nestor Grindetti","Negativa",0.384,0.382,0.386,0.395,0.426,0.38,0.297,0.344,0.377,0.439,0.386,0.38,0.576,0.219,0.223
"Nestor Grindetti","No sabe",0.084,0.066,0.101,0.113,0.08,0.075,0.08,0.119,0.075,0.06,0.075,0.101,0.09,0.056,0.112
"Guillermo Britos","Positiva",0.194,0.217,0.173,0.212,0.223,0.183,0.138,0.24,0.196,0.145,0.191,0.203,0.096,0.255,0.275
"Guillermo Britos","Neutra",0.279,0.296,0.263,0.275,0.256,0.27,0.343,0.289,0.294,0.247,0.278,0.282,0.192,0.378,0.308
"Guillermo Britos","Negativa",0.387,0.374,0.399,0.389,0.402,0.395,0.34,0.303,0.381,0.484,0.393,0.373,0.586,0.229,0.293
"Guillermo Britos","No sabe",0.14,0.113,0.165,0.124,0.119,0.152,0.179,0.168,0.129,0.124,0.138,0.142,0.126,0.138,0.124
"Diego Santilli","Positiva",0.348,0.333,0.363,0.253,0.299,0.397,0.463,0.354,0.341,0.351,0.355,0.334,0.128,0.587,0.402
"Diego Santilli","Neutra",0.204,0.217,0.192,0.253,0.209,0.188,0.176,0.22,0.218,0.168,0.206,0.201,0.17,0.222,0.291
"Diego Santilli","Negativa",0.407,0.413,0.4,0.417,0.452,0.393,0.322,0.37,0.406,0.448,0.402,0.417,0.658,0.164,0.293
"Diego Santilli","No sabe",0.041,0.037,0.045,0.077,0.04,0.022,0.039,0.056,0.035,0.033,0.037,0.048,0.044,0.027,0.014
"Axel Kicillof","Positiva",0.4,0.382,0.418,0.375,0.426,0.396,0.375,0.391,0.38,0.44,0.401,0.398,0.72,0.16,0.247
"Axel Kicillof","Neutra",0.127,0.141,0.113,0.145,0.14,0.109,0.109,0.171,0.123,0.086,0.127,0.127,0.125,0.118,0.194
"Axel Kicillof","Negativa",0.462,0.466,0.458,0.468,0.421,0.491,0.5,0.423,0.489,0.463,0.461,0.464,0.144,0.713,0.559
"Axel Kicillof","No sabe",0.011,0.011,0.011,0.012,0.013,0.004,0.016,0.015,0.008,0.011,0.011,0.011,0.011,0.009,0
"Victoria Tolosa Paz","Positiva",0.233,0.237,0.23,0.232,0.242,0.233,0.216,0.244,0.241,0.211,0.239,0.222,0.419,0.103,0.132
"Victoria Tolosa Paz","Neutra",0.195,0.196,0.194,0.154,0.203,0.179,0.234,0.225,0.165,0.205,0.186,0.212,0.282,0.106,0.302
"Victoria Tolosa Paz","Negativa",0.54,0.532,0.548,0.556,0.526,0.567,0.52,0.48,0.568,0.564,0.546,0.529,0.261,0.775,0.549
"Victoria Tolosa Paz","No sabe",0.032,0.035,0.028,0.058,0.029,0.021,0.03,0.051,0.026,0.02,0.029,0.037,0.038,0.016,0.017
