"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P04","Tengo trabajo estable",0.387,0.499,0.464,0.282
"P04","Realizo changas o trabajos de vez en cuando",0.168,0.18,0.231,0.246
"P04","No tengo trabajo",0.22,0.174,0.141,0.29
"P04","Soy jubilado o pensionado",0.225,0.147,0.164,0.182
"P05","Derecha",0.333,0.264,0.143,0.115
"P05","Centro derecha",0.266,0.22,0.108,0.092
"P05","Centro izquierda",0.056,0.139,0.262,0.086
"P05","Izquierda",0.054,0.042,0.132,0.072
"P05","No sabe",0.291,0.335,0.355,0.635
"P06","Alta",0.245,0.208,0.473,0.244
"P06","Media",0.257,0.3,0.312,0.454
"P06","Baja",0.498,0.492,0.215,0.302
"P07","Estoy de acuerdo",0.24,0.313,0.482,0.321
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.529,0.474,0.335,0.386
"P07","No estoy de acuerdo",0.175,0.158,0.13,0.172
"P07","No sabe",0.056,0.055,0.053,0.121
"P08","Del Frente de Todos y el peronismo",0.078,0.092,0.527,0.151
"P08","De Cambiemos",0.765,0.461,0.108,0.113
"P08","De los Liberales libertarios",0.089,0.292,0.106,0.108
"P08","De la Izquierda",0.02,0.028,0.056,0.015
"P08","No sabe",0.048,0.127,0.203,0.613
"P10","A Alberto Fernández",0.092,0.147,0.183,0.289
"P10","A Sergio Massa",0.086,0.13,0.144,0.257
"P10","A algún candidato del peronismo",0.496,0.483,0.168,0.305
"P10","A algún candidato del kirchnerismo",0.326,0.24,0.505,0.149
"P11","A Alberto Fernández",0,0.06,0.093,0.256
"P11","A Sergio Massa",0.046,0.144,0.095,0.051
"P11","A algún candidato del peronismo",0.544,0.483,0.132,0.442
"P11","A Cristina Fernández de Kirchner",0.41,0.313,0.68,0.251
"P12","A Horacio Rodriguez Larreta",0.141,0.328,0.357,0.175
"P12","A Mauricio Macri",0.507,0.091,0.167,0.11
"P12","A Patricia Bullrich",0.312,0.336,0.117,0.125
