"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","Javier Milei presidente – José Luis Espert vice por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.489,0.405,0.553,0.436,0.427
"P04","Realizo changas o trabajos de vez en cuando",0.195,0.161,0.246,0.209,0.224
"P04","No tengo trabajo",0.091,0.23,0.12,0.216,0.193
"P04","Soy jubilado o pensionado",0.225,0.204,0.081,0.139,0.156
"P05","Derecha",0.088,0.266,0.423,0.053,0.166
"P05","Centro derecha",0.067,0.243,0.19,0.035,0.118
"P05","Centro izquierda",0.391,0.101,0.062,0.269,0.215
"P05","Izquierda",0.198,0.036,0.025,0.353,0.093
"P05","No sabe",0.256,0.354,0.3,0.29,0.408
"P06","Alta",0.593,0.216,0.242,0.575,0.385
"P06","Media",0.272,0.299,0.256,0.345,0.36
"P06","Baja",0.135,0.485,0.502,0.08,0.255
"P07","Estoy de acuerdo",0.646,0.287,0.206,0.701,0.414
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.209,0.497,0.547,0.173,0.362
"P07","No estoy de acuerdo",0.086,0.169,0.205,0.016,0.155
"P07","No sabe",0.059,0.047,0.042,0.11,0.069
"P08","Del Frente de Todos y el peronismo",0.784,0.079,0.095,0.389,0.405
"P08","De Cambiemos",0.082,0.729,0.102,0.037,0.185
"P08","De los Liberales libertarios",0.02,0.067,0.646,0.007,0.058
"P08","De la Izquierda",0.034,0.011,0.026,0.404,0.045
"P08","No sabe",0.08,0.114,0.131,0.163,0.307
"P10","A Alberto Fernández",0.124,0.168,0.137,0.184,0.234
"P10","A Sergio Massa",0.158,0.264,0.286,0.124,0.083
"P10","A algún candidato del peronismo",0.139,0.376,0.457,0.245,0.23
"P10","A algún candidato del kirchnerismo",0.579,0.192,0.12,0.447,0.453
"P11","A Alberto Fernández",0.06,0.038,0.03,0.192,0.141
"P11","A Sergio Massa",0.098,0.206,0.287,0,0.026
"P11","A algún candidato del peronismo",0.081,0.31,0.534,0.228,0.276
"P11","A Cristina Fernández de Kirchner",0.761,0.446,0.149,0.58,0.557
"P12","A Horacio Rodriguez Larreta",0.39,0.205,0.235,0.084,0.275
"P12","A Mauricio Macri",0.328,0.348,0.426,0.087,0.189
"P12","A Patricia Bullrich",0.09,0.328,0.132,0,0.127
"P12","A Facundo Manes",0.092,0.056,0.127,0,0.217
"P12","A Gerardo Morales",0.1,0.063,0.08,0.829,0.192
"P13","Seguro lo votaria",0.262,0.175,0.493,0.084,0.085
"P13","Quizás lo votaría",0.21,0.269,0.309,0,0.284
"P13","Nunca lo votaría",0.528,0.556,0.198,0.916,0.631
"P14","Lo votaría",0.032,0.466,0.143,0.003,0.073
"P14","Puede que lo vote",0.03,0.287,0.321,0.1,0.099
"P14","Nunca lo votaría",0.924,0.197,0.467,0.878,0.735
"P14","No sabe",0.014,0.05,0.069,0.019,0.093
"P15","Lo votaría",0.239,0.049,0.056,0.063,0.05
"P15","Puede que lo vote",0.491,0.06,0.116,0.249,0.179
"P15","Nunca lo votaría",0.18,0.867,0.767,0.545,0.621
"P15","No sabe",0.09,0.024,0.061,0.143,0.15
"P16","Lo votaría",0.239,0.034,0.051,0.148,0.137
"P16","Puede que lo vote",0.43,0.051,0.039,0.228,0.208
"P16","Nunca lo votaría",0.221,0.885,0.887,0.451,0.535
"P16","No sabe",0.11,0.03,0.023,0.173,0.12
"P17","La votaría",0.705,0.061,0.072,0.495,0.289
"P17","Puede que la vote",0.104,0.024,0.034,0.162,0.113
"P17","Nunca la votaría",0.166,0.905,0.878,0.252,0.497
"P17","No sabe",0.025,0.01,0.016,0.091,0.101
"P18","Lo votaría",0.074,0.352,0.168,0.009,0.093
"P18","Puede que lo vote",0.062,0.387,0.268,0.026,0.217
"P18","Nunca lo votaría",0.83,0.207,0.487,0.841,0.543
"P18","No sabe",0.034,0.054,0.077,0.124,0.147
"P19","Lo votaría",0.041,0.173,0.109,0.031,0.093
"P19","Puede que lo vote",0.148,0.332,0.237,0.086,0.145
"P19","Nunca lo votaría",0.698,0.41,0.543,0.67,0.544
"P19","No sabe",0.113,0.085,0.111,0.213,0.218
"P20","La votaría",0.06,0.543,0.265,0.005,0.066
"P20","Puede que la vote",0.026,0.276,0.326,0.007,0.143
"P20","Nunca la votaría",0.89,0.145,0.345,0.862,0.695
"P20","No sabe",0.024,0.036,0.064,0.126,0.096
"P21","Lo votaría",0.045,0.075,0.634,0,0.042
"P21","Puede que lo vote",0.04,0.233,0.191,0.118,0.096
"P21","Nunca lo votaría",0.866,0.629,0.14,0.757,0.722
"P21","No sabe",0.049,0.063,0.035,0.125,0.14
"P22","La votaría",0.053,0.326,0.115,0.016,0.065
"P22","Puede que la vote",0.047,0.364,0.221,0.016,0.142
"P22","Nunca la votaría",0.832,0.244,0.579,0.93,0.637
"P22","No sabe",0.068,0.066,0.085,0.038,0.156
"P23","Lo votaría",0.256,0.037,0.044,0.032,0.086
"P23","Puede que lo vote",0.405,0.044,0.053,0.283,0.201
"P23","Nunca lo votaría",0.24,0.891,0.873,0.417,0.555
"P23","No sabe",0.099,0.028,0.03,0.268,0.158
"P24","Lo votaría",0.043,0.074,0.045,0.068,0.048
"P24","Puede que lo vote",0.076,0.258,0.151,0.031,0.099
"P24","Nunca lo votaría",0.756,0.532,0.652,0.651,0.582
"P24","No sabe",0.125,0.136,0.152,0.25,0.271
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.038,0.497,0.092,0.065,0.104
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.056,0.259,0.064,0.029,0.128
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.097,0.013,0.032,0.162,0.086
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.733,0.044,0.025,0.418,0.285
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.028,0.056,0.759,0.027,0.034
"P25","Otros candidatos",0.048,0.131,0.028,0.299,0.363
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.78,0.074,0.024,0.248,0.306
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.066,0.668,0.083,0.064,0.116
"P29","Javier Milei – José Luis Espert por los liberales",0.07,0.079,0.682,0.047,0.058
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.04,0.035,0.042,0.606,0.043
"P29","Otro candidato",0.044,0.144,0.169,0.035,0.477
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.125,0.597,0.057,0.034,0.139
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.613,0.074,0.028,0.11,0.208
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.026,0.087,0.88,0.03,0.012
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.048,0.01,0.004,0.809,0.014
"P31","Otro candidato",0.188,0.232,0.031,0.017,0.627
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.847,0.078,0.052,0.601,0.394
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.085,0.794,0.5,0.034,0.156
"P35","No sabe",0.068,0.128,0.448,0.365,0.45
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.754,0.048,0.045,0.47,0.304
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.093,0.73,0.456,0.04,0.212
"P36","No sabe",0.153,0.222,0.499,0.49,0.484
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.865,0.044,0.037,0.417,0.177
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.06,0.88,0.567,0.02,0.121
"P37","No sabe",0.075,0.076,0.396,0.563,0.702
"P38","Muy buena",0.137,0.023,0.003,0.126,0.076
"P38","Buena",0.363,0.1,0.114,0.085,0.135
"P38","Ni buena ni mala",0.308,0.036,0.06,0.386,0.287
"P38","Mala",0.111,0.055,0.133,0.299,0.146
"P38","Muy mala",0.07,0.785,0.68,0.104,0.328
"P38","No sabe",0.011,0.001,0.01,0,0.028
"P39","Muy buena",0.101,0.012,0.012,0.072,0.078
"P39","Buena",0.349,0.034,0.039,0.129,0.133
"P39","Ni buena ni mala",0.329,0.049,0.056,0.376,0.242
"P39","Mala",0.113,0.072,0.106,0.271,0.162
"P39","Muy mala",0.106,0.832,0.777,0.152,0.355
"P39","No sabe",0.002,0.001,0.01,0,0.03
"P40","Muy buena",0.6,0.02,0.032,0.393,0.251
"P40","Buena",0.165,0.018,0.018,0.166,0.107
"P40","Ni buena ni mala",0.098,0.027,0.018,0.157,0.113
"P40","Mala",0.048,0.027,0.063,0.016,0.079
"P40","Muy mala",0.084,0.902,0.867,0.225,0.408
"P40","No sabe",0.005,0.006,0.002,0.043,0.042
"P41","Muy buena",0.053,0.298,0.057,0.004,0.076
"P41","Buena",0.032,0.271,0.192,0.054,0.054
"P41","Ni buena ni mala",0.04,0.206,0.281,0.123,0.133
"P41","Mala",0.175,0.114,0.225,0.088,0.214
"P41","Muy mala",0.691,0.103,0.233,0.731,0.485
"P41","No sabe",0.009,0.008,0.012,0,0.038
"P42","Muy buena",0.049,0.291,0.08,0.004,0.093
"P42","Buena",0.061,0.419,0.196,0.011,0.13
"P42","Ni buena ni mala",0.154,0.192,0.277,0.2,0.229
"P42","Mala",0.175,0.041,0.154,0.211,0.176
"P42","Muy mala",0.551,0.044,0.271,0.567,0.319
"P42","No sabe",0.01,0.013,0.022,0.007,0.053
"P43","Muy buena",0.187,0.021,0.002,0.008,0.034
"P43","Buena",0.393,0.035,0.023,0.082,0.108
"P43","Ni buena ni mala",0.305,0.05,0.158,0.448,0.308
"P43","Mala",0.068,0.174,0.161,0.267,0.145
"P43","Muy mala",0.045,0.707,0.634,0.195,0.345
"P43","No sabe",0.002,0.013,0.022,0,0.06
"P44","Muy buena",0.035,0.046,0.41,0.008,0.027
"P44","Buena",0.064,0.121,0.248,0.03,0.048
"P44","Ni buena ni mala",0.083,0.362,0.167,0.16,0.185
"P44","Mala",0.154,0.182,0.065,0.051,0.213
"P44","Muy mala",0.637,0.273,0.097,0.751,0.44
"P44","No sabe",0.027,0.016,0.013,0,0.087
"P45","Muy buena",0.02,0.367,0.09,0.024,0.064
"P45","Buena",0.044,0.363,0.167,0.023,0.07
"P45","Ni buena ni mala",0.083,0.172,0.246,0.091,0.204
"P45","Mala",0.158,0.044,0.193,0.104,0.161
"P45","Muy mala",0.684,0.05,0.285,0.751,0.469
"P45","No sabe",0.011,0.004,0.019,0.007,0.032
"P46","Muy buena",0.137,0.057,0.014,0.017,0.067
"P46","Buena",0.432,0.056,0.059,0.155,0.161
"P46","Ni buena ni mala",0.255,0.082,0.119,0.381,0.277
"P46","Mala",0.076,0.13,0.102,0.127,0.145
"P46","Muy mala",0.088,0.673,0.679,0.283,0.293
"P46","No sabe",0.012,0.002,0.027,0.037,0.057
"P47","Muy buena",0.029,0.059,0.032,0.018,0.037
