"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.096,0.086,0.105,0.082,0.088,0.079,0.148,0.131,0.09,0.064,0.098,0.091,0.156,0.072,0.037,6
"Buena",0.158,0.152,0.163,0.131,0.168,0.161,0.151,0.166,0.144,0.169,0.169,0.135,0.298,0.063,0.094,6
"Ni buena ni mala",0.174,0.166,0.181,0.187,0.179,0.16,0.173,0.176,0.204,0.126,0.161,0.2,0.326,0.058,0.132,6
"Mala",0.099,0.111,0.089,0.112,0.099,0.082,0.114,0.112,0.087,0.104,0.095,0.108,0.091,0.105,0.152,6
"Muy mala",0.466,0.479,0.454,0.488,0.455,0.514,0.405,0.404,0.47,0.531,0.47,0.458,0.119,0.701,0.578,6
"No sabe",0.007,0.006,0.008,0,0.011,0.004,0.009,0.011,0.005,0.006,0.007,0.008,0.01,0.001,0.007,6
"Positiva",0.254,0.238,0.268,0.213,0.256,0.24,0.299,0.297,0.234,0.233,0.267,0.226,0.454,0.135,0.131,4
"Neutra",0.174,0.166,0.181,0.187,0.179,0.16,0.173,0.176,0.204,0.126,0.161,0.2,0.326,0.058,0.132,4
"Negativa",0.565,0.59,0.543,0.6,0.554,0.596,0.519,0.516,0.557,0.635,0.565,0.566,0.21,0.806,0.73,4
"No sabe",0.007,0.006,0.008,0,0.011,0.004,0.009,0.011,0.005,0.006,0.007,0.008,0.01,0.001,0.007,4
