"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P04","Tengo trabajo estable",0.338,0.51,0.48,0.516
"P04","Realizo changas o trabajos de vez en cuando",0.395,0.163,0.217,0.14
"P04","No tengo trabajo",0.15,0.116,0.165,0.143
"P04","Soy jubilado o pensionado",0.117,0.211,0.138,0.201
"P05","1",0.295,0.32,0.139,0.181
"P05","2",0.066,0.104,0.007,0.06
"P05","3",0.015,0.03,0.044,0.009
"P05","4",0.055,0.065,0.062,0.038
"P05","5",0.099,0.14,0.232,0.12
"P05","6",0.027,0.044,0.031,0.079
"P05","7",0.122,0.09,0.103,0.157
"P05","8",0.057,0.057,0.082,0.101
"P05","9",0.264,0.15,0.3,0.255
"P06","1",0.446,0.361,0.376,0.505
"P06","2",0.043,0.095,0.027,0.074
"P06","3",0.025,0.076,0.062,0.084
"P06","4",0.067,0.063,0.043,0.038
"P06","5",0.185,0.131,0.278,0.137
"P06","6",0,0.009,0.029,0.058
"P06","7",0.018,0.033,0.101,0.02
"P06","8",0.016,0.056,0.029,0.009
"P06","9",0.2,0.176,0.055,0.075
"P07","1",0.518,0.516,0.51,0.742
"P07","2",0.051,0.083,0.007,0.032
"P07","3",0.012,0.051,0.075,0.039
"P07","4",0,0.033,0.046,0.012
"P07","5",0.058,0.065,0.094,0.052
"P07","6",0.026,0,0,0.011
"P07","7",0.007,0.004,0.028,0.006
"P07","8",0.048,0.02,0.027,0.006
"P07","9",0.28,0.228,0.213,0.1
"P11","A Alberto Fernández",0.737,0.105,0.023,0.044
"P11","A Sergio Massa",0.077,0.501,0.031,0.007
"P11","A algún candidato del peronismo",0.028,0.034,0.581,0.013
"P11","A Cristina Fernández de Kirchner",0.158,0.36,0.365,0.936
"P14","Lo votaría",0.192,0.024,0.045,0.018
"P14","Puede que lo vote",0.058,0.093,0.107,0.011
"P14","Nunca lo votaría",0.707,0.759,0.811,0.944
"P14","No sabe",0.043,0.124,0.037,0.027
"P15","Lo votaría",0.302,0.575,0.119,0.134
"P15","Puede que lo vote",0.325,0.243,0.391,0.485
"P15","Nunca lo votaría",0.324,0.145,0.415,0.271
"P15","No sabe",0.049,0.037,0.075,0.11
"P16","Lo votaría",0.707,0.264,0.093,0.177
"P16","Puede que lo vote",0.208,0.553,0.457,0.461
"P16","Nunca lo votaría",0.05,0.104,0.363,0.231
"P16","No sabe",0.035,0.079,0.087,0.131
"P17","La votaría",0.712,0.671,0.526,0.882
"P17","Puede que la vote",0.183,0.192,0.194,0.074
"P17","Nunca la votaría",0.069,0.101,0.236,0.022
