"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P04","Tengo trabajo estable",0.42,0.331,0.468
"P04","Realizo changas o trabajos de vez en cuando",0.335,0.287,0.141
"P04","No tengo trabajo",0.088,0.135,0.145
"P04","Soy jubilado o pensionado",0.157,0.247,0.246
"P05","1",0.403,0.342,0.428
"P05","2",0.062,0.118,0.066
"P05","3",0.014,0.09,0.06
"P05","4",0.057,0.096,0.105
"P05","5",0.208,0.186,0.176
"P05","6",0.05,0.043,0.042
"P05","7",0.043,0.017,0.034
"P05","8",0.071,0.044,0.018
"P05","9",0.092,0.064,0.071
"P06","1",0.237,0.138,0.203
"P06","2",0.023,0.046,0.038
"P06","3",0.038,0.015,0.029
"P06","4",0.025,0.059,0.039
"P06","5",0.1,0.183,0.203
"P06","6",0.064,0.043,0.052
"P06","7",0.074,0.082,0.087
"P06","8",0.046,0.107,0.082
"P06","9",0.393,0.327,0.267
"P07","1",0.423,0.241,0.218
"P07","2",0.025,0.054,0.053
"P07","3",0.052,0.026,0.056
"P07","4",0.007,0.008,0.035
"P07","5",0.118,0.116,0.127
"P07","6",0.011,0.037,0.025
"P07","7",0.029,0.059,0.023
"P07","8",0,0.045,0.069
"P07","9",0.335,0.414,0.394
"P12","A Horacio Rodriguez Larreta",0.339,0.228,0.185
"P12","A Mauricio Macri",0.268,0.352,0.297
"P12","A Patricia Bullrich",0.316,0.327,0.357
"P12","A Facundo Manes",0.046,0.075,0.088
"P12","A Gerardo Morales",0.031,0.018,0.073
"P14","Lo votaría",0.526,0.519,0.438
"P14","Puede que lo vote",0.281,0.36,0.189
"P14","Nunca lo votaría",0.121,0.083,0.304
"P14","No sabe",0.072,0.038,0.069
"P15","Lo votaría",0.088,0.064,0.087
"P15","Puede que lo vote",0.122,0.056,0.065
"P15","Nunca lo votaría",0.754,0.839,0.809
"P15","No sabe",0.036,0.041,0.039
"P16","Lo votaría",0.041,0.047,0.08
"P16","Puede que lo vote",0.066,0.014,0.026
"P16","Nunca lo votaría",0.849,0.928,0.886
"P16","No sabe",0.044,0.011,0.008
"P17","La votaría",0.059,0.034,0.088
"P17","Puede que la vote",0.005,0.025,0.011
"P17","Nunca la votaría",0.9,0.929,0.897
"P17","No sabe",0.036,0.012,0.004
"P18","Lo votaría",0.403,0.297,0.261
"P18","Puede que lo vote",0.259,0.389,0.43
"P18","Nunca lo votaría",0.294,0.248,0.25
"P18","No sabe",0.044,0.066,0.059
"P19","Lo votaría",0.126,0.085,0.147
"P19","Puede que lo vote",0.306,0.407,0.331
"P19","Nunca lo votaría",0.438,0.448,0.479
"P19","No sabe",0.13,0.06,0.043
"P20","La votaría",0.549,0.547,0.478
"P20","Puede que la vote",0.239,0.235,0.259
"P20","Nunca la votaría",0.148,0.179,0.224
"P20","No sabe",0.064,0.039,0.039
"P21","Lo votaría",0.418,0.14,0.063
"P21","Puede que lo vote",0.305,0.511,0.104
"P21","Nunca lo votaría",0.192,0.239,0.775
"P21","No sabe",0.085,0.11,0.058
"P22","La votaría",0.305,0.235,0.253
"P22","Puede que la vote",0.29,0.467,0.347
"P22","Nunca la votaría",0.319,0.198,0.309
"P22","No sabe",0.086,0.1,0.091
"P23","Lo votaría",0.021,0.046,0.028
"P23","Puede que lo vote",0.036,0.121,0.078
"P23","Nunca lo votaría",0.788,0.771,0.823
"P23","No sabe",0.155,0.062,0.071
"P24","Lo votaría",0.069,0.067,0.08
"P24","Puede que lo vote",0.174,0.291,0.303
"P24","Nunca lo votaría",0.565,0.513,0.538
"P24","No sabe",0.192,0.129,0.079
"P25","Mauricio Macri por Juntos por el Cambio",0.261,0.352,0.306
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.288,0.152,0.146
"P25","Patricia Bullrich por Juntos por el Cambio",0.22,0.327,0.306
"P25","Facundo Manes por Juntos por el Cambio",0.058,0.05,0.083
"P25","Alberto Fernández por el Frente de Todos",0.016,0.025,0.046
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.008,0.021,0.052
"P25","Javier Milei por los liberales libertarios",0.121,0.005,0.012
"P25","Nicolás del Caño por la izquierda",0,0.004,0
"P25","Otros candidatos",0.018,0.042,0.009
"P25","Aún no lo tengo decidido",0.01,0.022,0.04
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.275,0.263,0.239
"P26","Patricia Bullrich por Juntos por el Cambio",0.516,0.534,0.493
"P26","Facundo Manes por Juntos por el Cambio",0.044,0.064,0.125
"P26","Wado de Pedro por el Frente de Todos",0.004,0.004,0.04
"P26","Sergio Massa por el Frente de Todos",0.012,0.005,0.044
"P26","Javier Milei por los liberales libertarios",0.127,0.037,0.018
"P26","Nicolás del Caño por la izquierda",0.007,0.003,0.004
"P26","Otros candidatos",0,0.02,0.005
"P26","Aún no lo tengo decidido",0.015,0.07,0.032
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.025,0.032,0.091
"P27","Mauricio Macri por Juntos por el Cambio",0.522,0.683,0.659
"P27","Javier Milei por los liberales libertarios",0.313,0.065,0.029
"P27","Nicolás del Caño por la izquierda",0.003,0.004,0.004
"P27","Otro candidato",0.088,0.157,0.159
"P27","Aún no lo tengo decidido",0.049,0.059,0.058
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.466,0.561,0.62
"P29","Wado de Pedro por el Frente de Todos",0.115,0.127,0.115
"P29","Javier Milei por los liberales libertarios",0.319,0.088,0.028
"P29","Nicolás del Caño por la izquierda",0.002,0.004,0.004
"P29","Otro candidato",0.069,0.136,0.144
"P29","Aún no lo tengo decidido",0.029,0.084,0.089
"P31","Sergio Massa por el Frente de Todos",0.044,0.056,0.095
"P31","Patricia Bullrich por Juntos por el Cambio",0.516,0.772,0.73
"P31","Javier Milei por los liberales libertarios",0.333,0.072,0.021
"P31","Nicolás del Caño por la izquierda",0.002,0.008,0.002
"P31","Otro candidato",0.064,0.057,0.096
"P31","Aún no lo tengo decidido",0.041,0.035,0.056
"P33","Sergio Massa por el Frente de Todos",0.134,0.051,0.115
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.471,0.621,0.677
"P33","Javier Milei por los liberales libertarios",0.272,0.131,0.025
"P33","Nicolás del Caño por la izquierda",0,0.018,0.002
"P33","Otro candidato",0.074,0.103,0.141
"P33","Aún no lo tengo decidido",0.049,0.076,0.04
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.091,0.083,0.084
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.466,0.622,0.699
"P35","Javier Milei por los liberales libertarios",0.332,0.143,0.036
"P35","Nicolás del Caño por la izquierda",0,0,0.001
"P35","Otro candidato",0.097,0.077,0.127
"P35","Aún no lo tengo decidido",0.014,0.075,0.053
"P36","Sergio Massa por el Frente de Todos",0.063,0.014,0.082
"P36","Mauricio Macri por Juntos por el Cambio",0.54,0.756,0.694
"P36","Javier Milei por los liberales libertarios",0.318,0.071,0.034
"P36","Nicolás del Caño por la izquierda",0.003,0.007,0
"P36","Otro candidato",0.048,0.078,0.142
"P36","Aún no lo tengo decidido",0.028,0.074,0.048
