"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P04","Tengo trabajo estable",0.412,0.458,0.495,0.511
"P04","Realizo changas o trabajos de vez en cuando",0.22,0.148,0.212,0.14
"P04","No tengo trabajo",0.12,0.18,0.162,0.22
"P04","Soy jubilado o pensionado",0.248,0.214,0.131,0.129
"P05","1",0.273,0.286,0.284,0.449
"P05","2",0.09,0.075,0.087,0.071
"P05","3",0.041,0.037,0.063,0.027
"P05","4",0.093,0.096,0.087,0.075
"P05","5",0.198,0.206,0.197,0.141
"P05","6",0.047,0.037,0.06,0.031
"P05","7",0.072,0.075,0.087,0.092
"P05","8",0.056,0.054,0.032,0.029
"P05","9",0.13,0.134,0.103,0.085
"P06","1",0.287,0.295,0.169,0.268
"P06","2",0.053,0.034,0.044,0.093
"P06","3",0.032,0.059,0.061,0.01
"P06","4",0.046,0.025,0.071,0.008
"P06","5",0.204,0.195,0.218,0.14
"P06","6",0.063,0.037,0.049,0.057
"P06","7",0.068,0.047,0.061,0.042
"P06","8",0.048,0.099,0.079,0.014
"P06","9",0.199,0.209,0.248,0.368
"P07","1",0.397,0.351,0.275,0.403
"P07","2",0.037,0.032,0.038,0
"P07","3",0.02,0.049,0.072,0.037
"P07","4",0.021,0.016,0.024,0.009
"P07","5",0.079,0.137,0.09,0.104
"P07","6",0.023,0.016,0.036,0.021
"P07","7",0.05,0.025,0.034,0.018
"P07","8",0.041,0.056,0.049,0.024
"P07","9",0.332,0.318,0.382,0.384
"P09","Del Frente de Todos y el peronismo",0.328,0.35,0.31,0.225
"P09","De Juntos por el cambio",0.414,0.359,0.369,0.306
"P09","De los Liberales libertarios",0.148,0.146,0.177,0.242
"P09","De la Izquierda",0.016,0.03,0.01,0.027
"P09","No sabe",0.094,0.115,0.134,0.2
"P10","A Alberto Fernández",0.094,0.075,0.17,0.182
"P10","A Sergio Massa",0.306,0.27,0.28,0.33
"P10","A algún candidato del peronismo",0.109,0.17,0.081,0.186
"P10","A algún candidato del kirchnerismo",0.491,0.485,0.469,0.302
"P11","A Alberto Fernández",0.09,0.067,0.198,0.228
"P11","A Sergio Massa",0.143,0.164,0.146,0.258
"P11","A algún candidato del peronismo",0.093,0.099,0.092,0.027
"P11","A Cristina Fernández de Kirchner",0.674,0.67,0.564,0.487
"P12","A Horacio Rodriguez Larreta",0.215,0.181,0.214,0.167
"P12","A Mauricio Macri",0.344,0.324,0.33,0.225
"P12","A Patricia Bullrich",0.335,0.4,0.386,0.601
"P12","A Facundo Manes",0.064,0.092,0.039,0.007
"P12","A Gerardo Morales",0.042,0.003,0.031,0
"P13","Seguro lo votaria",0.186,0.122,0.165,0.405
"P13","Quizás lo votaría",0.313,0.355,0.336,0.4
"P13","Nunca lo votaría",0.501,0.523,0.499,0.195
"P14","Lo votaría",0.285,0.224,0.223,0.162
"P14","Puede que lo vote",0.15,0.195,0.254,0.293
"P14","Nunca lo votaría",0.49,0.505,0.429,0.478
"P14","No sabe",0.075,0.076,0.094,0.067
"P15","Lo votaría",0.166,0.11,0.083,0.099
"P15","Puede que lo vote",0.174,0.21,0.234,0.169
"P15","Nunca lo votaría",0.612,0.628,0.633,0.649
"P15","No sabe",0.048,0.052,0.05,0.083
"P16","Lo votaría",0.124,0.069,0.097,0.057
"P16","Puede que lo vote",0.175,0.206,0.153,0.229
"P16","Nunca lo votaría",0.666,0.672,0.689,0.672
"P16","No sabe",0.035,0.053,0.061,0.042
"P17","La votaría",0.332,0.283,0.204,0.158
"P17","Puede que la vote",0.04,0.064,0.108,0.083
"P17","Nunca la votaría",0.612,0.612,0.662,0.705
"P17","No sabe",0.016,0.041,0.026,0.054
"P18","Lo votaría",0.193,0.154,0.144,0.109
"P18","Puede que lo vote",0.243,0.297,0.265,0.306
"P18","Nunca lo votaría",0.524,0.495,0.549,0.492
"P18","No sabe",0.04,0.054,0.042,0.093
"P19","Lo votaría",0.064,0.06,0.089,0.097
"P19","Puede que lo vote",0.278,0.282,0.274,0.161
"P19","Nunca lo votaría",0.544,0.566,0.551,0.551
"P19","No sabe",0.114,0.092,0.086,0.191
"P20","La votaría",0.29,0.271,0.324,0.342
"P20","Puede que la vote",0.187,0.193,0.198,0.159
"P20","Nunca la votaría",0.471,0.484,0.433,0.385
"P20","No sabe",0.052,0.052,0.045,0.114
"P21","Lo votaría",0.197,0.18,0.223,0.273
"P21","Puede que lo vote",0.13,0.178,0.202,0.231
"P21","Nunca lo votaría",0.615,0.576,0.512,0.376
"P21","No sabe",0.058,0.066,0.063,0.12
"P22","La votaría",0.163,0.109,0.123,0.143
"P22","Puede que la vote",0.22,0.225,0.258,0.234
"P22","Nunca la votaría",0.545,0.591,0.558,0.488
"P22","No sabe",0.072,0.075,0.061,0.135
"P23","Lo votaría",0.187,0.139,0.109,0.179
"P23","Puede que lo vote",0.156,0.155,0.17,0.091
"P23","Nunca lo votaría",0.541,0.623,0.631,0.627
"P23","No sabe",0.116,0.083,0.09,0.103
"P24","Lo votaría",0.069,0.047,0.03,0.091
"P24","Puede que lo vote",0.202,0.179,0.238,0.099
"P24","Nunca lo votaría",0.594,0.644,0.599,0.599
"P24","No sabe",0.135,0.13,0.133,0.211
"P25","Mauricio Macri por Juntos por el Cambio",0.211,0.131,0.144,0.035
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.088,0.083,0.103,0.204
"P25","Patricia Bullrich por Juntos por el Cambio",0.108,0.192,0.196,0.234
"P25","Facundo Manes por Juntos por el Cambio",0.047,0.046,0.042,0.051
"P25","Alberto Fernández por el Frente de Todos",0.041,0.039,0.017,0.03
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.324,0.293,0.241,0.217
"P25","Javier Milei por los liberales libertarios",0.107,0.102,0.162,0.162
"P25","Nicolás del Caño por la izquierda",0.004,0.015,0.012,0.027
