"var","categoria","1","2","3","4","5","6","7","8","9"
"P04","Tengo trabajo estable",0.468,0.285,0.337,0.265,0.427,0.536,0.575,0.422,0.371
"P04","Realizo changas o trabajos de vez en cuando",0.187,0.38,0.131,0.223,0.232,0.16,0.111,0.158,0.206
"P04","No tengo trabajo",0.158,0.159,0.4,0.05,0.177,0.069,0.145,0.24,0.216
"P04","Soy jubilado o pensionado",0.187,0.176,0.132,0.462,0.164,0.235,0.169,0.18,0.207
"P06","1",0.334,0.189,0.153,0.146,0.156,0.147,0.188,0.331,0.461
"P06","2",0.033,0.266,0.019,0.034,0.037,0.04,0.159,0.072,0.023
"P06","3",0.027,0.009,0.09,0.032,0.018,0.097,0.144,0.04,0.007
"P06","4",0.017,0.039,0.005,0.186,0.05,0.127,0.04,0.056,0.001
"P06","5",0.091,0.126,0.207,0.142,0.452,0.243,0.157,0.128,0.088
"P06","6",0.008,0.027,0.032,0.063,0.044,0.165,0.022,0.072,0.003
"P06","7",0.034,0.018,0.105,0.168,0.078,0.084,0.137,0.09,0.024
"P06","8",0.035,0.103,0.202,0.071,0.035,0.079,0.068,0.136,0.011
"P06","9",0.421,0.223,0.187,0.158,0.13,0.018,0.085,0.075,0.382
"P07","1",0.304,0.235,0.271,0.299,0.292,0.527,0.567,0.589,0.566
"P07","2",0.025,0.121,0.013,0.063,0.032,0.044,0.038,0.046,0.003
"P07","3",0.016,0.021,0.11,0.017,0.033,0.059,0.039,0.036,0.003
"P07","4",0.019,0.008,0.022,0.098,0.018,0.054,0.021,0.004,0.001
"P07","5",0.094,0.154,0.177,0.093,0.175,0.122,0.052,0.04,0.06
"P07","6",0.01,0.025,0.012,0.056,0.037,0.025,0.02,0,0.005
"P07","7",0.029,0.055,0.064,0.056,0.041,0.036,0.057,0.05,0.009
"P07","8",0.023,0.076,0.064,0.079,0.049,0.019,0.023,0.013,0.005
"P07","9",0.48,0.305,0.267,0.239,0.323,0.114,0.183,0.222,0.348
"P09","Del Frente de Todos y el peronismo",0.261,0.3,0.139,0.19,0.255,0.468,0.579,0.585,0.502
"P09","De Juntos por el cambio",0.362,0.306,0.469,0.412,0.254,0.307,0.163,0.078,0.202
"P09","De los Liberales libertarios",0.206,0.298,0.259,0.183,0.242,0.037,0.039,0.095,0.086
"P09","De la Izquierda",0.039,0.014,0.031,0.013,0.015,0.033,0.091,0.037,0.086
"P09","No sabe",0.132,0.082,0.102,0.202,0.234,0.155,0.128,0.205,0.124
"P10","A Alberto Fernández",0.323,0.212,0.077,0.124,0.173,0.178,0.077,0.023,0.19
"P10","A Sergio Massa",0.306,0.318,0.177,0.296,0.301,0.145,0.133,0.196,0.133
"P10","A algún candidato del peronismo",0.163,0.154,0.533,0.323,0.158,0.036,0.088,0.044,0.107
"P10","A algún candidato del kirchnerismo",0.208,0.316,0.213,0.257,0.368,0.641,0.702,0.737,0.57
"P11","A Alberto Fernández",0.173,0.13,0.026,0.1,0.107,0.07,0.077,0.098,0.123
"P11","A Sergio Massa",0.207,0.274,0.03,0.228,0.233,0.198,0.052,0.064,0.093
"P11","A algún candidato del peronismo",0.165,0.117,0.478,0.332,0.095,0.063,0.049,0.029,0.08
"P11","A Cristina Fernández de Kirchner",0.455,0.479,0.466,0.34,0.565,0.669,0.822,0.809,0.704
"P12","A Horacio Rodriguez Larreta",0.197,0.189,0.187,0.357,0.177,0.064,0.298,0.521,0.322
"P12","A Mauricio Macri",0.366,0.45,0.22,0.302,0.317,0.26,0.15,0.193,0.308
"P12","A Patricia Bullrich",0.381,0.361,0.501,0.202,0.378,0.388,0.426,0.152,0.173
"P12","A Facundo Manes",0.042,0,0.087,0.084,0.074,0.12,0.126,0.134,0.193
"P12","A Gerardo Morales",0.014,0,0.005,0.055,0.054,0.168,0,0,0.004
