"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.429,0.407,0.459,0.571,0.369
"P04","Realizo changas o trabajos de vez en cuando",0.182,0.143,0.223,0.076,0.205
"P04","No tengo trabajo",0.166,0.166,0.182,0.208,0.189
"P04","Soy jubilado o pensionado",0.223,0.284,0.136,0.145,0.237
"P05","1",0.176,0.325,0.369,0.153,0.228
"P05","2",0.055,0.056,0.107,0.017,0.041
"P05","3",0.021,0.103,0.079,0.015,0.045
"P05","4",0.033,0.099,0.059,0.012,0.055
"P05","5",0.182,0.226,0.231,0.094,0.27
"P05","6",0.085,0.057,0.006,0.121,0.062
"P05","7",0.123,0.033,0.025,0.156,0.108
"P05","8",0.09,0.011,0.029,0.08,0.031
"P05","9",0.235,0.09,0.095,0.352,0.16
"P06","1",0.506,0.175,0.084,0.287,0.276
"P06","2",0.074,0.041,0.033,0.085,0.058
"P06","3",0.064,0.03,0.004,0.113,0.059
"P06","4",0.043,0.047,0.031,0.041,0.037
"P06","5",0.169,0.212,0.199,0.204,0.225
"P06","6",0.022,0.04,0.026,0.004,0.037
"P06","7",0.023,0.124,0.103,0.061,0.038
"P06","8",0.026,0.071,0.085,0.018,0.033
"P06","9",0.073,0.26,0.435,0.187,0.237
"P07","1",0.655,0.247,0.179,0.715,0.341
"P07","2",0.031,0.044,0.021,0.005,0.014
"P07","3",0.035,0.039,0.016,0.05,0.028
"P07","4",0.018,0.028,0.015,0.004,0.02
"P07","5",0.08,0.114,0.124,0.049,0.154
"P07","6",0.004,0.033,0.043,0,0.024
"P07","7",0.007,0.058,0.08,0.034,0.039
"P07","8",0.007,0.055,0.053,0,0.042
"P07","9",0.163,0.382,0.469,0.143,0.338
"P09","Del Frente de Todos y el peronismo",0.881,0.042,0.035,0.422,0.341
"P09","De Juntos por el cambio",0.023,0.847,0.187,0.035,0.17
"P09","De los Liberales libertarios",0.031,0.033,0.684,0,0.094
"P09","De la Izquierda",0.014,0.003,0.025,0.44,0.046
"P09","No sabe",0.051,0.075,0.069,0.103,0.349
"P10","A Alberto Fernández",0.172,0.046,0.063,0.001,0.092
"P10","A Sergio Massa",0.252,0.042,0.456,0.122,0.12
"P10","A algún candidato del peronismo",0.09,0.871,0.45,0.093,0.195
"P10","A algún candidato del kirchnerismo",0.486,0.041,0.031,0.784,0.593
"P11","A Alberto Fernández",0.112,0.003,0.259,0,0.038
"P11","A Sergio Massa",0.159,0.273,0.165,0.078,0.128
"P11","A algún candidato del peronismo",0.076,0.639,0.263,0.093,0.137
"P11","A Cristina Fernández de Kirchner",0.653,0.085,0.313,0.829,0.697
"P12","A Horacio Rodriguez Larreta",0.325,0.268,0.025,0,0.02
"P12","A Mauricio Macri",0.09,0.31,0.304,0.215,0.537
"P12","A Patricia Bullrich",0.082,0.354,0.622,0,0.358
"P12","A Facundo Manes",0.503,0.035,0.049,0.785,0.05
"P12","A Gerardo Morales",0,0.033,0,0,0.035
"P13","Seguro lo votaria",0.118,0.078,0.215,0,0.085
"P13","Quizás lo votaría",0.169,0.338,0.549,0,0.406
"P13","Nunca lo votaría",0.713,0.584,0.236,1,0.509
"P14","Lo votaría",0.028,0.509,0.194,0.01,0.146
"P14","Puede que lo vote",0.04,0.258,0.346,0.017,0.124
"P14","Nunca lo votaría",0.868,0.167,0.353,0.881,0.574
"P14","No sabe",0.064,0.066,0.107,0.092,0.156
"P15","Lo votaría",0.338,0.101,0.067,0.038,0.073
"P15","Puede que lo vote",0.38,0.053,0.049,0.408,0.261
"P15","Nunca lo votaría",0.173,0.823,0.866,0.453,0.532
"P15","No sabe",0.109,0.023,0.018,0.101,0.134
"P16","Lo votaría",0.319,0.004,0.014,0.007,0.006
"P16","Puede que lo vote",0.519,0.027,0.033,0.352,0.142
"P16","Nunca lo votaría",0.056,0.96,0.941,0.567,0.693
"P16","No sabe",0.106,0.009,0.012,0.074,0.159
"P17","La votaría",0.848,0.005,0.034,0.511,0.291
"P17","Puede que la vote",0.091,0.021,0.006,0.121,0.062
"P17","Nunca la votaría",0.049,0.97,0.95,0.315,0.592
"P17","No sabe",0.012,0.004,0.01,0.053,0.055
"P18","Lo votaría",0.071,0.368,0.053,0.014,0.035
"P18","Puede que lo vote",0.026,0.457,0.326,0.065,0.177
"P18","Nunca lo votaría",0.843,0.139,0.593,0.886,0.648
"P18","No sabe",0.06,0.036,0.028,0.035,0.14
"P19","Lo votaría",0.025,0.209,0.043,0.067,0.068
"P19","Puede que lo vote",0.08,0.337,0.253,0.205,0.185
"P19","Nunca lo votaría",0.735,0.39,0.656,0.601,0.553
"P19","No sabe",0.16,0.064,0.048,0.127,0.194
"P20","La votaría",0.018,0.572,0.352,0.073,0.16
"P20","Puede que la vote",0.032,0.266,0.354,0.055,0.181
"P20","Nunca la votaría",0.91,0.129,0.278,0.872,0.564
"P20","No sabe",0.04,0.033,0.016,0,0.095
"P21","Lo votaría",0.012,0.089,0.664,0.041,0.051
"P21","Puede que lo vote",0.034,0.318,0.261,0.023,0.134
"P21","Nunca lo votaría",0.915,0.548,0.052,0.897,0.665
"P21","No sabe",0.039,0.045,0.023,0.039,0.15
"P22","La votaría",0.025,0.298,0.145,0.013,0.053
"P22","Puede que la vote",0.022,0.378,0.327,0.051,0.149
"P22","Nunca la votaría",0.889,0.24,0.493,0.873,0.639
"P22","No sabe",0.064,0.084,0.035,0.063,0.159
"P23","Mauricio Macri por Juntos por el Cambio",0.004,0.244,0.078,0.01,0.09
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.198,0.002,0.004,0.01
"P23","Patricia Bullrich por Juntos por el Cambio",0.016,0.394,0.263,0.031,0.126
"P23","María Eugenia Vidal por Juntos por el Cambio",0.005,0.076,0.008,0,0.051
"P23","Facundo Manes por Juntos por el Cambio",0.009,0.044,0.033,0.108,0.078
"P23","Alberto Fernández por el Frente de Todos",0.391,0.004,0.001,0.01,0.086
"P23","Sergio Massa por el Frente de Todos",0.464,0.016,0.032,0.07,0.135
"P23","Javier Milei por los liberales libertarios",0.002,0.001,0.578,0,0.047
"P23","Al candidato del Frente de Izquierda",0.013,0,0.002,0.699,0.02
"P23","No sabe",0.088,0.023,0.003,0.068,0.357
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.327,0.021,0.003,0.028
"P24","Mauricio Macri por Juntos por el Cambio",0.004,0.516,0.184,0.028,0.149
"P24","Alberto Fernández por el Frente de Todos",0.371,0.027,0.018,0.051,0.057
"P24","Sergio Massa por el Frente de Todos",0.466,0.025,0.041,0.098,0.147
"P24","Javier Milei por los liberales libertarios",0.014,0.015,0.702,0.039,0.069
"P24","Al candidato del Frente de Izquierda",0.025,0.021,0.026,0.697,0.03
"P24","No sabe",0.112,0.069,0.008,0.084,0.52
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.001,0.323,0.013,0.003,0.026
"P25","Patricia Bullrich por Juntos por el Cambio",0.026,0.599,0.281,0.067,0.174
"P25","Alberto Fernández por el Frente de Todos",0.399,0.01,0.005,0.055,0.05
"P25","Sergio Massa por el Frente de Todos",0.498,0.022,0.03,0.132,0.186
"P25","Javier Milei por los liberales libertarios",0.003,0.002,0.662,0,0.061
"P25","Al candidato del Frente de Izquierda",0.005,0.018,0.008,0.704,0.047
"P25","No sabe",0.068,0.026,0.001,0.039,0.456
"P26","Sergio Massa por el Frente de Todos",0.793,0.04,0.028,0.138,0.194
"P26","Mauricio Macri por Juntos por el Cambio",0.033,0.805,0.163,0.04,0.171
"P26","Javier Milei por los liberales libertarios",0.016,0.037,0.79,0,0.042
"P26","Al candidato del Frente de Izquierda",0.02,0.005,0.002,0.771,0.01
"P26","No sabe",0.138,0.113,0.017,0.051,0.583
"P27","Alberto Fernández por el Frente de Todos",0.92,0.027,0.01,0.087,0.088
"P27","Mauricio Macri por Juntos por el Cambio",0.013,0.833,0.194,0.041,0.182
"P27","Javier Milei por los liberales libertarios",0.003,0.035,0.789,0,0.015
"P27","Al candidato del Frente de Izquierda",0.01,0.01,0.002,0.823,0.018
"P27","No sabe",0.054,0.095,0.005,0.049,0.697
"P29","Sergio Massa por el Frente de Todos",0.853,0.023,0.002,0.155,0.162
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.927,0.045,0.029,0.062
"P29","Javier Milei por los liberales libertarios",0.005,0.02,0.942,0.019,0.022
"P29","Al candidato del Frente de Izquierda",0.026,0.001,0.002,0.791,0.019
"P29","No sabe",0.102,0.029,0.009,0.006,0.735
"P30","Sergio Massa por el Frente de Todos",0.766,0.052,0.004,0.141,0.165
"P30","Patricia Bullrich por Juntos por el Cambio",0.078,0.811,0.311,0.048,0.214
"P30","Javier Milei por los liberales libertarios",0.021,0.04,0.665,0,0.035
"P30","Al candidato del Frente de Izquierda",0.019,0.005,0.003,0.746,0.008
"P30","No sabe",0.116,0.092,0.017,0.065,0.578
"P32","Alberto Fernández por el Frente de Todos",0.834,0.072,0.035,0.029,0.089
"P32","Patricia Bullrich por Juntos por el Cambio",0.074,0.785,0.286,0.051,0.202
"P32","Javier Milei por los liberales libertarios",0.002,0.054,0.673,0,0.051
"P32","Al candidato del Frente de Izquierda",0.023,0.006,0,0.91,0.027
"P32","No sabe",0.067,0.083,0.006,0.01,0.631
"P34","Sergio Massa por el Frente de Todos",0.867,0.039,0.067,0.6,0.327
"P34","Mauricio Macri por Juntos por el Cambio",0.03,0.879,0.612,0.067,0.191
"P34","No sabe",0.103,0.082,0.321,0.333,0.482
"P35","Sergio Massa",0.893,0.03,0.06,0.615,0.331
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.931,0.484,0.041,0.159
"P35","No sabe",0.077,0.039,0.456,0.344,0.51
"P36","Alberto Fernández por el Frente de Todos",0.966,0.009,0.042,0.608,0.229
"P36","Mauricio Macri por Juntos por el Cambio",0.015,0.883,0.72,0.052,0.212
"P36","No sabe",0.019,0.108,0.238,0.34,0.559
"P37","Alberto Fernández",0.953,0.008,0.048,0.655,0.22
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.952,0.552,0.063,0.146
"P37","No sabe",0.036,0.04,0.4,0.282,0.634
"P38","Sergio Massa por el Frente de Todos",0.912,0.027,0.064,0.645,0.325
"P38","Patricia Bullrich por Juntos por el Cambio",0.017,0.907,0.708,0.052,0.276
"P38","No sabe",0.071,0.066,0.228,0.303,0.399
"P39","Alberto Fernández por el Frente de Todos",0.97,0.016,0.04,0.615,0.261
"P39","Patricia Bullrich por Juntos por el Cambio",0.004,0.91,0.765,0.057,0.291
"P39","No sabe",0.026,0.074,0.195,0.328,0.448
"P40","Mauricio Macri por Juntos por el Cambio",0.116,0.764,0.203,0.132,0.183
"P40","Javier Milei por los liberales libertarios",0.049,0.142,0.707,0.038,0.125
"P40","No sabe",0.835,0.094,0.09,0.83,0.692
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.085,0.902,0.131,0.204,0.134
"P41","Javier Milei por los liberales libertarios",0.037,0.043,0.827,0.027,0.136
"P41","No sabe",0.878,0.055,0.042,0.769,0.73
"P42","Patricia Bullrich por Juntos por el Cambio",0.035,0.86,0.257,0.156,0.247
"P42","Javier Milei por los liberales libertarios",0.062,0.062,0.684,0.039,0.097
"P42","No sabe",0.903,0.078,0.059,0.805,0.656
"P43","Muy buena",0.141,0.094,0.034,0.135,0.037
"P43","Buena",0.426,0.018,0.077,0.09,0.113
"P43","Ni buena ni mala",0.353,0.015,0.01,0.468,0.327
"P43","Mala",0.059,0.079,0.069,0.227,0.127
"P43","Muy mala",0.021,0.778,0.809,0.08,0.386
"P43","No sabe",0,0.016,0.001,0,0.01
"P44","Muy buena",0.157,0.014,0.008,0,0.005
"P44","Buena",0.437,0.005,0.003,0.083,0.081
"P44","Ni buena ni mala",0.315,0.022,0.026,0.396,0.296
"P44","Mala",0.08,0.107,0.1,0.439,0.166
"P44","Muy mala",0.007,0.848,0.863,0.082,0.436
"P44","No sabe",0.004,0.004,0,0,0.016
"P45","Muy buena",0.694,0.008,0.016,0.434,0.314
"P45","Buena",0.173,0.006,0.008,0.121,0.071
"P45","Ni buena ni mala",0.059,0.011,0.019,0.204,0.08
"P45","Mala",0.03,0.042,0.031,0.12,0.054
"P45","Muy mala",0.03,0.926,0.926,0.121,0.437
"P45","No sabe",0.014,0.007,0,0,0.044
"P46","Muy buena",0.046,0.302,0.113,0.085,0.12
"P46","Buena",0.016,0.306,0.271,0.039,0.063
"P46","Ni buena ni mala",0.042,0.205,0.232,0.116,0.131
"P46","Mala",0.161,0.044,0.113,0.096,0.139
"P46","Muy mala",0.731,0.142,0.265,0.664,0.517
"P46","No sabe",0.004,0.001,0.006,0,0.03
"P47","Muy buena",0.008,0.313,0.06,0.054,0.016
"P47","Buena",0.006,0.46,0.242,0.029,0.106
"P47","Ni buena ni mala",0.095,0.191,0.283,0.182,0.29
"P47","Mala",0.243,0.015,0.151,0.257,0.168
"P47","Muy mala",0.643,0.014,0.259,0.468,0.397
"P47","No sabe",0.005,0.007,0.005,0.01,0.023
"P48","Muy buena",0.182,0.052,0.03,0.064,0.042
"P48","Buena",0.361,0.09,0.063,0.139,0.169
"P48","Ni buena ni mala",0.305,0.077,0.066,0.303,0.243
"P48","Mala",0.045,0.17,0.133,0.271,0.115
"P48","Muy mala",0.094,0.611,0.68,0.21,0.401
"P48","No sabe",0.013,0,0.028,0.013,0.03
"P49","Muy buena",0.012,0.465,0.363,0.039,0.148
"P49","Buena",0.057,0.259,0.243,0.026,0.146
"P49","Ni buena ni mala",0.057,0.123,0.2,0.052,0.155
"P49","Mala",0.104,0.051,0.051,0.144,0.073
"P49","Muy mala",0.767,0.085,0.129,0.71,0.45
"P49","No sabe",0.003,0.017,0.014,0.029,0.028
"P50","Muy buena",0.006,0.074,0.5,0,0.031
"P50","Buena",0.009,0.175,0.325,0.029,0.052
"P50","Ni buena ni mala",0.052,0.408,0.133,0.06,0.271
"P50","Mala",0.148,0.173,0.007,0.078,0.137
"P50","Muy mala",0.765,0.144,0.035,0.833,0.469
"P50","No sabe",0.02,0.026,0,0,0.04
"P51","Muy buena",0.004,0.303,0.125,0.013,0.054
"P51","Buena",0.008,0.368,0.272,0.088,0.123
"P51","Ni buena ni mala",0.024,0.212,0.261,0.095,0.208
"P51","Mala",0.128,0.075,0.108,0.193,0.106
"P51","Muy mala",0.82,0.039,0.232,0.6,0.491
"P51","No sabe",0.016,0.003,0.002,0.011,0.018
"P52","Muy buena",0.013,0.13,0.067,0.042,0.082
"P52","Buena",0.08,0.202,0.189,0.057,0.087
"P52","Ni buena ni mala",0.409,0.352,0.314,0.372,0.435
