"var","categoria","Alberto Fernández por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.446,0.383,0.469,0.563,0.395
"P04","Realizo changas o trabajos de vez en cuando",0.159,0.177,0.219,0.117,0.219
"P04","No tengo trabajo",0.143,0.144,0.218,0.171,0.204
"P04","Soy jubilado o pensionado",0.252,0.296,0.094,0.149,0.182
"P05","1",0.158,0.348,0.359,0.179,0.163
"P05","2",0.052,0.067,0.134,0.016,0.017
"P05","3",0.029,0.108,0.071,0.015,0.037
"P05","4",0.045,0.095,0.041,0.031,0.041
"P05","5",0.169,0.214,0.237,0.083,0.334
"P05","6",0.088,0.04,0.006,0.107,0.098
"P05","7",0.141,0.028,0.018,0.136,0.111
"P05","8",0.09,0.011,0.038,0.073,0.03
"P05","9",0.228,0.089,0.096,0.36,0.169
"P06","1",0.457,0.164,0.109,0.331,0.333
"P06","2",0.058,0.05,0.028,0.083,0.064
"P06","3",0.072,0.032,0.004,0.069,0.048
"P06","4",0.055,0.034,0.029,0.046,0.042
"P06","5",0.158,0.2,0.2,0.166,0.256
"P06","6",0.022,0.038,0.024,0,0.04
"P06","7",0.036,0.115,0.091,0.072,0.044
"P06","8",0.025,0.093,0.066,0.023,0.028
"P06","9",0.117,0.274,0.449,0.21,0.145
"P07","1",0.628,0.237,0.17,0.744,0.435
"P07","2",0.024,0.049,0.003,0.005,0.015
"P07","3",0.045,0.036,0.001,0.048,0.028
"P07","4",0.023,0.024,0.015,0.003,0.019
"P07","5",0.084,0.128,0.135,0.05,0.101
"P07","6",0.007,0.034,0.057,0,0.013
"P07","7",0.022,0.062,0.071,0.01,0.034
"P07","8",0.007,0.054,0.066,0,0.038
"P07","9",0.16,0.376,0.482,0.14,0.317
"P09","Del Frente de Todos y el peronismo",0.83,0.093,0.038,0.428,0.341
"P09","De Juntos por el cambio",0.093,0.72,0.112,0.055,0.162
"P09","De los Liberales libertarios",0.02,0.107,0.755,0,0.079
"P09","De la Izquierda",0.009,0.006,0.021,0.439,0.019
"P09","No sabe",0.048,0.074,0.074,0.078,0.399
"P10","A Alberto Fernández",0.162,0.174,0.227,0.001,0.054
"P10","A Sergio Massa",0.242,0.152,0.574,0.215,0.054
"P10","A algún candidato del peronismo",0.084,0.554,0.199,0.053,0.173
"P10","A algún candidato del kirchnerismo",0.512,0.12,0,0.731,0.719
"P11","A Alberto Fernández",0.088,0.206,0,0,0.023
"P11","A Sergio Massa",0.157,0.275,0.285,0.182,0.057
"P11","A algún candidato del peronismo",0.07,0.335,0.362,0.036,0.102
"P11","A Cristina Fernández de Kirchner",0.685,0.184,0.353,0.782,0.818
"P12","A Horacio Rodriguez Larreta",0.264,0.162,0.526,0.299,0.403
"P12","A Mauricio Macri",0.421,0.345,0.191,0,0.127
"P12","A Patricia Bullrich",0.228,0.459,0.165,0,0.088
"P12","A Facundo Manes",0.087,0.026,0.118,0.701,0.107
"P12","A Gerardo Morales",0,0.008,0,0,0.275
"P13","Seguro lo votaria",0.104,0.061,0.437,0,0.036
"P13","Quizás lo votaría",0.456,0.379,0.413,0,0.291
"P13","Nunca lo votaría",0.44,0.56,0.15,1,0.673
"P14","Lo votaría",0.082,0.493,0.085,0,0.093
"P14","Puede que lo vote",0.036,0.28,0.355,0.052,0.079
"P14","Nunca lo votaría",0.83,0.153,0.458,0.874,0.66
"P14","No sabe",0.052,0.074,0.102,0.074,0.168
"P15","Lo votaría",0.324,0.096,0.059,0.047,0.09
"P15","Puede que lo vote",0.371,0.048,0.058,0.39,0.281
"P15","Nunca lo votaría",0.215,0.838,0.871,0.413,0.453
"P15","No sabe",0.09,0.018,0.012,0.15,0.176
"P16","Lo votaría",0.232,0.026,0.017,0.007,0.067
"P16","Puede que lo vote",0.539,0.025,0.037,0.319,0.17
"P16","Nunca lo votaría",0.142,0.935,0.923,0.546,0.565
"P16","No sabe",0.087,0.014,0.023,0.128,0.198
"P17","La votaría",0.775,0.042,0.04,0.489,0.379
"P17","Puede que la vote",0.091,0.017,0.005,0.113,0.069
"P17","Nunca la votaría",0.131,0.941,0.939,0.345,0.468
"P17","No sabe",0.003,0,0.016,0.053,0.084
"P18","Lo votaría",0.08,0.231,0.113,0.012,0.133
"P18","Puede que lo vote",0.062,0.456,0.237,0.078,0.137
"P18","Nunca lo votaría",0.829,0.272,0.623,0.874,0.583
"P18","No sabe",0.029,0.041,0.027,0.036,0.147
"P19","Lo votaría",0.028,0.117,0.085,0.09,0.132
"P19","Puede que lo vote",0.129,0.32,0.252,0.189,0.171
"P19","Nunca lo votaría",0.725,0.491,0.617,0.598,0.502
"P19","No sabe",0.118,0.072,0.046,0.123,0.195
"P20","La votaría",0.048,0.648,0.177,0.078,0.062
"P20","Puede que la vote",0.058,0.232,0.449,0.036,0.119
"P20","Nunca la votaría",0.867,0.096,0.354,0.886,0.739
"P20","No sabe",0.027,0.024,0.02,0,0.08
"P21","Lo votaría",0.029,0.141,0.723,0.026,0.028
"P21","Puede que lo vote",0.067,0.331,0.215,0.052,0.069
"P21","Nunca lo votaría",0.883,0.478,0.052,0.882,0.758
"P21","No sabe",0.021,0.05,0.01,0.04,0.145
"P22","La votaría",0.03,0.258,0.15,0,0.078
"P22","Puede que la vote",0.06,0.382,0.282,0.003,0.108
"P22","Nunca la votaría",0.857,0.279,0.519,0.932,0.677
"P22","No sabe",0.053,0.081,0.049,0.065,0.137
"P23","Mauricio Macri por Juntos por el Cambio",0.038,0.228,0.039,0,0.05
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.075,0.063,0,0.079
"P23","Patricia Bullrich por Juntos por el Cambio",0.038,0.503,0.068,0,0.059
"P23","María Eugenia Vidal por Juntos por el Cambio",0.004,0.067,0.011,0,0.06
"P23","Facundo Manes por Juntos por el Cambio",0.014,0.019,0.045,0.115,0.088
"P23","Alberto Fernández por el Frente de Todos",0.352,0.037,0.008,0.009,0.084
"P23","Sergio Massa por el Frente de Todos",0.431,0.033,0.044,0.172,0.131
"P23","Javier Milei por los liberales libertarios",0.005,0.014,0.72,0,0.002
"P23","Al candidato del Frente de Izquierda",0.018,0.001,0,0.662,0.001
"P23","No sabe",0.077,0.023,0.002,0.042,0.446
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.193,0.081,0,0.099
"P24","Mauricio Macri por Juntos por el Cambio",0.044,0.54,0.054,0,0.062
"P24","Alberto Fernández por el Frente de Todos",0.337,0.049,0.009,0.092,0.059
"P24","Sergio Massa por el Frente de Todos",0.437,0.051,0.05,0.128,0.16
"P24","Javier Milei por los liberales libertarios",0.019,0.073,0.782,0.058,0.036
"P24","Al candidato del Frente de Izquierda",0.053,0.01,0.014,0.593,0.003
"P24","No sabe",0.092,0.084,0.01,0.129,0.581
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.153,0.089,0,0.127
