"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.507,0.396,0.493,0.516,0.386
"P04","Realizo changas o trabajos de vez en cuando",0.146,0.153,0.22,0.174,0.201
"P04","No tengo trabajo",0.128,0.154,0.191,0.19,0.21
"P04","Soy jubilado o pensionado",0.219,0.297,0.096,0.12,0.203
"P05","1",0.171,0.362,0.376,0.229,0.309
"P05","2",0.055,0.073,0.1,0.076,0.063
"P05","3",0.021,0.063,0.108,0.021,0.059
"P05","4",0.038,0.115,0.074,0.061,0.092
"P05","5",0.143,0.223,0.176,0.136,0.219
"P05","6",0.071,0.042,0.03,0.029,0.057
"P05","7",0.16,0.032,0.023,0.038,0.056
"P05","8",0.092,0.011,0.027,0.102,0.039
"P05","9",0.249,0.079,0.086,0.308,0.106
"P06","1",0.433,0.198,0.106,0.272,0.312
"P06","2",0.088,0.032,0.037,0.143,0.03
"P06","3",0.083,0.026,0.047,0.031,0.056
"P06","4",0.068,0.043,0.04,0.051,0.046
"P06","5",0.135,0.217,0.181,0.213,0.248
"P06","6",0.02,0.063,0.06,0.011,0.026
"P06","7",0.037,0.076,0.072,0.022,0.077
"P06","8",0.017,0.084,0.095,0.023,0.038
"P06","9",0.119,0.261,0.362,0.234,0.167
"P07","1",0.621,0.23,0.228,0.496,0.346
"P07","2",0.033,0.03,0.014,0.082,0.032
"P07","3",0.049,0.038,0.045,0.048,0.024
"P07","4",0.03,0.029,0.011,0.007,0.031
"P07","5",0.059,0.151,0.134,0.104,0.119
"P07","6",0.017,0.027,0.038,0.014,0.026
"P07","7",0.006,0.042,0.054,0.019,0.026
"P07","8",0.014,0.039,0.067,0.016,0.025
"P07","9",0.171,0.414,0.409,0.214,0.371
"P09","Del Frente de Todos y el peronismo",0.886,0.06,0.032,0.368,0.319
"P09","De Juntos por el cambio",0.037,0.796,0.226,0.127,0.222
"P09","De los Liberales libertarios",0.017,0.054,0.651,0.027,0.062
"P09","De la Izquierda",0.017,0.01,0.007,0.415,0.02
"P09","No sabe",0.043,0.08,0.084,0.063,0.377
