"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.556,0.431,0.416
"P04","Realizo changas o trabajos de vez en cuando",0.137,0.141,0.268
"P04","No tengo trabajo",0.11,0.186,0.188
"P04","Soy jubilado o pensionado",0.197,0.242,0.128
"P05","1",0.188,0.373,0.335
"P05","2",0.044,0.082,0.085
"P05","3",0.022,0.099,0.066
"P05","4",0.032,0.111,0.075
"P05","5",0.177,0.204,0.176
"P05","6",0.081,0.031,0.028
"P05","7",0.154,0.027,0.048
"P05","8",0.101,0.022,0.05
"P05","9",0.201,0.051,0.137
"P06","1",0.418,0.145,0.29
"P06","2",0.092,0.029,0.05
"P06","3",0.072,0.043,0.058
"P06","4",0.08,0.039,0.05
"P06","5",0.171,0.185,0.176
"P06","6",0.026,0.067,0.033
"P06","7",0.039,0.099,0.042
"P06","8",0.016,0.107,0.044
"P06","9",0.086,0.286,0.257
"P07","1",0.612,0.22,0.331
"P07","2",0.039,0.028,0.035
"P07","3",0.048,0.056,0.02
"P07","4",0.025,0.027,0.014
"P07","5",0.075,0.135,0.101
"P07","6",0.025,0.032,0.027
"P07","7",0.012,0.06,0.02
"P07","8",0.013,0.055,0.041
"P07","9",0.151,0.387,0.411
"P09","Del Frente de Todos y el peronismo",0.859,0.032,0.273
"P09","De Juntos por el cambio",0.04,0.617,0.14
"P09","De los Liberales libertarios",0.022,0.282,0.219
"P09","De la Izquierda",0.018,0.006,0.071
"P09","No sabe",0.061,0.063,0.297
"P10","A Alberto Fernández",0.059,0.481,0.161
"P10","A Sergio Massa",0.205,0.056,0.373
"P10","A algún candidato del peronismo",0.168,0.392,0.216
"P10","A algún candidato del kirchnerismo",0.568,0.071,0.25
"P11","A Alberto Fernández",0.034,0.136,0.155
"P11","A Sergio Massa",0.107,0.159,0.303
"P11","A algún candidato del peronismo",0.115,0.389,0.112
"P11","A Cristina Fernández de Kirchner",0.744,0.316,0.43
"P12","A Horacio Rodriguez Larreta",0.14,0.215,0.522
"P12","A Patricia Bullrich",0.114,0.73,0.285
"P12","A Facundo Manes",0.418,0.025,0.033
"P12","A Gerardo Morales",0.328,0.03,0.16
"P13","Lo votaría",0.276,0.026,0.119
"P13","Puede que lo vote",0.434,0.098,0.201
"P13","Nunca lo votaría",0.151,0.847,0.506
"P13","No sabe",0.139,0.029,0.174
"P14","Lo votaría",0.219,0.008,0.08
"P14","Puede que lo vote",0.375,0.031,0.128
"P14","Nunca lo votaría",0.273,0.948,0.651
"P14","No sabe",0.133,0.013,0.141
"P15","Lo votaría",0.023,0.188,0.081
"P15","Puede que lo vote",0.085,0.404,0.129
"P15","Nunca lo votaría",0.861,0.38,0.693
"P15","No sabe",0.031,0.028,0.097
"P16","Lo votaría",0.021,0.107,0.049
"P16","Puede que lo vote",0.12,0.314,0.161
"P16","Nunca lo votaría",0.741,0.505,0.583
"P16","No sabe",0.118,0.074,0.207
"P17","La votaría",0.02,0.587,0.038
"P17","Puede que la vote",0.02,0.275,0.109
"P17","Nunca la votaría",0.927,0.119,0.721
"P17","No sabe",0.033,0.019,0.132
"P18","Lo votaría",0.027,0.306,0.23
"P18","Puede que lo vote",0.039,0.301,0.135
"P18","Nunca lo votaría",0.922,0.344,0.531
"P18","No sabe",0.012,0.049,0.104
"P19","La votaría",0.013,0.206,0.057
"P19","Puede que la vote",0.029,0.362,0.143
"P19","Nunca la votaría",0.932,0.371,0.702
"P19","No sabe",0.026,0.061,0.098
"P20","Lo votaría",0.395,0.028,0.034
"P20","Puede que lo vote",0.368,0.068,0.091
"P20","Nunca lo votaría",0.171,0.858,0.716
"P20","No sabe",0.066,0.046,0.159
"P21","Lo votaría",0.316,0.012,0.092
"P21","Puede que lo vote",0.453,0.028,0.177
"P21","Nunca lo votaría",0.152,0.944,0.616
"P21","No sabe",0.079,0.016,0.115
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.097,0.064
"P22","Patricia Bullrich por Juntos por el Cambio",0.005,0.568,0.065
"P22","Facundo Manes por Juntos por el Cambio",0.012,0.056,0.081
"P22","Alberto Fernández por el Frente de Todos",0.081,0.009,0.062
"P22","Sergio Massa por el Frente de Todos",0.174,0.003,0.143
"P22","Wado de Pedro por el Frente de Todos",0.437,0.009,0.029
"P22","Daniel Scioli por el Frente de Todos",0.184,0.009,0.092
"P22","Javier Milei por los liberales libertarios",0.023,0.222,0.265
"P22","Al candidato del Frente de Izquierda",0.016,0.003,0.043
"P22","No sabe",0.059,0.024,0.156
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.088,0.089
"P23","Patricia Bullrich por Juntos por el Cambio",0.011,0.528,0.049
"P23","María Eugenia Vidal por Juntos por el Cambio",0.004,0.076,0.024
"P23","Facundo Manes por Juntos por el Cambio",0.026,0.047,0.069
"P23","Sergio Massa por el Frente de Todos",0.224,0.006,0.168
"P23","Wado de Pedro por el Frente de Todos",0.443,0.008,0.04
"P23","Daniel Scioli por el Frente de Todos",0.203,0.005,0.089
"P23","Javier Milei por los liberales libertarios",0.028,0.226,0.263
"P23","Al candidato del Frente de Izquierda",0.022,0.001,0.052
"P23","No sabe",0.033,0.015,0.157
