"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P04","Tengo trabajo estable",0.468,0.401,0.508,0.195
"P04","Realizo changas o trabajos de vez en cuando",0.197,0.17,0.146,0.179
"P04","No tengo trabajo",0.196,0.166,0.13,0.253
"P04","Soy jubilado o pensionado",0.139,0.263,0.216,0.373
"P05","1",0.411,0.352,0.21,0.346
"P05","2",0.104,0.047,0.068,0.08
"P05","3",0.111,0.061,0.055,0.025
"P05","4",0.101,0.106,0.055,0.086
"P05","5",0.145,0.267,0.192,0.063
"P05","6",0.025,0.034,0.068,0
"P05","7",0.028,0.03,0.114,0.095
"P05","8",0.015,0.039,0.078,0.169
"P05","9",0.06,0.064,0.16,0.136
"P06","1",0.131,0.154,0.379,0.252
"P06","2",0.023,0.034,0.079,0.035
"P06","3",0.046,0.037,0.07,0.022
"P06","4",0.041,0.051,0.061,0.023
"P06","5",0.149,0.249,0.182,0.086
"P06","6",0.066,0.066,0.032,0
"P06","7",0.094,0.092,0.049,0.008
"P06","8",0.1,0.091,0.041,0.041
"P06","9",0.35,0.226,0.107,0.533
"P07","1",0.181,0.284,0.523,0.262
"P07","2",0.028,0.026,0.041,0
"P07","3",0.045,0.066,0.04,0.024
"P07","4",0.016,0.038,0.026,0
"P07","5",0.124,0.12,0.102,0.1
"P07","6",0.036,0.022,0.026,0
"P07","7",0.058,0.065,0.01,0
"P07","8",0.074,0.039,0.02,0.081
"P07","9",0.438,0.34,0.212,0.533
"P09","Del Frente de Todos y el peronismo",0.052,0.087,0.621,0.219
"P09","De Juntos por el cambio",0.348,0.604,0.223,0.341
"P09","De los Liberales libertarios",0.519,0.101,0.023,0.043
"P09","De la Izquierda",0.008,0.031,0.035,0
"P09","No sabe",0.073,0.177,0.098,0.397
"P10","A Alberto Fernández",0.115,0.019,0.083,0.375
"P10","A Sergio Massa",0.361,0.291,0.214,0.061
"P10","A algún candidato del peronismo",0.408,0.657,0.145,0.309
"P10","A algún candidato del kirchnerismo",0.116,0.033,0.558,0.255
"P11","A Alberto Fernández",0.094,0.05,0.052,0.435
"P11","A Sergio Massa",0.405,0.234,0.125,0
"P11","A algún candidato del peronismo",0.371,0.452,0.082,0.089
"P11","A Cristina Fernández de Kirchner",0.13,0.264,0.741,0.476
"P12","A Horacio Rodriguez Larreta",0.171,0.235,0.311,0.395
"P12","A Patricia Bullrich",0.751,0.724,0.502,0.542
"P12","A Facundo Manes",0.043,0.016,0.073,0.063
"P12","A Gerardo Morales",0.035,0.025,0.114,0
"P13","Lo votaría",0.042,0.048,0.203,0.113
"P13","Puede que lo vote",0.096,0.152,0.327,0.152
"P13","Nunca lo votaría",0.822,0.732,0.343,0.389
"P13","No sabe",0.04,0.068,0.127,0.346
"P14","Lo votaría",0.017,0.028,0.133,0.138
"P14","Puede que lo vote",0.041,0.057,0.288,0.096
"P14","Nunca lo votaría",0.917,0.884,0.462,0.427
"P14","No sabe",0.025,0.031,0.117,0.339
"P15","Lo votaría",0.106,0.213,0.066,0.259
"P15","Puede que lo vote",0.293,0.381,0.166,0.103
"P15","Nunca lo votaría",0.558,0.376,0.723,0.5
"P15","No sabe",0.043,0.03,0.045,0.138
"P16","Lo votaría",0.086,0.094,0.05,0
"P16","Puede que lo vote",0.265,0.323,0.149,0.297
"P16","Nunca lo votaría",0.575,0.438,0.685,0.215
"P16","No sabe",0.074,0.145,0.116,0.488
"P17","La votaría",0.405,0.507,0.142,0.265
"P17","Puede que la vote",0.294,0.218,0.051,0.083
"P17","Nunca la votaría",0.256,0.235,0.762,0.333
"P17","No sabe",0.045,0.04,0.045,0.319
"P18","Lo votaría",0.574,0.073,0.027,0.065
"P18","Puede que lo vote",0.292,0.348,0.044,0.01
"P18","Nunca lo votaría",0.101,0.483,0.902,0.507
"P18","No sabe",0.033,0.096,0.027,0.418
"P19","La votaría",0.182,0.173,0.05,0.192
"P19","Puede que la vote",0.267,0.329,0.124,0.09
"P19","Nunca la votaría",0.481,0.435,0.787,0.41
"P19","No sabe",0.07,0.063,0.039,0.308
"P20","Lo votaría",0.028,0.016,0.26,0.247
"P20","Puede que lo vote",0.052,0.107,0.257,0.123
"P20","Nunca lo votaría",0.855,0.801,0.412,0.22
"P20","No sabe",0.065,0.076,0.071,0.41
"P21","Lo votaría",0.044,0.044,0.197,0.159
"P21","Puede que lo vote",0.019,0.093,0.342,0.072
"P21","Nunca lo votaría",0.909,0.826,0.391,0.322
"P21","No sabe",0.028,0.037,0.07,0.447
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.108,0.06,0.07
"P22","Patricia Bullrich por Juntos por el Cambio",0.352,0.539,0.145,0.214
"P22","Facundo Manes por Juntos por el Cambio",0.045,0.086,0.035,0.02
"P22","Alberto Fernández por el Frente de Todos",0.006,0.022,0.061,0.057
"P22","Sergio Massa por el Frente de Todos",0.018,0.023,0.152,0.073
"P22","Wado de Pedro por el Frente de Todos",0.006,0.021,0.272,0.155
"P22","Daniel Scioli por el Frente de Todos",0.016,0.046,0.142,0.022
"P22","Javier Milei por los liberales libertarios",0.495,0.06,0.016,0.064
"P22","Al candidato del Frente de Izquierda",0.003,0.005,0.03,0
"P22","No sabe",0.012,0.09,0.087,0.325
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.046,0.091,0.067,0
"P23","Patricia Bullrich por Juntos por el Cambio",0.331,0.492,0.132,0.294
"P23","María Eugenia Vidal por Juntos por el Cambio",0.034,0.098,0.03,0.038
"P23","Facundo Manes por Juntos por el Cambio",0.036,0.074,0.041,0.02
"P23","Sergio Massa por el Frente de Todos",0.021,0.04,0.19,0.073
"P23","Wado de Pedro por el Frente de Todos",0.007,0.024,0.28,0.155
"P23","Daniel Scioli por el Frente de Todos",0.008,0.036,0.142,0.14
"P23","Javier Milei por los liberales libertarios",0.51,0.069,0.013,0.016
"P23","Al candidato del Frente de Izquierda",0.001,0.022,0.031,0
"P23","No sabe",0.006,0.054,0.074,0.264
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.092,0.06,0
"P24","Patricia Bullrich por Juntos por el Cambio",0.341,0.495,0.138,0.319
"P24","María Eugenia Vidal por Juntos por el Cambio",0.026,0.109,0.027,0
"P24","Facundo Manes por Juntos por el Cambio",0.029,0.081,0.04,0.02
"P24","Sergio Massa por el Frente de Todos",0.02,0.063,0.183,0.144
