"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.077,0.068,0.086,0.052,0.08,0.096,0.074,0.083,0.064,0.093,0.075,0.082,0.029,0.137,0.137
"Patricia Bullrich por Juntos por el Cambio",0.234,0.218,0.249,0.11,0.175,0.294,0.435,0.219,0.233,0.253,0.234,0.233,0.054,0.505,0.158
"Facundo Manes por Juntos por el Cambio",0.048,0.056,0.04,0.043,0.048,0.048,0.052,0.053,0.043,0.05,0.044,0.056,0.03,0.052,0.109
"Alberto Fernández por el Frente de Todos",0.06,0.037,0.083,0.074,0.071,0.048,0.037,0.093,0.052,0.034,0.061,0.06,0.123,0.012,0.024
"Sergio Massa por el Frente de Todos",0.078,0.079,0.077,0.07,0.084,0.074,0.078,0.083,0.079,0.069,0.082,0.068,0.143,0.024,0.035
"Wado de Pedro por el Frente de Todos",0.113,0.101,0.124,0.103,0.112,0.115,0.122,0.079,0.104,0.17,0.118,0.101,0.242,0.029,0.028
"Daniel Scioli por el Frente de Todos",0.069,0.07,0.069,0.068,0.064,0.092,0.055,0.076,0.07,0.06,0.073,0.063,0.138,0.018,0.059
"Javier Milei por los liberales libertarios",0.197,0.258,0.138,0.326,0.23,0.119,0.073,0.169,0.236,0.166,0.198,0.195,0.1,0.185,0.299
"Al candidato del Frente de Izquierda",0.023,0.022,0.024,0.021,0.034,0.01,0.018,0.021,0.025,0.021,0.024,0.021,0.026,0.008,0.018
"No sabe",0.101,0.091,0.11,0.133,0.102,0.104,0.056,0.124,0.094,0.084,0.091,0.121,0.115,0.03,0.133
