var,categoria,Si,Puede ser,No
P05,Victoria Tolosa Paz para diputada nacional y Walter Enrique Acuña para concejal por el “Frente de todos”,0.453,0.154,0.155
P05,Diego Santilli para diputado nacional y Guido Giana para concejal por “Juntos”,0.152,0.198,0.024
P05,Facundo Manes para diputado nacional y Ruben Eduardo Mobilio para concejal por “Juntos”,0.071,0.088,0.014
P05,Florencio Randazzo para diputado nacional y Maico Müller para concejal por “Vamos con vos”,0.043,0.078,0.144
P05,A la lista de Anibal Regueiro para concejal por “Peronenses Primero”,0.098,0.05,0
P05,A la lista de José Luis Espert para diputado nacional por “Avanza Libertad”,0.037,0.022,0.04
P05,A los candidatos de la izquierda,0.013,0.017,0.018
P05,Otros Candidatos,0.065,0.139,0.091
P05,En blanco o anularía,0.033,0.195,0.395
P05,Cortaría Boleta,0.035,0.059,0.119
P09,Si,0.896,0.448,0.461
P09,No,0.104,0.552,0.539
P10,Muy buena,0.431,0.035,0.134
P10,Buena,0.182,0.195,0.185
P10,Ni buena ni mala,0.073,0.419,0.086
P10,Mala,0.069,0.111,0.271
P10,Muy mala,0.244,0.147,0.301
P10,No sabe,0.001,0.093,0.023
P11,Muy buena,0.445,0.037,0.244
P11,Buena,0.123,0.159,0.007
P11,Ni buena ni mala,0.089,0.361,0.135
P11,Mala,0.061,0.099,0.25
P11,Muy mala,0.273,0.265,0.341
P11,No sabe,0.009,0.079,0.023
P12,Muy buena,0.083,0.047,0.183
P12,Buena,0.093,0.192,0.028
P12,Ni buena ni mala,0.16,0.318,0.272
P12,Mala,0.251,0.176,0.118
P12,Muy mala,0.394,0.129,0.375
P12,No sabe,0.019,0.138,0.024
P13,Muy buena,0.195,0.188,0.005
P13,Buena,0.154,0.232,0.23
P13,Ni buena ni mala,0.279,0.359,0.428
P13,Mala,0.133,0.014,0.023
P13,Muy mala,0.198,0.121,0.286
P13,No sabe,0.041,0.086,0.028
