"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P05","Victoria Tolosa Paz para diputada nacional y Walter Enrique Acuña para concejal por el “Frente de todos”",0.705,0.412,0.383,0.092,0.006,0
"P05","Diego Santilli para diputado nacional y Guido Giana para concejal por “Juntos”",0.008,0.18,0.019,0.273,0.343,0.03
"P05","Facundo Manes para diputado nacional y Ruben Eduardo Mobilio para concejal por “Juntos”",0.004,0.063,0.031,0.078,0.179,0
"P05","Florencio Randazzo para diputado nacional y Maico Müller para concejal por “Vamos con vos”",0.027,0.038,0.099,0.181,0.059,0
"P05","A la lista de Anibal Regueiro para concejal por “Peronenses Primero”",0.139,0.107,0.02,0.022,0.047,0
"P05","A la lista de José Luis Espert para diputado nacional por “Avanza Libertad”",0.006,0,0,0.008,0.136,0
"P05","A los candidatos de la izquierda",0.005,0.008,0.015,0.034,0.01,0
"P05","Otros Candidatos",0.031,0.096,0.137,0.104,0.049,0.55
"P05","En blanco o anularía",0.032,0.079,0.248,0.187,0.073,0.42
"P05","Cortaría Boleta",0.043,0.017,0.048,0.021,0.098,0
"P08","Si",0.939,0.723,0.418,0.516,0.76,0.03
"P08","Puede ser",0.016,0.163,0.505,0.173,0.096,0.823
"P08","No",0.045,0.114,0.077,0.311,0.144,0.147
"P10","Si",0.939,0.58,0.655,0.6,0.837,0.827
"P10","No",0.061,0.42,0.345,0.4,0.163,0.173
"P11","Muy buena",0.746,0.472,0.146,0,0.018,0
"P11","Buena",0.109,0.334,0.051,0.099,0,0
"P11","Ni buena ni mala",0.081,0.136,0.65,0.006,0.005,0
"P11","Mala",0.026,0.01,0.042,0.397,0.142,0
"P11","Muy mala",0.038,0.048,0.111,0.498,0.811,0
"P11","No sabe",0,0,0,0,0.024,1
"P12","Muy buena",0.063,0.097,0,0.069,0.184,0
"P12","Buena",0,0.187,0.03,0.135,0.201,0.036
"P12","Ni buena ni mala",0.082,0.135,0.404,0.408,0.213,0.144
"P12","Mala",0.312,0.137,0.31,0.121,0.182,0
"P12","Muy mala",0.52,0.364,0.256,0.267,0.211,0
"P12","No sabe",0.023,0.08,0,0,0.009,0.82
"P13","Muy buena",0.124,0.098,0.049,0.238,0.35,0
"P13","Buena",0.091,0.197,0.146,0.37,0.215,0
"P13","Ni buena ni mala",0.207,0.376,0.553,0.306,0.285,0.035
"P13","Mala",0.15,0.144,0.064,0.049,0.051,0
"P13","Muy mala",0.364,0.165,0.182,0.037,0.075,0
"P13","No sabe",0.064,0.02,0.006,0,0.024,0.965
