clave	texto
encuesta_especial	Posicionamiento Político: Río Cuarto - Córdoba, Febrero 2024
bajada_encuesta_especial	Encuesta Sincrónica
bajada_encuesta_especial_fecha	23/02/2024
ficha_Población objeto de estudio	Población mayor de 16 años que votan en el ámbito del municipio de la Ciudad de Río Cuarto.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	Ciudad de Río Cuarto, Provincia de Córdoba
ficha_Técnicas de recolección de información	ES - Encuesta Sincrónica (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Probabilística al azar simple
ficha_Tamaño muestral	La captura de datos abarca 1066 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 3.0% 
