"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Siempre",0.364,0.171,0.285,0.235
"P05","Casi siempre",0.228,0.548,0.306,0.35
"P05","Casi nunca",0.175,0.206,0.335,0.137
"P05","Nunca, pero esta es una excepción",0.233,0.075,0.074,0.278
"P07","Cambia Bariloche",0.241,0.182,0.15,0.116
"P07","Juntos Somos Río Negro",0.271,0.38,0.178,0.188
"P07","Unidos Bariloche",0.046,0.007,0.04,0
"P07","Podemos Bariloche",0.077,0.005,0.054,0
"P07","Vamos con Todos",0.155,0.011,0.046,0.058
"P07","Nos Une Río Negro",0.006,0.043,0.059,0
"P07","No sabe",0.204,0.372,0.473,0.638
"P08","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.359,0.14,0.193,0.012
"P08","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.075,0.293,0.151,0.208
"P08","Arabella Carreras por Unidos Bariloche",0.374,0.167,0.05,0.054
"P08","Pablo Chamátropulos por Podemos Bariloche",0.104,0.02,0.074,0.102
"P08","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.008,0.225,0.152,0.163
"P08","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.011,0.081,0.019
"P08","No sabe",0.08,0.144,0.299,0.442
"P09","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.264,0.256,0.187,0.213
"P09","Agustín Domingo por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.16,0.403,0.115,0.044
"P09","Arabella Carreras por Unidos Bariloche",0.31,0.103,0.087,0.015
"P09","Pablo Chamátropulos por Podemos Bariloche",0.052,0.067,0.068,0
"P09","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.031,0.057,0.155,0.178
"P09","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.112,0.004,0.097,0.042
"P09","No sabe",0.071,0.11,0.291,0.508
"P10","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.394,0.099,0.133,0.012
"P10","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.082,0.139,0.15,0.147
"P10","Arabella Carreras por Unidos Bariloche",0.376,0.382,0.047,0.058
"P10","Pablo Chamátropulos por Podemos Bariloche",0.032,0.048,0.084,0.044
"P10","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.052,0.18,0.154,0.244
"P10","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.036,0.018,0.133,0.019
"P10","No sabe",0.028,0.134,0.299,0.476
"P11","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.294,0.206,0.182,0.105
"P11","Juan Pablo Muena por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.19,0.327,0.156,0.087
"P11","Arabella Carreras por Unidos Bariloche",0.369,0.228,0.043,0.08
"P11","Pablo Chamátropulos por Podemos Bariloche",0.004,0.033,0.076,0.058
"P11","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.071,0.062,0.147,0.222
"P11","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0,0.004,0.087,0.019
"P11","No sabe",0.072,0.14,0.309,0.429
"P12","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.459,0.113,0.223,0.077
"P12","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.084,0.39,0.161,0.102
"P12","Arabella Carreras por Unidos Bariloche",0.348,0.214,0.037,0.054
"P12","Pablo Chamátropulos por Podemos Bariloche",0,0.029,0.068,0
"P12","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.003,0.077,0.159,0.186
"P12","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.077,0.042,0.115,0.019
"P12","No sabe",0.029,0.135,0.237,0.562
"P13","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.357,0.188,0.288,0.105
"P13","Juan Pablo Ferrari por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.09,0.272,0.171,0.073
"P13","Arabella Carreras por Unidos Bariloche",0.309,0.229,0.052,0.015
"P13","Pablo Chamátropulos por Podemos Bariloche",0.123,0.029,0.069,0.058
"P13","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.052,0.172,0.141,0.149
"P13","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.006,0.011,0.072,0.085
"P13","No sabe",0.063,0.099,0.207,0.515
"P14","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.352,0.124,0.192,0.116
"P14","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.123,0.374,0.118,0.168
"P14","Arabella Carreras por Unidos Bariloche",0.314,0.231,0.056,0.015
"P14","Pablo Chamátropulos por Podemos Bariloche",0.052,0.044,0.067,0.058
"P14","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.008,0.095,0.244,0.163
"P14","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.115,0.042,0.093,0.1
"P14","No sabe",0.036,0.09,0.23,0.38
"P15","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.495,0.191,0.22,0.065
"P15","Marcela Gonzalez Abdala por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.121,0.439,0.139,0.087
"P15","Arabella Carreras por Unidos Bariloche",0.341,0.18,0.06,0.054
"P15","Pablo Chamátropulos por Podemos Bariloche",0,0.023,0.082,0
"P15","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0,0.058,0.179,0.179
"P15","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.006,0.004,0.066,0.019
"P15","No sabe",0.037,0.105,0.254,0.596
"P16","Gastón Vega por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.29,0.155,0.224,0.077
"P16","Carlos Valeri  por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.223,0.311,0.089,0.062
"P16","Arabella Carreras por Unidos Bariloche",0.337,0.235,0.051,0.098
"P16","Pablo Chamátropulos por Podemos Bariloche",0,0.029,0.11,0.043
"P16","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.104,0.06,0.166,0.159
"P16","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.026,0.042,0.087,0.042
"P16","No sabe",0.02,0.168,0.273,0.519
"P17","Carlos Aristegui por Cambia Bariloche con el apoyo de Aníbal Tortoriello",0.242,0.233,0.237,0.065
"P17","Carlos Valeri por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.165,0.191,0.088,0.038
"P17","Arabella Carreras por Unidos Bariloche",0.302,0.23,0.053,0.015
"P17","Pablo Chamátropulos por Podemos Bariloche",0.052,0.077,0.092,0.083
"P17","Costa Brutten, Vallazza o Galaverna por Vamos con Todos con el apoyo de los hermanos Soria",0.012,0.105,0.128,0.225
"P17","Ramón Chiocconi por Nos Une Río Negro con el apoyo de La Cámpora",0.052,0.004,0.08,0.042
"P17","No sabe",0.175,0.16,0.322,0.532
"P18","La votaría",0.551,0.082,0.084,0.033
"P18","Puede que la vote",0.043,0.456,0.11,0.109
"P18","Nunca la votaría",0.288,0.284,0.591,0.121
"P18","No sabe",0.118,0.178,0.215,0.737
"P19","Lo votaría",0.369,0.22,0.122,0
"P19","Puede que lo vote",0.169,0.51,0.085,0.121
"P19","Nunca lo votaría",0.357,0.189,0.709,0.053
"P19","No sabe",0.105,0.081,0.084,0.826
"P21","Lo votaría",0.421,0.074,0.086,0.035
"P21","Puede que lo vote",0.117,0.548,0.128,0.142
"P21","Nunca lo votaría",0.341,0.3,0.694,0.031
"P21","No sabe",0.121,0.078,0.092,0.792
"P22","Lo votaría",0.584,0.026,0.09,0.148
"P22","Puede que lo vote",0.073,0.534,0.142,0.086
"P22","Nunca lo votaría",0.27,0.402,0.729,0.108
"P22","No sabe",0.073,0.038,0.039,0.658
"P23","Lo votaría",0.511,0.124,0.111,0.103
"P23","Puede que lo vote",0.112,0.372,0.107,0.122
"P23","Nunca lo votaría",0.306,0.474,0.704,0.099
"P23","No sabe",0.071,0.03,0.078,0.676
"P24","La votaría",0.444,0.031,0.117,0.071
"P24","Puede que la vote",0.12,0.278,0.054,0.136
"P24","Nunca la votaría",0.373,0.596,0.758,0.122
"P24","No sabe",0.063,0.095,0.071,0.671
"P25","Lo votaría",0.465,0.077,0.09,0.094
"P25","Puede que lo vote",0.108,0.494,0.13,0.164
"P25","Nunca lo votaría",0.349,0.368,0.72,0.104
"P25","No sabe",0.078,0.061,0.06,0.638
"P26","Lo votaría",0.462,0.092,0.077,0
"P26","Puede que lo vote",0.109,0.482,0.1,0.093
"P26","Nunca lo votaría",0.336,0.392,0.752,0.137
"P26","No sabe",0.093,0.034,0.071,0.77
"P27","Lo votaría",0.52,0.032,0.095,0.1
"P27","Puede que lo vote",0.052,0.393,0.141,0.274
"P27","Nunca lo votaría",0.335,0.42,0.696,0.114
"P27","No sabe",0.093,0.155,0.068,0.512
"P28","Lo votaría",0.475,0.07,0.061,0.093
"P28","Puede que lo vote",0.085,0.207,0.099,0.158
"P28","Nunca lo votaría",0.355,0.55,0.766,0.127
"P28","No sabe",0.085,0.173,0.074,0.622
"P29","Lo votaría",0.485,0.055,0.051,0.148
"P29","Puede que lo vote",0.033,0.223,0.076,0.124
"P29","Nunca lo votaría",0.429,0.649,0.84,0.127
"P29","No sabe",0.053,0.073,0.033,0.601
"P30","La votaría",0.37,0.109,0.031,0.157
"P30","Puede que la vote",0.16,0.271,0.105,0.139
"P30","Nunca la votaría",0.386,0.511,0.794,0.149
"P30","No sabe",0.084,0.109,0.07,0.555
"P31","Si",0.532,0.307,0.451,0.117
"P31","No",0.468,0.693,0.549,0.883
