"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P05","Mucho",0.462,0.426,0.408,0.443
"P05","Bastante",0.293,0.29,0.314,0.151
"P05","Poco",0.18,0.19,0.13,0.191
"P05","Nada",0.041,0.088,0.119,0.206
"P05","No sabe",0.024,0.006,0.029,0.009
"P06","Siempre",0.28,0.172,0.16,0.231
"P06","Casi siempre",0.364,0.368,0.35,0.22
"P06","Casi nunca",0.256,0.228,0.294,0.296
"P06","Nunca, pero esta es una excepción",0.1,0.232,0.196,0.253
"P09","Unión por la Patria",0.062,0.116,0.448,0.141
"P09","Juntos por el Cambio",0.619,0.425,0.072,0.077
"P09","Juntos Somos Río Negro",0.136,0.122,0.068,0.162
"P09","Liberales",0.097,0.207,0.16,0.148
"P09","Izquierda",0.025,0.064,0.058,0.155
"P09","Otro",0.013,0.013,0.055,0.02
"P09","No sabe",0.048,0.053,0.139,0.297
"P10","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.079,0.124,0.348,0.095
"P10","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.029,0.02,0.192,0.02
"P10","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.445,0.35,0.065,0.073
"P10","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.214,0.068,0.006,0.005
"P10","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.08,0.094,0.041,0.087
"P10","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.117,0.279,0.215,0.334
"P10","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.029,0,0.014,0.081
"P10","En blanco",0,0.008,0.051,0.003
"P10","No sabe",0.007,0.057,0.068,0.302
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.306,0.32,0.308,0
"P14","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0,0,0,0
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.167,0.086,0.106,0.339
"P14","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.267,0.351,0.03,0
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.228,0.045,0.333,0
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0,0,0
"P14","En blanco",0,0.198,0.175,0.496
"P14","No sabe",0.032,0,0.048,0.165
"P17","Sí",0.595,0.566,0.569,0.574
"P17","No",0.405,0.434,0.431,0.426
"P18","Martín Soria a Diputado Nacional por Unión por la Patria",0.213,0.132,0.21,0.061
"P18","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.242,0.142,0.115,0.063
"P18","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.143,0.152,0.086,0.087
"P18","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.211,0.203,0.236,0.468
"P18","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.11,0.24,0.218,0.14
"P18","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.047,0.099,0.054,0.109
"P18","En blanco",0.018,0.007,0.048,0.02
"P18","No sabe",0.016,0.025,0.033,0.052
"P22","Totalmente seguro",0.704,0.629,0.638,0.396
"P22","Bastante seguro",0.187,0.219,0.169,0.268
"P22","Algo seguro",0.084,0.076,0.076,0.045
"P22","Para nada seguro",0.025,0.076,0.117,0.291
"P23","Tiene Decidido que va a ir a votar",0.948,0.931,0.892,0.855
"P23","Tiene dudas sobre si va a ir a  votar",0.05,0.069,0.06,0.036
"P23","Tiene Decidido que no va a ir a votar",0.002,0,0.048,0.109
"P24","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.05,0.139,0.466,0.077
"P24","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.522,0.331,0.067,0.144
"P24","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.087,0.118,0.071,0.095
"P24","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.178,0.268,0.208,0.229
"P24","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.025,0.019,0.049,0.081
"P24","Otros",0.101,0.07,0.049,0.045
"P24","En blanco",0.013,0.005,0.041,0.039
"P24","No sabe",0.024,0.05,0.049,0.29
"P28","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.114,0.201,0.422,0.106
"P28","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.445,0.171,0.056,0.053
"P28","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.081,0.166,0.074,0.133
"P28","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.207,0.231,0.25,0.31
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.022,0.06,0.038,0.089
"P28","Otros",0.079,0.069,0.057,0.013
"P28","En blanco",0.018,0.009,0.034,0.044
"P28","No sabe",0.034,0.093,0.069,0.252
"P32","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.093,0.234,0.581,0.204
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.766,0.535,0.163,0.161
"P32","En blanco",0.06,0.114,0.128,0.142
"P32","No sabe",0.081,0.117,0.128,0.493
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.579,0.404,0.182,0.168
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.259,0.355,0.229,0.289
"P33","En blanco",0.074,0.126,0.41,0.161
"P33","No sabe",0.088,0.115,0.179,0.382
"P34","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.128,0.195,0.587,0.125
"P34","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.774,0.603,0.06,0.158
"P34","En blanco",0.032,0.093,0.214,0.313
"P34","No sabe",0.066,0.109,0.139,0.404
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.658,0.362,0.159,0.114
"P35","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.215,0.403,0.244,0.349
"P35","En blanco",0.038,0.101,0.416,0.168
"P35","No sabe",0.089,0.134,0.181,0.369
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.185,0.203,0.568,0.11
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.387,0.561,0.238,0.309
"P36","En blanco",0.216,0.118,0.108,0.178
"P36","No sabe",0.212,0.118,0.086,0.403
"P37","Lo votaría",0.131,0.163,0.519,0.106
"P37","Puede que lo vote",0.057,0.083,0.091,0.098
"P37","Nunca lo votaría",0.737,0.688,0.36,0.36
"P37","No sabe",0.075,0.066,0.03,0.436
"P38","Lo votaría",0.141,0.047,0.313,0.054
"P38","Puede que lo vote",0.007,0.132,0.156,0.046
"P38","Nunca lo votaría",0.788,0.798,0.45,0.314
"P38","No sabe",0.064,0.023,0.081,0.586
"P39","Lo votaría",0.737,0.351,0.115,0.085
"P39","Puede que lo vote",0.124,0.261,0.055,0.042
"P39","Nunca lo votaría",0.124,0.351,0.777,0.197
"P39","No sabe",0.015,0.037,0.053,0.676
"P41","Lo votaría",0.265,0.086,0.063,0.109
"P41","Puede que lo vote",0.143,0.324,0.105,0.041
"P41","Nunca lo votaría",0.452,0.424,0.659,0.115
"P41","No sabe",0.14,0.166,0.173,0.735
"P42","Lo votaría",0.306,0.294,0.19,0.294
"P42","Puede que lo vote",0.207,0.346,0.066,0.061
"P42","Nunca lo votaría",0.432,0.331,0.658,0.258
"P42","No sabe",0.055,0.029,0.086,0.387
"P43","Lo votaría",0.186,0.116,0.097,0.12
"P43","Puede que lo vote",0.025,0.179,0.17,0.044
"P43","Nunca lo votaría",0.697,0.644,0.648,0.238
"P43","No sabe",0.092,0.061,0.085,0.598
"P44","Sí",0.509,0.458,0.393,0.193
"P44","No",0.491,0.542,0.607,0.807
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.109,0.167,0.361,0.095
"PRESIDENTE","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.029,0.02,0.192,0.02
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.457,0.361,0.069,0.101
"PRESIDENTE","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.23,0.087,0.007,0.005
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.137,0.286,0.229,0.334
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.029,0,0.014,0.081
"PRESIDENTE","En blanco",0,0.022,0.059,0.048
"PRESIDENTE","No sabe",0.009,0.057,0.069,0.316
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.151,0.126,0.38,0.097
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.323,0.326,0.09,0.077
"DIPUTADOS","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.183,0.1,0.043,0.073
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.185,0.159,0.167,0.34
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.123,0.222,0.227,0.264
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.023,0.053,0.032,0.084
"DIPUTADOS","En blanco",0.004,0.003,0.04,0.021
"DIPUTADOS","No sabe",0.008,0.011,0.021,0.044
