"var","categoria","Unión por la Patria","Juntos por el Cambio","Juntos Somos Río Negro","Liberales","Izquierda","Otro","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.901,0.896,0.747,0.826,0.749,0.73,0.577
"P06","Tiene dudas sobre si va a ir a  votar",0.066,0.07,0.23,0.154,0.171,0.214,0.287
"P06","Tiene Decidido que no va a ir a votar",0.033,0.034,0.023,0.02,0.08,0.056,0.136
"P07","Mucho",0.585,0.42,0.289,0.502,0.437,0.324,0.158
"P07","Bastante",0.257,0.35,0.318,0.269,0.276,0.29,0.184
"P07","Poco",0.092,0.171,0.21,0.166,0.118,0.2,0.271
"P07","Nada",0.057,0.04,0.13,0.055,0.098,0.16,0.303
"P07","No sabe",0.009,0.019,0.053,0.008,0.071,0.026,0.084
"P08","Siempre",0.303,0.262,0.238,0.218,0.258,0.32,0.1
"P08","Casi siempre",0.332,0.372,0.308,0.251,0.193,0.248,0.208
"P08","Casi nunca",0.26,0.255,0.275,0.323,0.354,0.263,0.365
"P08","Nunca, pero esta es una excepción",0.105,0.111,0.179,0.208,0.195,0.169,0.327
"P12","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.62,0.06,0.192,0.024,0.153,0.162,0.13
"P12","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.2,0.006,0.085,0.014,0.16,0.083,0.038
"P12","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.028,0.559,0.141,0.073,0.08,0.027,0.059
"P12","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.013,0.203,0.099,0.024,0.007,0.11,0.041
"P12","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.039,0.038,0.24,0.018,0.034,0.003,0.048
"P12","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.054,0.112,0.175,0.831,0.23,0.391,0.195
"P12","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.002,0.001,0.019,0.01,0.272,0.018,0.026
"P12","En blanco",0.004,0.016,0.028,0,0.023,0.069,0.102
"P12","No sabe",0.04,0.005,0.021,0.006,0.041,0.137,0.361
"P16","Totalmente seguro",0.746,0.613,0.418,0.832,0.454,0.316,0.162
"P16","Bastante seguro",0.087,0.164,0.16,0.105,0.249,0.3,0.111
"P16","Algo seguro",0.082,0.148,0.199,0.034,0.065,0.127,0.204
"P16","Para nada seguro",0.085,0.075,0.223,0.029,0.232,0.257,0.523
"P17","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.401,0.036,0.237,0,0,0,0.231
