"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",0.913,0.867,0.879,0.794
"P06","Tiene dudas sobre si va a ir a  votar",0.087,0.087,0.121,0.051
"P06","Tiene Decidido que no va a ir a votar",0,0.046,0,0.155
"P07","Mucho",0.544,0.525,0.577,0.431
"P07","Bastante",0.266,0.258,0.265,0.225
"P07","Poco",0.142,0.131,0.057,0.158
"P07","Nada",0.027,0.062,0.101,0.12
"P07","No sabe",0.021,0.024,0,0.066
"P08","Siempre",0.216,0.271,0.251,0.21
"P08","Casi siempre",0.373,0.249,0.324,0.374
"P08","Casi nunca",0.272,0.275,0.335,0.18
"P08","Nunca, pero esta es una excepción",0.139,0.205,0.09,0.236
"P12","Unión por la Patria",0.347,0.137,0.78,0.515
"P12","Juntos por el Cambio",0.338,0.049,0.06,0.048
"P12","Juntos Somos Río Negro",0.167,0.104,0.048,0.092
"P12","Liberales",0.073,0.482,0.013,0.031
"P12","Izquierda",0.008,0.042,0.01,0.032
"P12","Otro",0.008,0.059,0.038,0.033
"P12","No sabe",0.059,0.127,0.051,0.249
"P13","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.46,0.083,0.853,0.69
"P13","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.254,0.035,0.018,0.02
"P13","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.21,0.038,0.026,0.016
"P13","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.064,0.827,0.023,0.22
"P13","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0.005,0,0.031
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0.003,0.056,0.014
"P13","En blanco",0,0,0.012,0
"P13","No sabe",0.012,0.009,0.012,0.009
"P17","Totalmente seguro",0.699,0.673,0.695,0.734
"P17","Bastante seguro",0.131,0.143,0.137,0.093
"P17","Algo seguro",0.075,0.13,0.076,0.077
"P17","Para nada seguro",0.095,0.054,0.092,0.096
"P18","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.2,0.425,0.137,0
"P18","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.386,0.2,0,0
"P18","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0.297,0,0
"P18","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0,0.3,0.409
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0,0,0
"P18","En blanco",0.414,0.078,0.453,0.271
"P18","No sabe",0,0,0.11,0.32
"P21","Sí",0.358,0.784,0.14,0.338
"P21","No",0.642,0.216,0.86,0.662
"P22","Martín Soria a Diputado Nacional por Unión por la Patria",0.319,0.013,0.56,0.325
"P22","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.352,0.096,0,0.051
"P22","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.088,0.15,0.068,0.118
"P22","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.11,0.444,0.356,0.257
"P22","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0.015,0.01,0.203
"P22","En blanco",0.006,0.071,0.006,0
"P22","No sabe",0.125,0.211,0,0.046
"P26","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.585,0.166,0.832,0.674
"P26","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.398,0.346,0.058,0.025
"P26","En blanco",0.01,0.225,0.088,0.065
"P26","No sabe",0.007,0.263,0.022,0.236
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.638,0.036,0.866,0.666
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.266,0.943,0.024,0.118
"P28","En blanco",0.068,0.01,0.095,0.028
"P28","No sabe",0.028,0.011,0.015,0.188
"P29","Lo votaría",0.534,0.069,0.903,0.696
"P29","Puede que lo vote",0.127,0.12,0.021,0.079
"P29","Nunca lo votaría",0.304,0.74,0.064,0.106
"P29","No sabe",0.035,0.071,0.012,0.119
"P30","Lo votaría",0.344,0.12,0.089,0.064
"P30","Puede que lo vote",0.161,0.304,0.012,0.104
"P30","Nunca lo votaría",0.366,0.418,0.881,0.701
"P30","No sabe",0.129,0.158,0.018,0.131
"P31","Lo votaría",0.137,0.068,0.049,0.115
"P31","Puede que lo vote",0.293,0.205,0.134,0.074
"P31","Nunca lo votaría",0.481,0.454,0.723,0.548
"P31","No sabe",0.089,0.273,0.094,0.263
"P32","Lo votaría",0.13,0.837,0.044,0.163
"P32","Puede que lo vote",0.193,0.11,0.03,0.042
"P32","Nunca lo votaría",0.621,0.022,0.863,0.661
"P32","No sabe",0.056,0.031,0.063,0.134
"P33","Lo votaría",0.092,0.055,0.053,0.166
"P33","Puede que lo vote",0.232,0.079,0.256,0.133
"P33","Nunca lo votaría",0.606,0.752,0.567,0.546
"P33","No sabe",0.07,0.114,0.124,0.155
"P34","Si",0.408,0.34,0.472,0.243
"P34","No",0.592,0.66,0.528,0.757
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.493,0.094,0.863,0.69
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.339,0.045,0.018,0.02
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.064,0.841,0.023,0.22
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0,0.005,0.005,0.035
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0.003,0.056,0.014
"PRESIDENTE","En blanco",0.092,0.003,0.017,0.005
"PRESIDENTE","No sabe",0.012,0.009,0.018,0.016
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.488,0.085,0.888,0.675
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.181,0.077,0.009,0.025
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.235,0.145,0.036,0.06
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.045,0.454,0.046,0.108
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0.01,0.001,0.09
"DIPUTADOS","En blanco",0.002,0.054,0.013,0.014
"DIPUTADOS","No sabe",0.049,0.175,0.007,0.028
