"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P06","Tiene Decidido que va a ir a votar",1,0.857,0.902,0.974,1,0.877,0.724
"P06","Tiene dudas sobre si va a ir a  votar",0,0.131,0.098,0.026,0,0.123,0.183
"P06","Tiene Decidido que no va a ir a votar",0,0.012,0,0,0,0,0.093
"P07","Mucho",0.841,0.52,0.379,0.492,0.664,0.559,0.242
"P07","Bastante",0.055,0.303,0.346,0.181,0.336,0.149,0.364
"P07","Poco",0.029,0.165,0.221,0.237,0,0.264,0.132
"P07","Nada",0,0.012,0.011,0.09,0,0.028,0.262
"P07","No sabe",0.075,0,0.043,0,0,0,0
"P08","Siempre",0.525,0.309,0.328,0.17,0,0.281,0.133
"P08","Casi siempre",0.227,0.291,0.131,0.287,0.336,0.418,0.227
"P08","Casi nunca",0.163,0.154,0.373,0.472,0.379,0.191,0.485
"P08","Nunca, pero esta es una excepción",0.085,0.246,0.168,0.071,0.285,0.11,0.155
"P13","Unión por la Patria",0.376,0.153,0.281,0.033,0.459,0.21,0
"P13","Juntos por el Cambio ",0.248,0.333,0.181,0.087,0,0,0.103
"P13","Juntos Somos Río Negro",0.134,0.161,0.239,0.04,0,0,0.138
"P13","Liberales",0.038,0.247,0.11,0.658,0.196,0.661,0.619
"P13","Izquierda",0.1,0.053,0.144,0.073,0.345,0,0
"P13","Otro",0,0.014,0.014,0.048,0,0,0
"P13","No sabe",0.104,0.039,0.031,0.061,0,0.129,0.14
"P18","Totalmente seguro",0.935,0.814,0.675,0.783,0.655,0.898,0.521
"P18","Bastante seguro",0.042,0.071,0.131,0.065,0,0.102,0.183
"P18","Algo seguro",0,0.046,0.064,0.115,0,0,0.249
"P18","Para nada seguro",0.023,0.069,0.13,0.037,0.345,0,0.047
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.618,0.163,0.399,0.011,0.462,0.079,0.15
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.297,0.803,0.228,0.381,0,0.308,0.334
"P27","En blanco",0.071,0.009,0.218,0.328,0.333,0.592,0.35
"P27","No sabe",0.014,0.025,0.155,0.28,0.205,0.021,0.166
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.461,0.536,0.11,0.077,0,0,0.103
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.441,0.413,0.506,0.824,0.558,0.843,0.662
"P28","En blanco",0.098,0.029,0.205,0.019,0,0.157,0.098
"P28","No sabe",0,0.022,0.179,0.08,0.442,0,0.137
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.607,0.127,0.128,0.013,0.806,0.079,0.141
