"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.268,0.302,0.239,0.283,0.303,0.24,0.211,0.082,0.326,0.264,0.148,0.514,0.028,0.025,0.524,0,0,0,6
"Buena",0.134,0.145,0.124,0.184,0.134,0.117,0.129,0.335,0.116,0.09,0.106,0.317,0,0.015,0.24,0,0,0,6
"Ni buena ni mala",0.133,0.077,0.18,0.092,0.088,0.156,0.24,0.277,0.128,0.092,0.241,0.144,0.075,0.153,0.146,0,0,0,6
"Mala",0.092,0.072,0.11,0.19,0.063,0.111,0.068,0.103,0.083,0.099,0.124,0.007,0.137,0.129,0.062,0,0,0,6
"Muy mala",0.363,0.391,0.338,0.251,0.403,0.376,0.31,0.159,0.347,0.444,0.372,0.018,0.748,0.667,0.028,0,0,0,6
"No sabe",0.01,0.013,0.009,0,0.009,0,0.042,0.044,0,0.011,0.009,0,0.012,0.011,0,0,0,0,6
"Positiva",0.402,0.447,0.363,0.467,0.437,0.357,0.34,0.417,0.442,0.354,0.254,0.831,0.028,0.04,0.764,0,0,0,4
"Neutra",0.133,0.077,0.18,0.092,0.088,0.156,0.24,0.277,0.128,0.092,0.241,0.144,0.075,0.153,0.146,0,0,0,4
"Negativa",0.455,0.463,0.448,0.441,0.466,0.487,0.378,0.262,0.43,0.543,0.496,0.025,0.885,0.796,0.09,0,0,0,4
"No sabe",0.01,0.013,0.009,0,0.009,0,0.042,0.044,0,0.011,0.009,0,0.012,0.011,0,0,0,0,4
