"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.304,0.328,0.276,0.312,0.295,0.291,0.335,0.243,0.345,0.299,0.195,0.576,0.052,0.083,0.543,0.344,0.261,0.292,6
"Buena",0.149,0.148,0.151,0.195,0.147,0.111,0.169,0.136,0.166,0.139,0.139,0.203,0.057,0.034,0.219,0.16,0.118,0.167,6
"Ni buena ni mala",0.125,0.128,0.123,0.095,0.089,0.186,0.152,0.197,0.112,0.084,0.16,0.085,0.128,0.136,0.117,0.117,0.14,0.122,6
"Mala",0.1,0.079,0.124,0.049,0.112,0.131,0.076,0.104,0.092,0.109,0.145,0.025,0.147,0.186,0.029,0.108,0.1,0.09,6
"Muy mala",0.302,0.304,0.3,0.329,0.34,0.273,0.224,0.298,0.256,0.365,0.336,0.09,0.606,0.537,0.091,0.246,0.37,0.308,6
"No sabe",0.02,0.013,0.026,0.02,0.017,0.008,0.044,0.022,0.029,0.004,0.025,0.021,0.01,0.024,0.001,0.025,0.011,0.021,6
"Positiva",0.453,0.476,0.427,0.507,0.442,0.402,0.504,0.379,0.511,0.438,0.334,0.779,0.109,0.117,0.762,0.504,0.379,0.459,4
"Neutra",0.125,0.128,0.123,0.095,0.089,0.186,0.152,0.197,0.112,0.084,0.16,0.085,0.128,0.136,0.117,0.117,0.14,0.122,4
"Negativa",0.402,0.383,0.424,0.378,0.452,0.404,0.3,0.402,0.348,0.474,0.481,0.115,0.753,0.723,0.12,0.354,0.47,0.398,4
"No sabe",0.02,0.013,0.026,0.02,0.017,0.008,0.044,0.022,0.029,0.004,0.025,0.021,0.01,0.024,0.001,0.025,0.011,0.021,4
