"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Juan Schiaretti","Positiva",0.296,0.401,0.193,0.394,0.234,0.248,0.36,0.35,0.23,0.338,0.191,0.413,0,0.229,0.355,0,0,0
"Juan Schiaretti","Neutra",0.454,0.368,0.538,0.39,0.507,0.439,0.449,0.415,0.557,0.349,0.457,0.454,0.816,0.259,0.558,0,0,0
"Juan Schiaretti","Negativa",0.19,0.204,0.177,0.122,0.205,0.313,0.079,0.129,0.135,0.313,0.276,0.082,0.184,0.359,0.087,0,0,0
"Juan Schiaretti","No sabe",0.06,0.027,0.092,0.094,0.054,0,0.112,0.106,0.078,0,0.076,0.051,0,0.153,0,0,0,0
"Victoria Villarruel","Positiva",0.561,0.584,0.539,0.645,0.574,0.429,0.564,0.53,0.644,0.476,0.383,0.738,0.031,0.29,0.798,0,0,0
"Victoria Villarruel","Neutra",0.137,0.151,0.123,0,0.171,0.257,0.111,0.233,0.098,0.11,0.197,0.142,0,0.122,0.097,0,0,0
"Victoria Villarruel","Negativa",0.263,0.265,0.262,0.261,0.255,0.314,0.213,0.183,0.199,0.414,0.372,0.069,0.969,0.506,0.105,0,0,0
"Victoria Villarruel","No sabe",0.039,0,0.076,0.094,0,0,0.112,0.054,0.059,0,0.048,0.051,0,0.082,0,0,0,0
"Aníbal Tortoriello","Positiva",0.431,0.387,0.471,0.491,0.338,0.515,0.451,0.35,0.431,0.494,0.382,0.598,0.652,0.288,0.626,0,0,0
"Aníbal Tortoriello","Neutra",0.194,0.209,0.18,0.276,0.188,0.122,0.165,0.128,0.256,0.167,0.191,0.159,0.031,0.161,0.148,0,0,0
"Aníbal Tortoriello","Negativa",0.337,0.377,0.3,0.139,0.44,0.363,0.384,0.47,0.254,0.339,0.427,0.192,0.317,0.424,0.226,0,0,0
"Aníbal Tortoriello","No sabe",0.038,0.027,0.049,0.094,0.034,0,0,0.052,0.059,0,0,0.051,0,0.127,0,0,0,0
"Patricia Bullrich","Positiva",0.493,0.511,0.476,0.562,0.459,0.371,0.664,0.532,0.525,0.419,0.386,0.657,0.031,0.162,0.717,0,0,0
"Patricia Bullrich","Neutra",0.159,0.208,0.112,0.15,0.225,0.074,0.108,0.104,0.205,0.143,0.11,0.179,0,0.18,0.129,0,0,0
