"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.112,0.092,0.132,0.085,0.151,0.082,0.106,0.046,0.149,0.12,0.118,0.149,0,0.151,0.103,0,0,0
"2",0.1,0.137,0.066,0.189,0.013,0.155,0.072,0.168,0.08,0.066,0.068,0.107,0.606,0.191,0.08,0,0,0
"3",0.114,0.163,0.066,0.117,0.15,0.033,0.13,0.288,0.077,0.004,0.282,0.068,0,0.018,0.157,0,0,0
"4",0.029,0.028,0.028,0,0.025,0.027,0.112,0,0.026,0.059,0.026,0.028,0.017,0.021,0.016,0,0,0
"5",0.158,0.18,0.137,0.216,0.172,0.076,0.113,0.168,0.136,0.181,0.089,0.2,0.167,0.129,0.216,0,0,0
"6",0.042,0.027,0.056,0.021,0.059,0.051,0.025,0,0.036,0.091,0.058,0.038,0.162,0.09,0.03,0,0,0
"7",0.02,0.026,0.014,0,0.035,0.03,0,0,0.026,0.029,0.063,0.004,0,0.044,0,0,0,0
"8",0.044,0.057,0.032,0.01,0.057,0.078,0.03,0.021,0.032,0.084,0.034,0.037,0,0.06,0.05,0,0,0
"9-Pésimo",0.242,0.125,0.354,0.244,0.232,0.217,0.31,0.145,0.302,0.244,0.141,0.236,0,0.244,0.174,0,0,0
"No sabe",0.139,0.165,0.115,0.118,0.106,0.251,0.102,0.164,0.136,0.122,0.121,0.133,0.048,0.052,0.174,0,0,0
