"var","categoria","Si","No"
"P12","Gran excedente habitual",0.039,0
"P12","Gran excedente excepcional",0.002,0
"P12","Pequeño excedente habitual",0.039,0.016
"P12","Pequeño excedente excepcional",0.066,0.029
"P12","Alcanza gastos familia",0.122,0.102
"P12","No alcanza gastos familia",0.078,0.093
"P12","Solo NBFamiliares",0.274,0.277
"P12","No alcanza NBFamiliares",0.378,0.478
"P12","No sabe",0.002,0.005
"P13","Muy buena",0.113,0.172
"P13","Buena",0.126,0.249
"P13","Ni buena ni mala",0.254,0.272
"P13","Mala",0.311,0.197
"P13","Muy mala",0.184,0.102
"P13","No sabe",0.012,0.008
"P14","Muy buena",0.317,0.147
"P14","Buena",0.151,0.157
"P14","Ni buena ni mala",0.131,0.27
"P14","Mala",0.115,0.27
"P14","Muy mala",0.286,0.151
"P14","No sabe",0,0.005
"P16","Muy buena",0.24,0.224
"P16","Buena",0.143,0.218
"P16","Ni buena ni mala",0.215,0.241
"P16","Mala",0.228,0.198
"P16","Muy mala",0.157,0.113
"P16","No sabe",0.017,0.006
"P19","Muy buena",0.134,0.1
"P19","Buena",0.123,0.31
"P19","Ni buena ni mala",0.279,0.318
"P19","Mala",0.288,0.127
"P19","Muy mala",0.17,0.131
"P19","No sabe",0.006,0.014
"P20","Gobierno nacional",0.304,0.252
"P20","Gobierno provincial",0.562,0.53
"P20","No sabe",0.134,0.218
"P21","El anterior gobierno de Arabela Carreras",0.29,0.363
"P21","El actual gobierno de Alberto Weretilneck",0.609,0.477
"P21","No sabe",0.101,0.16
"P22","El anterior gobierno de Alberto Fernández",0.346,0.326
"P22","El actual gobierno de Javier Milei",0.632,0.625
"P22","No sabe",0.022,0.049
"P23","Empleado sector publico",0.299,0.166
"P23","Empleado sector privado",0.21,0.21
"P23","Changas o trabajos eventuales",0.241,0.303
"P23","Estudiante",0.017,0.033
"P23","Amas de casa",0.055,0.113
"P23","Profesional o independiente",0.101,0.027
"P23","Comerciante, emprendedor o empresario",0.036,0.054
"P23","Trabajador informal",0.007,0.008
"P23","No tengo trabajo",0.034,0.086
"P24","Muy de acuerdo",0.246,0.204
"P24","De acuerdo",0.185,0.131
"P24","Ni de acuerdo ni en desacuerdo",0.273,0.405
"P24","En desacuerdo",0.158,0.151
"P24","Muy en desacuerdo",0.089,0.089
"P24","No sabe",0.049,0.02
"P25","Muy de acuerdo",0.228,0.078
"P25","De acuerdo",0.11,0.102
"P25","Ni de acuerdo ni en desacuerdo",0.143,0.23
"P25","En desacuerdo",0.359,0.381
"P25","Muy en desacuerdo",0.158,0.166
"P25","No sabe",0.002,0.043
"P27","Muy de acuerdo",0.342,0.072
"P27","De acuerdo",0.132,0.215
"P27","Ni de acuerdo ni en desacuerdo",0.141,0.383
"P27","En desacuerdo",0.252,0.15
"P27","Muy en desacuerdo",0.13,0.175
"P27","No sabe",0.003,0.005
"P28","Si",0.86,0.389
"P28","No",0.14,0.611
"P29","Muy de acuerdo",0.378,0.151
"P29","De acuerdo",0.128,0.204
"P29","Ni de acuerdo ni en desacuerdo",0.154,0.283
"P29","En desacuerdo",0.226,0.178
