"var","categoria","Inseguridad y narcotráfico","Altos impuestos y tarifas","Educación y estado de las escuelas","Inflación","Estado de la salud","Corrupción","Pobreza","Medio ambiente, incendios y contaminación","Falta de trabajo","No sabe"
"P12","Gran excedente habitual",0.005,0.07,0,0.007,0.073,0,0,0,0,0
"P12","Gran excedente excepcional",0,0,0,0,0.035,0,0,0,0,0
"P12","Pequeño excedente habitual",0.009,0.018,0.079,0.011,0,0,0,0,0,0
"P12","Pequeño excedente excepcional",0.059,0.018,0.097,0.109,0.035,0.212,0,0,0,0
"P12","Alcanza gastos familia",0.11,0.097,0.102,0.108,0.231,0.183,0,0,0.054,0
"P12","No alcanza gastos familia",0.089,0.035,0.086,0.109,0,0.044,0,0,0,0
"P12","Solo NBFamiliares",0.332,0.35,0.465,0.293,0.348,0.297,0.037,1,0.824,0
"P12","No alcanza NBFamiliares",0.396,0.412,0.165,0.355,0.263,0.264,0.963,0,0.122,1
"P12","No sabe",0,0,0.006,0.008,0.015,0,0,0,0,0
"P13","Muy buena",0.116,0.157,0.085,0.197,0,0,0.684,0,0.637,1
"P13","Buena",0.127,0.084,0.216,0.143,0.108,0.044,0.11,0,0.187,0
"P13","Ni buena ni mala",0.246,0.367,0.252,0.184,0.163,0.307,0.037,1,0.176,0
"P13","Mala",0.265,0.186,0.317,0.224,0.165,0.292,0,0,0,0
"P13","Muy mala",0.229,0.206,0.121,0.184,0.564,0.357,0.169,0,0,0
"P13","No sabe",0.017,0,0.009,0.068,0,0,0,0,0,0
"P14","Muy buena",0.173,0.238,0.465,0.269,0.165,0.245,0.115,0,0.187,1
"P14","Buena",0.146,0.187,0.158,0.138,0.087,0.206,0,0,0.054,0
"P14","Ni buena ni mala",0.138,0.239,0.171,0.09,0.126,0.29,0,0,0,0
"P14","Mala",0.159,0.116,0.044,0.172,0.064,0.038,0.721,0,0.637,0
"P14","Muy mala",0.384,0.22,0.153,0.331,0.558,0.221,0.164,1,0.122,0
"P14","No sabe",0,0,0.009,0,0,0,0,0,0,0
"P16","Muy buena",0.29,0.074,0.057,0.219,0.266,0,0,0,0.122,0
"P16","Buena",0.217,0.112,0.257,0.117,0.184,0.421,0,1,0.187,1
"P16","Ni buena ni mala",0.139,0.329,0.344,0.243,0.158,0.399,0.091,0,0.054,0
"P16","Mala",0.199,0.381,0.153,0.172,0.125,0.137,0.684,0,0.637,0
"P16","Muy mala",0.147,0.104,0.148,0.245,0.249,0.043,0.225,0,0,0
"P16","No sabe",0.008,0,0.041,0.004,0.018,0,0,0,0,0
"P19","Muy buena",0.132,0.116,0.005,0.275,0,0,0,0,0.637,0
"P19","Buena",0.149,0.216,0.147,0.146,0.147,0.056,0.684,0,0.187,0
"P19","Ni buena ni mala",0.239,0.239,0.391,0.149,0.139,0.392,0.11,1,0.176,0
"P19","Mala",0.297,0.254,0.266,0.183,0.165,0.148,0.091,0,0,0
"P19","Muy mala",0.183,0.175,0.172,0.234,0.531,0.404,0.115,0,0,0
"P19","No sabe",0,0,0.019,0.013,0.018,0,0,0,0,1
"P20","Gobierno nacional",0.358,0.316,0.132,0.314,0.214,0.043,0.836,1,0.946,0
"P20","Gobierno provincial",0.562,0.517,0.701,0.579,0.701,0.688,0.054,0,0.054,0
"P20","No sabe",0.08,0.167,0.167,0.107,0.085,0.269,0.11,0,0,1
"P21","El anterior gobierno de Arabela Carreras",0.181,0.22,0.39,0.376,0.093,0.109,1,0,0,0
"P21","El actual gobierno de Alberto Weretilneck",0.78,0.617,0.58,0.519,0.907,0.835,0,0,0,0
"P21","No sabe",0.039,0.163,0.03,0.105,0,0.056,0,0,1,0
"P22","El anterior gobierno de Alberto Fernández",0.251,0.025,0.592,0.576,0.307,0,0,0,0.221,0
"P22","El actual gobierno de Javier Milei",0.719,0.975,0.408,0.417,0.693,1,0.907,1,0.779,0
"P22","No sabe",0.03,0,0,0.007,0,0,0.093,0,0,0
"P23","Empleado sector publico",0.205,0.159,0.282,0.323,0.409,0.043,0,0,0.813,0
"P23","Empleado sector privado",0.135,0.321,0.289,0.207,0.203,0.231,0.115,1,0,0
"P23","Changas o trabajos eventuales",0.286,0.194,0.119,0.244,0.184,0.048,0,0,0,0
"P23","Estudiante",0.05,0.045,0.059,0,0,0.212,0,0,0,0
"P23","Amas de casa",0.078,0.101,0.081,0.092,0.012,0.098,0.11,0,0.187,1
"P23","Profesional o independiente",0.113,0.086,0.127,0.09,0.152,0,0.054,0,0,0
"P23","Comerciante, emprendedor o empresario",0.074,0.041,0.026,0.013,0.04,0.098,0.037,0,0,0
"P23","Trabajador informal",0.011,0.013,0,0.004,0,0,0,0,0,0
"P23","No tengo trabajo",0.048,0.04,0.017,0.027,0,0.27,0.684,0,0,0
"P24","Muy de acuerdo",0.189,0.28,0.257,0.245,0.136,0.134,0.11,0,0.824,0
"P24","De acuerdo",0.201,0.237,0.151,0.12,0.113,0.348,0,1,0.122,0
"P24","Ni de acuerdo ni en desacuerdo",0.333,0.291,0.312,0.225,0.194,0.109,0.738,0,0.054,1
"P24","En desacuerdo",0.141,0.081,0.142,0.223,0.151,0.409,0.037,0,0,0
"P24","Muy en desacuerdo",0.101,0.101,0.104,0.142,0.327,0,0.115,0,0,0
"P24","No sabe",0.035,0.01,0.034,0.045,0.079,0,0,0,0,0
"P25","Muy de acuerdo",0.074,0.117,0.227,0.174,0.035,0,0,0,0,0
"P25","De acuerdo",0.12,0.134,0.2,0.125,0.108,0.323,0,0,0.176,0
"P25","Ni de acuerdo ni en desacuerdo",0.133,0.207,0.25,0.111,0.114,0.418,0,0,0.187,1
"P25","En desacuerdo",0.501,0.414,0.268,0.335,0.328,0.168,0.147,1,0.637,0
"P25","Muy en desacuerdo",0.164,0.128,0.055,0.255,0.415,0.091,0.853,0,0,0
"P25","No sabe",0.008,0,0,0,0,0,0,0,0,0
"P26","Si",0.783,0.728,0.657,0.735,0.664,0.768,0.316,1,1,0
"P26","No",0.217,0.272,0.343,0.265,0.336,0.232,0.684,0,0,1
"P27","Muy de acuerdo",0.131,0.159,0.331,0.466,0.226,0,0,0,0,0
"P27","De acuerdo",0.173,0.255,0.174,0.167,0.091,0.245,0,0,0.054,1
"P27","Ni de acuerdo ni en desacuerdo",0.195,0.277,0.206,0.157,0.044,0.445,0,0,0,0
"P27","En desacuerdo",0.393,0.227,0.206,0.149,0.171,0.086,0.147,1,0.946,0
"P27","Muy en desacuerdo",0.108,0.082,0.083,0.056,0.468,0.173,0.853,0,0,0
"P27","No sabe",0,0,0,0.005,0,0.051,0,0,0,0
"P28","Si",0.81,0.754,0.72,0.663,0.833,0.957,0.316,1,1,0
"P28","No",0.19,0.246,0.28,0.337,0.167,0.043,0.684,0,0,1
"P29","Muy de acuerdo",0.254,0.252,0.363,0.411,0.048,0.245,0,0,0.122,0
"P29","De acuerdo",0.137,0.273,0.218,0.181,0.171,0.109,0,0,0,0
"P29","Ni de acuerdo ni en desacuerdo",0.213,0.227,0.201,0.082,0.332,0.426,0,0,0.241,0
"P29","En desacuerdo",0.28,0.179,0.13,0.177,0.221,0.09,0.201,1,0.637,0
"P29","Muy en desacuerdo",0.105,0.06,0.073,0.138,0.21,0.13,0.799,0,0,1
"P29","No sabe",0.011,0.009,0.015,0.011,0.018,0,0,0,0,0
"P30","No estaba enterado",0.185,0.234,0.344,0.202,0.134,0.503,0,0,0.187,1
"P30","De acuerdo",0.385,0.417,0.39,0.431,0.36,0.238,0.684,0,0,0
"P30","En desacuerdo",0.34,0.274,0.179,0.332,0.375,0.259,0.316,1,0.759,0
"P30","No sabe",0.09,0.075,0.087,0.035,0.131,0,0,0,0.054,0
"P31","No tengo cable ni internet",0.209,0.194,0.153,0.303,0.037,0.212,0.115,0,0.187,1
"P31","Si tuve",0.641,0.649,0.626,0.477,0.712,0.375,0.775,1,0.176,0
"P31","No tuve",0.15,0.157,0.221,0.22,0.251,0.413,0.11,0,0.637,0
"P32","Reclamando directamente a la empresa",0.374,0.332,0.228,0.714,0.593,0.794,0.037,0,0.186,0
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.232,0.485,0.434,0.135,0.22,0.206,0,0,0.814,0
"P32","Nunca se pudo resolver",0.394,0.183,0.338,0.151,0.187,0,0.963,1,0,0
"P33","1-Excelente",0.26,0.068,0.154,0.268,0.027,0.318,0,0,0.635,0
"P33","2",0.082,0.016,0.189,0.156,0.057,0.044,0.109,0,0,0
"P33","3",0.053,0.018,0.006,0.022,0.024,0,0,0,0,0
"P33","4",0.052,0.077,0.05,0.106,0.027,0.056,0,0,0,0
"P33","5",0.155,0.215,0.147,0.124,0.106,0.444,0.722,0,0.123,0
"P33","6",0.097,0.108,0.008,0.01,0.109,0,0,0,0,0
"P33","7",0.045,0.071,0.035,0.052,0.072,0,0,0,0,0
"P33","8",0.041,0.078,0.04,0.046,0.143,0,0,1,0.242,0
"P33","9-Pésimo",0.203,0.324,0.291,0.195,0.364,0.138,0.115,0,0,1
"P33","No sabe",0.012,0.025,0.08,0.021,0.071,0,0.054,0,0,0
"P34","1-Excelente",0.209,0.043,0.217,0.25,0.055,0.317,0,0,0.637,0
"P34","2",0.086,0.055,0.102,0.097,0.057,0.043,0.11,0,0,0
"P34","3",0.114,0.038,0.013,0.153,0.049,0,0,0,0,0
"P34","4",0.022,0.088,0.086,0.137,0.028,0.056,0.684,0,0,0
"P34","5",0.125,0.19,0.1,0.046,0.064,0.212,0.037,0,0.122,0
"P34","6",0.067,0.009,0.03,0.02,0.073,0,0,0,0,0
"P34","7",0.008,0.143,0.027,0.032,0,0.187,0,1,0.187,0
"P34","8",0.04,0.065,0.052,0.041,0.204,0.048,0,0,0.054,0
"P34","9-Pésimo",0.31,0.334,0.294,0.211,0.4,0.137,0.115,0,0,1
"P34","No sabe",0.019,0.035,0.079,0.013,0.07,0,0.054,0,0,0
"P35","1-Excelente",0.242,0.086,0.094,0.329,0.058,0.317,0.684,0,0.637,0
"P35","2",0.06,0.037,0.085,0.055,0.015,0,0.11,0,0,0
"P35","3",0.109,0.039,0.031,0.077,0.06,0.043,0,0,0,0
"P35","4",0.025,0.068,0.041,0.14,0.091,0.192,0,0,0,0
"P35","5",0.123,0.231,0.276,0.067,0.073,0.212,0.037,0,0.122,0
"P35","6",0.086,0.004,0.044,0.053,0.065,0,0,0,0,0
"P35","7",0.039,0.125,0.033,0.087,0.029,0,0,0,0.241,0
"P35","8",0.085,0.128,0.051,0.016,0.077,0.099,0,0,0,0
