"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P12","Gran excedente habitual",0.152,0,0,0,0.015,0
"P12","Gran excedente excepcional",0,0,0,0.018,0,0
"P12","Pequeño excedente habitual",0.007,0.017,0,0.013,0.045,0
"P12","Pequeño excedente excepcional",0.01,0.11,0.018,0.025,0.098,0.841
"P12","Alcanza gastos familia",0.153,0.063,0.082,0.143,0.113,0.159
"P12","No alcanza gastos familia",0.027,0.045,0.063,0.1,0.077,0
"P12","Solo NBFamiliares",0.25,0.595,0.3,0.341,0.348,0
"P12","No alcanza NBFamiliares",0.393,0.17,0.537,0.36,0.297,0
"P12","No sabe",0.008,0,0,0,0.007,0
"P13","Muy buena",0.331,0.059,0.162,0.238,0.068,0
"P13","Buena",0.235,0.265,0.129,0.024,0.147,0
"P13","Ni buena ni mala",0.214,0.325,0.39,0.2,0.18,0.841
"P13","Mala",0.045,0.069,0.257,0.338,0.279,0.159
"P13","Muy mala",0.175,0.187,0.057,0.188,0.316,0
"P13","No sabe",0,0.095,0.005,0.012,0.01,0
"P14","Muy buena",0.342,0.037,0.075,0.465,0.347,0
"P14","Buena",0.01,0.154,0.055,0.108,0.213,0.159
"P14","Ni buena ni mala",0.124,0.206,0.179,0.071,0.145,0.841
"P14","Mala",0.118,0.134,0.235,0.267,0.069,0
"P14","Muy mala",0.406,0.469,0.456,0.089,0.222,0
"P14","No sabe",0,0,0,0,0.004,0
"P16","Muy buena",0.442,0.264,0.179,0.138,0.068,0
"P16","Buena",0.127,0.412,0.206,0.081,0.16,0
"P16","Ni buena ni mala",0.216,0.255,0.205,0.288,0.237,1
"P16","Mala",0,0.039,0.332,0.462,0.218,0
"P16","Muy mala",0.202,0.03,0.015,0.031,0.317,0
"P16","No sabe",0.013,0,0.063,0,0,0
"P19","Muy buena",0.288,0.182,0.053,0.229,0.04,0
"P19","Buena",0.186,0.326,0.257,0.088,0.138,0
"P19","Ni buena ni mala",0.345,0.215,0.4,0.152,0.191,0.841
"P19","Mala",0.007,0.16,0.129,0.41,0.292,0.159
"P19","Muy mala",0.16,0.117,0.157,0.095,0.32,0
"P19","No sabe",0.014,0,0.004,0.026,0.019,0
"P20","Gobierno nacional",0.551,0.381,0.515,0.329,0.082,0
"P20","Gobierno provincial",0.223,0.515,0.341,0.581,0.791,0.159
"P20","No sabe",0.226,0.104,0.144,0.09,0.127,0.841
"P21","El anterior gobierno de Arabela Carreras",0.235,0.254,0.082,0.351,0.303,0
"P21","El actual gobierno de Alberto Weretilneck",0.765,0.589,0.861,0.574,0.649,1
"P21","No sabe",0,0.157,0.057,0.075,0.048,0
"P22","El anterior gobierno de Alberto Fernández",0.497,0.081,0.067,0.187,0.197,0
"P22","El actual gobierno de Javier Milei",0.503,0.919,0.915,0.813,0.765,0
"P22","No sabe",0,0,0.018,0,0.038,0
"P23","Empleado sector publico",0.282,0.225,0.249,0.283,0.206,0
