"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.11,0.117,0.103,0,0.049,0.21,0.224,0.197,0.083,0.063,0.289,0.038,0.043,0.087,0.131,0,0,0,6
"Buena",0.184,0.199,0.169,0.158,0.191,0.208,0.156,0.202,0.205,0.14,0.279,0.058,0.206,0.274,0.028,0,0,0,6
"Ni buena ni mala",0.227,0.167,0.284,0.266,0.175,0.238,0.304,0.089,0.299,0.26,0.252,0.205,0.202,0.226,0.213,0,0,0,6
"Mala",0.287,0.22,0.352,0.349,0.36,0.214,0.148,0.147,0.323,0.371,0.102,0.385,0.294,0.168,0.46,0,0,0,6
"Muy mala",0.187,0.294,0.084,0.227,0.222,0.13,0.145,0.352,0.09,0.161,0.078,0.296,0.255,0.242,0.168,0,0,0,6
"No sabe",0.005,0.003,0.008,0,0.003,0,0.023,0.013,0,0.005,0,0.018,0,0.003,0,0,0,0,6
"Positiva",0.294,0.316,0.272,0.158,0.24,0.418,0.38,0.399,0.288,0.203,0.568,0.096,0.249,0.361,0.159,0,0,0,4
"Neutra",0.227,0.167,0.284,0.266,0.175,0.238,0.304,0.089,0.299,0.26,0.252,0.205,0.202,0.226,0.213,0,0,0,4
"Negativa",0.474,0.514,0.436,0.576,0.582,0.344,0.293,0.499,0.413,0.532,0.18,0.681,0.549,0.41,0.628,0,0,0,4
"No sabe",0.005,0.003,0.008,0,0.003,0,0.023,0.013,0,0.005,0,0.018,0,0.003,0,0,0,0,4
