"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.201,0.223,0.18,0.311,0.117,0.207,0.295,0.234,0.169,0.211,0.174,0.029,0.384,0.349,0.064,0,0,0,6
"Buena",0.081,0.07,0.092,0,0.116,0.099,0.048,0.111,0.032,0.119,0.105,0.041,0.106,0.104,0.045,0,0,0,6
"Ni buena ni mala",0.101,0.103,0.099,0.027,0.15,0.068,0.101,0.07,0.112,0.116,0.111,0.062,0.107,0.16,0.032,0,0,0,6
"Mala",0.239,0.257,0.22,0.232,0.207,0.268,0.281,0.27,0.251,0.192,0.349,0.164,0.112,0.169,0.316,0,0,0,6
"Muy mala",0.361,0.341,0.382,0.43,0.391,0.358,0.221,0.287,0.416,0.36,0.251,0.665,0.291,0.213,0.519,0,0,0,6
"No sabe",0.017,0.006,0.027,0,0.019,0,0.054,0.028,0.02,0.002,0.01,0.039,0,0.005,0.024,0,0,0,6
"Positiva",0.282,0.293,0.272,0.311,0.233,0.306,0.343,0.345,0.201,0.33,0.279,0.07,0.49,0.453,0.109,0,0,0,4
"Neutra",0.101,0.103,0.099,0.027,0.15,0.068,0.101,0.07,0.112,0.116,0.111,0.062,0.107,0.16,0.032,0,0,0,4
"Negativa",0.6,0.598,0.602,0.662,0.598,0.626,0.502,0.557,0.667,0.552,0.6,0.829,0.403,0.382,0.835,0,0,0,4
"No sabe",0.017,0.006,0.027,0,0.019,0,0.054,0.028,0.02,0.002,0.01,0.039,0,0.005,0.024,0,0,0,4
