"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P12","Gran excedente habitual",0.053,0.001,0.006,0
"P12","Gran excedente excepcional",0.008,0.004,0.003,0
"P12","Pequeño excedente habitual",0.046,0.084,0.025,0.141
"P12","Pequeño excedente excepcional",0.082,0.037,0.038,0.273
"P12","Alcanza gastos familia",0.203,0.144,0.113,0.179
"P12","No alcanza gastos familia",0.093,0.103,0.096,0
"P12","Solo NBFamiliares",0.27,0.289,0.28,0.177
"P12","No alcanza NBFamiliares",0.236,0.324,0.431,0.23
"P12","No sabe",0.009,0.014,0.008,0
"P13","Empleado sector publico",0.215,0.193,0.264,0.276
"P13","Empleado sector privado",0.234,0.255,0.199,0.367
"P13","Changas o trabajos eventuales",0.162,0.226,0.2,0
"P13","Estudiante",0.04,0.025,0.039,0
"P13","Amas de casa",0.068,0.071,0.06,0
"P13","Profesional o independiente",0.122,0.099,0.1,0.357
"P13","Comerciante, emprendedor o empresario",0.084,0.042,0.034,0
"P13","Trabajador informal",0.03,0.019,0.025,0
"P13","No tengo trabajo",0.045,0.07,0.079,0
"P14","Positiva",0.287,0.213,0.246,0.604
"P14","Neutra",0.27,0.374,0.373,0.205
"P14","Negativa",0.443,0.398,0.37,0.095
"P14","No sabe",0,0.015,0.011,0.096
"P15","Positiva",0.753,0.603,0.177,0.569
"P15","Neutra",0.088,0.269,0.138,0.188
"P15","Negativa",0.148,0.119,0.68,0.198
"P15","No sabe",0.011,0.009,0.005,0.045
"P20","Positiva",0.296,0.265,0.288,0.531
"P20","Neutra",0.244,0.336,0.357,0.233
"P20","Negativa",0.454,0.371,0.34,0.095
"P20","No sabe",0.006,0.028,0.015,0.141
"P21","Gobierno nacional",0.184,0.144,0.482,0.045
"P21","Gobierno provincial",0.69,0.613,0.403,0.369
"P21","No sabe",0.126,0.243,0.115,0.586
"P22","El anterior gobierno de Anabela Carreras",0.297,0.402,0.435,0
"P22","El actual gobierno de Alberto Weretilneck",0.608,0.474,0.465,0.346
"P22","No sabe",0.095,0.124,0.1,0.654
"P23","El anterior gobierno de Alberto Fernández",0.616,0.382,0.176,0
"P23","El actual gobierno de Javier Milei",0.291,0.372,0.751,0
"P23","No sabe",0.093,0.246,0.073,1
"P24","Si",0.42,0.403,0.35,0.491
"P24","No",0.395,0.35,0.447,0.253
"P24","No sabe",0.185,0.247,0.203,0.256
"P25","Si",0.198,0.218,0.269,0
"P25","No",0.591,0.488,0.41,0.413
"P25","No sabe",0.211,0.294,0.321,0.587
"P26","Si",0.787,0.758,0.867,0.784
"P26","No",0.213,0.242,0.133,0.216
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.287,0.228,0.664,0.276
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.117,0.145,0.136,0
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.311,0.332,0.118,0.414
"P27","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas",0.17,0.163,0.05,0.037
"P27","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar",0.102,0.113,0.027,0.273
"P27","No sabe",0.013,0.019,0.005,0
"P28","1-Excelente",0.192,0.153,0.13,0.273
"P28","2",0.127,0.117,0.091,0.083
"P28","3",0.051,0.082,0.061,0
"P28","4",0.054,0.06,0.067,0
