"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P07","A Alberto Fernández",0.887,0.213,0.298,0.157
"P07","A Sergio Massa",0.018,0.533,0.039,0.03
"P07","A algún candidato del peronismo",0.051,0.173,0.658,0.175
"P07","A algún candidato del kirchnerismo",0.044,0.081,0.005,0.638
"P10","Eduardo Costa por Cambia Santa Cruz",0.045,0.016,0.016,0.008
"P10","Máximo Kirchner por el Frente de Todos",0.375,0.402,0.106,0.291
"P10","Pablo Grasso por el Frente de Todos",0.247,0.305,0.254,0.28
"P10","Javier Belloni por el Frente de Todos",0.133,0.152,0.172,0.182
"P10","Pablo González por el Frente de Todos",0.007,0.039,0.05,0.08
"P10","Fernando Cotillo por el Frente de Todos",0,0.02,0.121,0.023
"P10","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.149,0.03,0.197,0.096
"P10","Roxana Reyes por Cambia Santa Cruz",0.024,0,0,0.001
"P10","No sabe",0.02,0.036,0.084,0.039
"P11","Eduardo Costa por Cambia Santa Cruz",0.029,0.016,0.016,0.01
"P11","Pablo Grasso por el Frente de Todos",0.25,0.45,0.376,0.282
"P11","Javier Belloni por el Frente de Todos",0.069,0.091,0.063,0.218
"P11","Alicia Kirchner por el Frente de Todos",0.534,0.177,0.18,0.245
"P11","Pablo González por el Frente de Todos",0,0.149,0.063,0.077
"P11","Fernando Cotillo por el Frente de Todos",0,0.02,0.026,0.021
"P11","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.059,0.06,0.217,0.093
"P11","Roxana Reyes por Cambia Santa Cruz",0.028,0,0,0.002
"P11","No sabe",0.031,0.037,0.059,0.052
"P12","Eduardo Costa por Cambia Santa Cruz",0.067,0.017,0.015,0.03
"P12","Javier Belloni por el Frente de Todos",0.201,0.248,0.289,0.189
"P12","Pablo Grasso por el Frente de Todos",0.201,0.42,0.343,0.408
"P12","Pablo González por el Frente de Todos",0.018,0.228,0.066,0.132
"P12","Fernando Cotillo por el Frente de Todos",0.229,0.019,0.026,0.03
"P12","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.152,0.05,0.184,0.105
"P12","Roxana Reyes por Cambia Santa Cruz",0.03,0,0.016,0.006
"P12","No sabe",0.102,0.018,0.061,0.1
"P13","Lo votaría",0.443,0.492,0.215,0.428
"P13","Puede que lo vote",0.189,0.12,0.152,0.391
"P13","Nunca lo votaría",0.177,0.152,0.494,0.128
"P13","No sabe",0.191,0.236,0.139,0.053
"P14","Lo votaría",0.596,0.489,0.128,0.477
"P14","Puede que lo vote",0.091,0.291,0.232,0.269
"P14","Nunca lo votaría",0.184,0.149,0.428,0.151
"P14","No sabe",0.129,0.071,0.212,0.103
"P15","Lo votaría",0.111,0.164,0.006,0.074
"P15","Puede que lo vote",0.134,0.147,0.044,0.032
"P15","Nunca lo votaría",0.578,0.56,0.712,0.841
"P15","No sabe",0.177,0.129,0.238,0.053
"P16","Lo votaría",0.175,0.141,0.311,0.109
"P16","Puede que lo vote",0.137,0.237,0.081,0.121
"P16","Nunca lo votaría",0.471,0.558,0.502,0.709
"P16","No sabe",0.217,0.064,0.106,0.061
"P17","Lo votaría",0.153,0.415,0.073,0.198
"P17","Puede que lo vote",0.125,0.209,0.169,0.298
"P17","Nunca lo votaría",0.431,0.323,0.682,0.389
"P17","No sabe",0.291,0.053,0.076,0.115
"P18","Lo votaría",0.13,0.444,0.272,0.256
"P18","Puede que lo vote",0.196,0.158,0.219,0.295
"P18","Nunca lo votaría",0.42,0.391,0.424,0.312
"P18","No sabe",0.254,0.007,0.085,0.137
"P19","Lo votaría",0.008,0.012,0.189,0.025
"P19","Puede que lo vote",0.087,0,0,0.06
"P19","Nunca lo votaría",0.753,0.981,0.75,0.863
"P19","No sabe",0.152,0.007,0.061,0.052
"P20","Lo votaría",0.175,0.515,0.345,0.421
"P20","Puede que lo vote",0.173,0.136,0.057,0.219
"P20","Nunca lo votaría",0.413,0.342,0.328,0.294
"P20","No sabe",0.239,0.007,0.27,0.066
"P21","Lo votaría",0.185,0.029,0.039,0.118
"P21","Puede que lo vote",0.117,0.265,0.097,0.122
"P21","Nunca lo votaría",0.377,0.526,0.698,0.613
"P21","No sabe",0.321,0.18,0.166,0.147
"P22","Muy buena",0.073,0.125,0.192,0.204
"P22","Buena",0.149,0.196,0.01,0.253
"P22","Ni buena ni mala",0.232,0.473,0.504,0.39
"P22","Mala",0.244,0.063,0.074,0.064
"P22","Muy mala",0.037,0.124,0.102,0.02
"P22","No sabe",0.265,0.019,0.118,0.069
"P23","Muy buena",0.494,0.355,0.068,0.403
"P23","Buena",0.228,0.138,0.129,0.206
"P23","Ni buena ni mala",0.115,0.371,0.313,0.243
"P23","Mala",0,0.095,0.3,0.094
"P23","Muy mala",0.081,0.041,0.154,0.021
"P23","No sabe",0.082,0,0.036,0.033
"P24","Muy buena",0.154,0.14,0,0.04
"P24","Buena",0.045,0.034,0,0
"P24","Ni buena ni mala",0.099,0.084,0.161,0.158
"P24","Mala",0.419,0.356,0.442,0.415
"P24","Muy mala",0.153,0.386,0.315,0.356
"P24","No sabe",0.13,0,0.082,0.031
"P25","Muy buena",0.408,0.35,0.215,0.368
"P25","Buena",0.179,0.144,0.015,0.285
"P25","Ni buena ni mala",0.162,0.054,0.167,0.235
"P25","Mala",0.04,0.256,0.353,0.078
"P25","Muy mala",0.081,0.065,0.232,0.031
"P25","No sabe",0.13,0.131,0.018,0.003
"P26","Muy buena",0.179,0.388,0.275,0.112
"P26","Buena",0.095,0.201,0.128,0.13
"P26","Ni buena ni mala",0.333,0.319,0.157,0.253
"P26","Mala",0.32,0.078,0.158,0.253
"P26","Muy mala",0.007,0.014,0.109,0.216
"P26","No sabe",0.066,0,0.173,0.036
"P27","Muy buena",0.3,0.359,0.112,0.23
"P27","Buena",0.059,0.259,0.331,0.271
"P27","Ni buena ni mala",0.058,0.106,0.208,0.307
"P27","Mala",0.27,0,0.209,0.129
"P27","Muy mala",0.085,0,0.126,0.049
"P27","No sabe",0.228,0.276,0.014,0.014
"P28","Muy buena",0.046,0.278,0.006,0.012
"P28","Buena",0.137,0.056,0,0.033
"P28","Ni buena ni mala",0.152,0.133,0.158,0.274
"P28","Mala",0.317,0.123,0.498,0.244
"P28","Muy mala",0.087,0.14,0.305,0.379
"P28","No sabe",0.261,0.27,0.033,0.058
"P29","Muy buena",0.038,0.194,0.047,0.058
"P29","Buena",0.071,0.081,0.018,0.12
"P29","Ni buena ni mala",0.188,0.213,0.268,0.445
"P29","Mala",0.268,0.127,0.385,0.083
"P29","Muy mala",0.107,0.078,0.173,0.199
"P29","No sabe",0.328,0.307,0.109,0.095
"P30","Muy buena",0.178,0.578,0.346,0.364
"P30","Buena",0.16,0.221,0.081,0.288
"P30","Ni buena ni mala",0.148,0.194,0.177,0.231
"P30","Mala",0.29,0.007,0.26,0.04
"P30","Muy mala",0.048,0,0.103,0.064
"P30","No sabe",0.176,0,0.033,0.013
