"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P06","Del Frente de Todos y el peronismo",0.472,0.459,0.205,0.313
"P06","De Juntos por el cambio",0.07,0.129,0.276,0.071
"P06","De los Liberales libertarios",0.159,0.112,0.258,0.105
"P06","De la Izquierda",0.052,0.102,0.045,0.02
"P06","No sabe",0.247,0.198,0.216,0.491
"P07","A Alberto Fernández",0.332,0.258,0.256,0.41
"P07","A Sergio Massa",0.139,0.101,0.09,0.007
"P07","A algún candidato del peronismo",0.161,0.153,0.345,0.264
"P07","A algún candidato del kirchnerismo",0.368,0.488,0.309,0.319
"P08","A Alberto Fernández",0.066,0.106,0.159,0.272
"P08","A Sergio Massa",0.217,0.082,0.142,0.008
"P08","A algún candidato del peronismo",0.188,0.161,0.218,0.123
"P08","A Cristina Fernández de Kirchner",0.529,0.651,0.481,0.597
"P09","A Horacio Rodriguez Larreta",0.509,0.569,0.152,0.28
"P09","A Mauricio Macri",0.124,0.084,0.276,0.066
"P09","A Patricia Bullrich",0.069,0.173,0.333,0.442
"P09","A Facundo Manes",0.298,0.101,0.066,0.212
"P09","A Gerardo Morales",0,0.073,0.173,0
"P10","Eduardo Costa por Cambia Santa Cruz",0.064,0.076,0.178,0.077
"P10","Máximo Kirchner por el Frente de Todos",0.151,0.122,0.107,0.124
"P10","Pablo Grasso por el Frente de Todos",0.079,0.222,0.154,0.123
"P10","Javier Belloni por el Frente de Todos",0.528,0.061,0.028,0.065
"P10","Pablo González por el Frente de Todos",0.057,0.086,0.017,0.006
"P10","Fernando Cotillo por el Frente de Todos",0.008,0.029,0.009,0.075
"P10","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.088,0.211,0.245,0.196
"P10","Roxana Reyes por Cambia Santa Cruz",0.003,0.033,0.112,0.053
"P10","No sabe",0.022,0.16,0.15,0.281
"P11","Eduardo Costa por Cambia Santa Cruz",0.04,0.087,0.204,0.036
"P11","Pablo Grasso por el Frente de Todos",0.172,0.239,0.144,0.147
"P11","Javier Belloni por el Frente de Todos",0.483,0.043,0.032,0.018
"P11","Alicia Kirchner por el Frente de Todos",0.095,0.143,0.065,0.135
"P11","Pablo González por el Frente de Todos",0.071,0.087,0.023,0.011
"P11","Fernando Cotillo por el Frente de Todos",0.016,0.002,0.011,0.086
"P11","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.085,0.223,0.246,0.172
"P11","Roxana Reyes por Cambia Santa Cruz",0.02,0.017,0.138,0.063
"P11","No sabe",0.018,0.159,0.137,0.332
"P12","Eduardo Costa por Cambia Santa Cruz",0.042,0.121,0.197,0.043
"P12","Javier Belloni por el Frente de Todos",0.559,0.108,0.035,0.055
"P12","Pablo Grasso por el Frente de Todos",0.104,0.258,0.187,0.145
"P12","Pablo González por el Frente de Todos",0.103,0.078,0.025,0.036
"P12","Fernando Cotillo por el Frente de Todos",0.03,0.029,0.028,0.052
"P12","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.063,0.107,0.19,0.211
"P12","Roxana Reyes por Cambia Santa Cruz",0.043,0.161,0.162,0.08
"P12","No sabe",0.056,0.138,0.176,0.378
"P13","Lo votaría",0.282,0.246,0.119,0.134
"P13","Puede que lo vote",0.204,0.176,0.093,0.182
"P13","Nunca lo votaría",0.413,0.548,0.715,0.34
"P13","No sabe",0.101,0.03,0.073,0.344
"P14","Lo votaría",0.269,0.274,0.12,0.125
"P14","Puede que lo vote",0.2,0.165,0.086,0.145
"P14","Nunca lo votaría",0.381,0.537,0.743,0.261
