"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P07","Inflación",0.29,0.349,0.376,0.549,0.532,0.324
"P07","Inseguridad",0.498,0.028,0.188,0.095,0.04,0.028
"P07","Pandemia",0,0.101,0.094,0.157,0.252,0.064
"P07","Educación",0.046,0.158,0.037,0.05,0.013,0.089
"P07","Transporte público",0,0.012,0.019,0,0.007,0.002
"P07","Desempleo",0.03,0.102,0.11,0.071,0.108,0.28
"P07","Corrupción",0.136,0.202,0.073,0.016,0.038,0.107
"P07","Vivienda",0,0,0.047,0,0,0.039
"P07","Otros",0,0.048,0.039,0.062,0.01,0.012
"P07","No sabe",0,0,0.017,0,0,0.055
"P08","Gerardo Zamora",0.332,0.586,0.548,0.72,0.541,0.539
"P08","Pablo Mirolo",0.301,0.021,0.063,0.023,0.097,0.042
"P08","Rodrigo Posse",0.014,0.138,0.049,0,0.013,0.042
"P08","Natalia Neme",0.124,0.111,0.077,0,0,0.002
"P08","Emilio Rached",0.138,0.066,0.073,0.025,0.018,0.042
"P08","Marcelo Lugones",0.017,0.014,0.028,0.189,0.091,0.014
"P08","No sabe",0.074,0.064,0.162,0.043,0.24,0.319
"P09","Gerardo Zamora",0.31,0.407,0.448,0.505,0.389,0.407
"P09","Pablo Mirolo",0.212,0.091,0.162,0.061,0.134,0.113
"P09","Rodrigo Posse",0.06,0.036,0.039,0.177,0.083,0.032
"P09","Natalia Neme",0.322,0.196,0.11,0,0.018,0.004
"P09","Emilio Rached",0.031,0.181,0.041,0.037,0,0.079
"P09","Marcelo Lugones",0.029,0.081,0.054,0,0,0.011
"P09","No sabe",0.036,0.008,0.146,0.22,0.376,0.354
"P10","A los candidatos del Frente Cívico por Santiago",0.463,0.506,0.532,0.563,0.277,0.443
"P10","A los candidatos del Frente de Todos",0.057,0.044,0.072,0.153,0.09,0.065
"P10","A los candidatos de Cambiemos",0.438,0.261,0.169,0.201,0.175,0.105
"P10","A otros candidatos",0.025,0.079,0.105,0.027,0.397,0.058
"P10","No sabe",0.017,0.11,0.122,0.056,0.061,0.329
"P11","Mucho mejor",0,0.254,0.22,0.173,0.143,0.068
"P11","Mejor",0.07,0.119,0.158,0.286,0.234,0.161
"P11","Peor",0.253,0.143,0.229,0.065,0.009,0.33
"P11","Mucho peor",0.677,0.449,0.301,0.468,0.601,0.344
"P11","No sabe",0,0.035,0.092,0.008,0.013,0.097
"P12","Mucho mejor",0,0.307,0.244,0.348,0.204,0.173
"P12","Mejor",0.048,0.206,0.279,0.325,0.156,0.339
"P12","Peor",0.247,0.219,0.217,0.108,0.154,0.181
"P12","Mucho peor",0.496,0.223,0.186,0.219,0.477,0.194
"P12","No sabe",0.209,0.045,0.074,0,0.009,0.113
"P13","Mucho mejor",0.085,0.105,0.25,0.359,0.261,0.092
"P13","Mejor",0.177,0.24,0.296,0.263,0.339,0.478
"P13","Peor",0.407,0.401,0.328,0.15,0.27,0.19
"P13","Mucho peor",0.223,0.241,0.054,0.228,0.101,0.069
"P13","No sabe",0.108,0.013,0.072,0,0.029,0.171
"P14","Mucho mejor",0,0.335,0.101,0.145,0,0.099
"P14","Mejor",0,0.618,0.429,0.562,0.306,0.242
"P14","Peor",0,0.024,0.281,0.146,0.227,0.12
"P14","Mucho peor",1,0.023,0.15,0.147,0.467,0.436
"P14","No sabe",0,0,0.039,0,0,0.103
"P15","Muy buena",0.135,0.152,0.275,0.348,0.209,0.223
"P15","Buena",0.07,0.316,0.298,0.109,0.172,0.246
"P15","Mala",0.104,0.175,0.14,0.255,0.256,0.162
"P15","Muy mala",0.691,0.357,0.271,0.288,0.35,0.27
"P15","No sabe",0,0,0.016,0,0.013,0.099
"P16","Muy buena",0.135,0.398,0.38,0.383,0.255,0.336
"P16","Buena",0.13,0.248,0.271,0.328,0.121,0.24
"P16","Mala",0.275,0.217,0.173,0.057,0.355,0.107
"P16","Muy mala",0.46,0.137,0.115,0.219,0.245,0.186
"P16","No sabe",0,0,0.061,0.013,0.024,0.131
"P17","Muy buena",0,0.018,0.163,0,0,0.067
"P17","Buena",0,0.61,0.278,0.562,0.306,0.223
"P17","Mala",0.706,0.349,0.361,0.146,0.227,0.139
"P17","Muy mala",0.294,0.023,0.171,0.292,0.467,0.428
"P17","No sabe",0,0,0.027,0,0,0.143
"P19","Muy buena",0.227,0.139,0.104,0.19,0.018,0.014
"P19","Buena",0.161,0.135,0.142,0.076,0.149,0.112
"P19","Ni buena ni mala",0.259,0.318,0.34,0.126,0.075,0.238
"P19","Mala",0.341,0.256,0.186,0.358,0.202,0.259
